type,latitude,longitude,altitude (m),vmg (km/h),course,slope (%),distance (km),distance_interval (m),eos,name,desc
T,39.762701000,-94.952379000,253.7,,313.6,-0.9,10.901,43.71,,,
T,39.763183000,-94.952918000,254.1,,319.3,0.5,10.972,70.69,,,
T,39.763531000,-94.953252000,254.4,,323.6,0.7,11.020,48.08,,,
T,39.763734000,-94.953447000,254.6,,323.6,0.7,11.048,28.06,,,
T,39.765460000,-94.955075000,255.7,,324.1,0.4,11.285,237.03,,,
T,39.765865000,-94.955462000,255.8,,323.7,0.2,11.341,55.87,,,
T,39.767933000,-94.957411000,256.3,,324.1,0.2,11.625,283.92,,,
T,39.768878000,-94.958302000,257.4,,324.1,0.8,11.755,129.76,,,
T,39.769337000,-94.958668000,258.4,,328.5,1.8,11.815,59.84,,,
T,39.769592000,-94.958850000,258.8,,331.3,1.1,11.847,32.32,,,
T,39.770045000,-94.959154000,259.0,,332.7,0.4,11.904,56.64,,,
T,39.770355000,-94.959326000,259.4,,336.9,1.0,11.941,37.44,,,
T,39.770852000,-94.959573000,259.8,,339.1,0.7,12.000,59.10,,,
T,39.771379000,-94.959816000,260.0,,340.5,0.4,12.062,62.11,,,
T,39.771725000,-94.959992000,260.1,,338.6,0.3,12.103,41.27,,,
T,39.772098000,-94.960205000,260.2,,336.3,0.1,12.149,45.26,,,
T,39.772502000,-94.960478000,260.8,,332.6,1.2,12.199,50.59,,,
T,39.772883000,-94.960801000,260.6,,326.9,-0.5,12.250,50.55,,,
T,39.773198000,-94.961095000,259.9,,324.3,-1.4,12.293,43.10,,,
T,39.773562000,-94.961488000,259.6,,320.3,-0.7,12.346,52.60,,,
T,39.773722000,-94.961680000,259.5,,317.3,-0.2,12.370,24.21,,,
T,39.773792000,-94.961765000,259.6,,317.0,0.3,12.380,10.65,,,
T,39.773973000,-94.962001000,259.4,,314.9,-0.7,12.409,28.51,,,
T,39.774299000,-94.962516000,258.9,,309.5,-0.9,12.466,57.07,,,
T,39.774515000,-94.962925000,258.2,,304.5,-1.5,12.508,42.46,,,
T,39.774654000,-94.963192000,258.5,,304.1,0.8,12.536,27.59,,,
T,39.774853000,-94.963609000,258.7,,301.8,0.6,12.578,42.01,,,
T,39.775067000,-94.964163000,258.6,,296.7,-0.3,12.631,53.08,,,
T,39.775236000,-94.964658000,257.7,,294.0,-1.8,12.677,46.37,,,
T,39.775359000,-94.965059000,259.1,,291.8,3.8,12.714,36.97,,,
T,39.775448000,-94.965560000,259.7,,283.0,1.2,12.759,44.04,,,
T,39.775523000,-94.965977000,260.3,,283.2,1.6,12.795,36.68,,,
T,39.775597000,-94.966605000,261.8,,278.7,2.9,12.850,54.43,,,
T,39.775861000,-94.969072000,263.8,,277.9,0.9,13.063,213.38,,,
T,39.775953000,-94.969687000,264.0,,281.0,0.4,13.117,53.67,,,
T,39.776044000,-94.970159000,263.7,,284.1,-0.8,13.158,41.68,,,
T,39.776146000,-94.970606000,263.6,,286.5,-0.2,13.198,39.93,,,
T,39.776257000,-94.971006000,264.1,,289.9,1.5,13.235,36.42,,,
T,39.776382000,-94.971417000,264.1,,291.6,-0.0,13.273,37.85,,,
T,39.776503000,-94.971765000,263.9,,294.3,-0.8,13.305,32.70,,,
T,39.776617000,-94.972069000,263.3,,296.0,-2.0,13.334,28.96,,,
T,39.776836000,-94.972593000,262.2,,298.5,-2.1,13.385,51.05,,,
T,39.777025000,-94.972985000,261.9,,302.1,-0.8,13.425,39.60,,,
T,39.777276000,-94.973445000,261.7,,305.4,-0.4,13.473,48.27,,,
T,39.777347000,-94.973565000,261.9,,307.6,1.3,13.486,12.96,,,
T,39.777527000,-94.973871000,261.3,,307.4,-1.8,13.519,32.96,,,
T,39.777876000,-94.974395000,261.7,,310.9,0.7,13.578,59.30,,,
T,39.778276000,-94.974945000,262.1,,313.4,0.6,13.643,64.75,,,
T,39.778568000,-94.975367000,262.4,,312.0,0.7,13.692,48.56,,,
T,39.778793000,-94.975699000,262.7,,311.4,0.8,13.730,37.86,,,
T,39.779258000,-94.976340000,262.8,,313.3,0.1,13.805,75.37,,,
T,39.779528000,-94.976770000,262.7,,309.3,-0.1,13.852,47.49,,,
T,39.779818000,-94.977276000,262.6,,306.7,-0.2,13.906,54.00,,,
T,39.780028000,-94.977711000,262.2,,302.1,-1.0,13.950,43.96,,,
T,39.780261000,-94.978278000,262.1,,298.1,-0.2,14.005,55.03,,,
T,39.780456000,-94.978839000,262.8,,294.3,1.3,14.058,52.71,,,
T,39.780582000,-94.979289000,263.0,,290.0,0.6,14.099,41.01,,,
T,39.780711000,-94.979850000,263.3,,286.7,0.5,14.149,50.15,,,
T,39.780798000,-94.980338000,263.2,,283.1,-0.2,14.192,42.91,,,
T,39.780852000,-94.980827000,263.3,,278.2,0.2,14.234,42.32,,,
T,39.780906000,-94.981401000,263.7,,277.0,0.8,14.284,49.54,,,
T,39.780923000,-94.981821000,264.1,,273.0,1.2,14.320,36.03,,,
T,39.781107000,-94.986465000,266.9,,273.0,0.7,14.718,398.36,,,
T,39.781156000,-94.987533000,267.5,,273.4,0.6,14.810,91.65,,,
T,39.781232000,-94.988574000,267.8,,275.4,0.3,14.900,89.58,,,
T,39.781352000,-94.989846000,268.4,,277.0,0.6,15.009,109.78,,,
T,39.781484000,-94.991021000,268.7,,278.3,0.3,15.111,101.72,,,
T,39.782199000,-94.997373000,270.8,,278.3,0.4,15.661,549.90,,,
T,39.782252000,-94.998148000,271.4,,275.1,0.9,15.728,66.65,,,
T,39.782279000,-94.998900000,271.7,,272.7,0.5,15.792,64.49,,,
T,39.782269000,-94.999460000,272.0,,268.7,0.6,15.840,47.98,,,
T,39.782251000,-94.999990000,272.3,,267.5,0.6,15.886,45.45,,,
T,39.782215000,-95.000514000,272.6,,264.9,0.6,15.931,45.07,,,
T,39.782159000,-95.001131000,273.0,,263.3,0.7,15.984,53.22,,,
T,39.781962000,-95.002515000,274.3,,259.5,1.1,16.104,120.56,,,
T,39.781787000,-95.003819000,275.2,,260.1,0.8,16.218,113.38,,,
T,39.781691000,-95.004816000,275.7,,262.9,0.6,16.304,86.07,,,
T,39.781641000,-95.005550000,276.6,,264.9,1.4,16.367,63.12,,,
T,39.781635000,-95.005633000,276.7,,264.6,1.4,16.374,7.14,,,
T,39.781615000,-95.006624000,277.6,,268.5,1.0,16.459,84.92,,,
T,39.781613000,-95.007567000,278.2,,269.8,0.8,16.540,80.78,,,
T,39.781672000,-95.008780000,278.7,,273.6,0.5,16.644,104.12,,,
T,39.781718000,-95.009328000,278.8,,276.2,0.1,16.691,47.22,,,
T,39.781796000,-95.009977000,279.2,,278.9,0.7,16.747,56.27,,,
T,39.781861000,-95.010482000,279.4,,279.5,0.6,16.791,43.86,,,
T,39.781892000,-95.010726000,279.4,,279.4,-0.2,16.813,21.18,,,
T,39.783449000,-95.021323000,285.8,,280.8,0.7,17.737,924.10,,,
T,39.783579000,-95.022226000,283.9,,280.6,-2.5,17.815,78.69,,,
T,39.783642000,-95.022656000,284.4,,280.8,1.4,17.853,37.49,,,
T,39.783845000,-95.023947000,287.8,,281.6,3.0,17.966,112.86,,,
T,39.784060000,-95.025152000,289.8,,283.1,1.9,18.072,105.95,,,
T,39.784184000,-95.025771000,290.8,,284.6,1.7,18.126,54.78,,,
T,39.784302000,-95.026344000,291.6,,285.0,1.6,18.177,50.80,,,
T,39.785295000,-95.030558000,293.8,,287.0,0.6,18.555,377.44,,,
T,39.786200000,-95.034318000,295.5,,287.4,0.5,18.892,337.39,,,
T,39.786390000,-95.035108000,295.8,,287.4,0.5,18.963,70.88,,,
T,39.786588000,-95.035835000,298.6,,289.5,4.2,19.029,66.04,,,
T,39.786800000,-95.036532000,303.0,,291.6,6.9,19.093,64.18,,,
T,39.786999000,-95.037162000,305.0,,292.3,3.5,19.151,58.31,,,
T,39.787208000,-95.037776000,306.8,,293.9,3.0,19.209,57.49,,,
T,39.787550000,-95.038664000,308.2,,296.6,1.6,19.294,85.02,,,
T,39.787833000,-95.039365000,308.8,,297.7,1.0,19.362,67.77,,,
T,39.788188000,-95.040191000,307.6,,299.2,-1.5,19.443,80.99,,,
T,39.789483000,-95.043090000,302.9,,300.2,-1.6,19.730,286.94,,,
T,39.791283000,-95.047182000,308.2,,299.8,1.3,20.133,403.47,,,
T,39.793091000,-95.051296000,312.0,,299.8,0.9,20.539,405.54,,,
T,39.793198000,-95.051605000,312.3,,294.3,0.8,20.568,29.01,,,
T,39.793287000,-95.051886000,312.4,,292.4,0.4,20.594,26.02,,,
T,39.793356000,-95.052165000,312.9,,287.8,2.2,20.619,25.09,,,
T,39.793398000,-95.052336000,313.4,,287.7,3.2,20.634,15.37,,,
T,39.793482000,-95.052829000,314.0,,282.5,1.4,20.677,43.24,,,
T,39.793537000,-95.053339000,314.0,,278.0,-0.1,20.721,44.11,,,
T,39.793559000,-95.053770000,313.4,,273.8,-1.7,20.758,37.00,,,
T,39.793562000,-95.054090000,312.4,,270.7,-3.5,20.786,27.41,,,
T,39.793540000,-95.054659000,310.3,,267.1,-4.4,20.835,48.80,,,
T,39.793509000,-95.055138000,309.0,,265.2,-3.0,20.876,41.17,,,
T,39.793391000,-95.057125000,312.3,,265.6,1.9,21.047,170.69,,,
T,39.793388000,-95.057170000,312.5,,265.0,4.2,21.050,3.87,,,
T,39.792954000,-95.064524000,323.9,,265.6,1.8,21.682,631.72,,,
T,39.792947000,-95.064632000,324.4,,265.2,5.4,21.691,9.28,,,
T,39.792730000,-95.068315000,323.8,,265.6,-0.2,22.008,316.37,,,
T,39.792545000,-95.071460000,320.8,,265.6,-1.1,22.278,270.16,,,
T,39.792518000,-95.072262000,321.2,,267.5,0.5,22.347,68.76,,,
T,39.792525000,-95.072964000,323.4,,270.7,3.7,22.407,60.13,,,
T,39.792573000,-95.073813000,325.7,,274.2,3.1,22.480,72.91,,,
T,39.792651000,-95.074595000,327.4,,277.4,2.6,22.547,67.54,,,
T,39.792764000,-95.075337000,328.9,,281.2,2.3,22.612,64.78,,,
T,39.792910000,-95.076073000,330.7,,284.5,2.7,22.677,65.09,,,
T,39.793053000,-95.076733000,332.7,,285.7,3.4,22.736,58.72,,,
T,39.793972000,-95.080942000,336.8,,285.9,1.1,23.111,374.67,,,
T,39.794066000,-95.081408000,337.4,,284.7,1.3,23.152,41.25,,,
T,39.794151000,-95.081881000,337.7,,283.2,0.9,23.193,41.60,,,
T,39.794216000,-95.082298000,337.8,,281.5,0.2,23.230,36.44,,,
T,39.794281000,-95.082740000,338.1,,280.8,0.8,23.268,38.54,,,
T,39.794341000,-95.083239000,338.5,,278.9,0.9,23.312,43.26,,,
T,39.794387000,-95.083681000,338.5,,277.7,0.1,23.350,38.20,,,
T,39.794430000,-95.084199000,337.9,,276.2,-1.4,23.394,44.62,,,
T,39.794468000,-95.084763000,337.0,,275.0,-1.9,23.443,48.49,,,
