type,latitude,longitude,altitude (m),vmg (km/h),course,slope (%),distance (km),distance_interval (m),eos,name,desc
T,38.844358000,-89.960962000,162.3,,18.9,0.6,10.368,64.47,,,
T,38.845013000,-89.960672000,163.1,,19.0,1.1,10.445,76.95,,,
T,38.845340000,-89.960554000,163.0,,15.7,-0.1,10.483,37.72,,,
T,38.845429000,-89.960522000,163.0,,15.6,-0.5,10.493,10.26,,,
T,38.845720000,-89.960434000,163.4,,13.3,1.3,10.526,33.20,,,
T,38.845863000,-89.960398000,163.2,,11.1,-1.4,10.542,16.18,,,
T,38.846048000,-89.960352000,163.0,,11.0,-1.0,10.563,20.92,,,
T,38.846383000,-89.960283000,162.7,,9.1,-0.7,10.601,37.67,,,
T,38.846421000,-89.960277000,162.6,,7.0,-1.6,10.605,4.25,,,
T,38.846606000,-89.960249000,162.2,,6.7,-2.2,10.626,20.68,,,
T,38.846712000,-89.960234000,161.9,,6.3,-2.6,10.638,11.84,,,
T,38.846755000,-89.960226000,161.7,,8.2,-2.7,10.642,4.82,,,
T,38.847109000,-89.960189000,161.1,,4.7,-1.6,10.682,39.43,,,
T,38.847218000,-89.960182000,161.0,,2.9,-0.9,10.694,12.12,,,
T,38.847386000,-89.960175000,160.8,,1.9,-1.1,10.713,18.66,,,
T,38.847602000,-89.960165000,160.5,,2.1,-1.3,10.737,23.99,,,
T,38.847846000,-89.960162000,160.1,,0.5,-1.6,10.764,27.09,,,
T,38.849122000,-89.960149000,159.3,,0.5,-0.5,10.905,141.66,,,
T,38.850195000,-89.960146000,158.5,,0.1,-0.6,11.024,119.12,,,
T,38.850360000,-89.960145000,158.5,,0.3,-0.3,11.043,18.32,,,
T,38.850642000,-89.960141000,158.3,,0.6,-0.4,11.074,31.31,,,
T,38.850701000,-89.960145000,158.3,,357.0,-0.4,11.081,6.56,,,
T,38.852028000,-89.960141000,156.4,,0.1,-1.3,11.228,147.31,,,
T,38.852624000,-89.960138000,155.0,,0.2,-2.1,11.294,66.16,,,
T,38.852885000,-89.960137000,154.5,,0.2,-1.9,11.323,28.97,,,
T,38.853128000,-89.960136000,153.9,,0.2,-1.9,11.350,26.98,,,
T,38.853234000,-89.960135000,153.7,,0.4,-2.0,11.362,11.77,,,
T,38.853480000,-89.960134000,153.1,,0.2,-2.2,11.389,27.31,,,
T,38.853507000,-89.960134000,153.1,,0.0,-1.6,11.392,3.00,,,
T,38.853599000,-89.960134000,152.9,,0.0,-1.6,11.402,10.21,,,
T,38.853974000,-89.960132000,152.4,,0.2,-1.2,11.444,41.63,,,
T,38.854337000,-89.960130000,152.2,,0.2,-0.6,11.484,40.30,,,
T,38.855975000,-89.960121000,153.0,,0.2,0.5,11.666,181.84,,,
T,38.857370000,-89.960113000,153.3,,0.3,0.2,11.821,154.86,,,
T,38.857448000,-89.960113000,153.3,,0.0,-0.6,11.830,8.66,,,
T,38.858136000,-89.960012000,152.5,,6.5,-1.0,11.907,76.88,,,
T,38.858279000,-89.959992000,152.5,,6.2,-0.1,11.922,15.97,,,
T,38.858624000,-89.959945000,153.0,,6.1,1.2,11.961,38.52,,,
T,38.858734000,-89.959930000,153.0,,6.1,0.5,11.973,12.28,,,
T,38.859134000,-89.959842000,152.9,,9.7,-0.3,12.018,45.06,,,
T,38.859177000,-89.959833000,152.9,,9.3,-1.4,12.023,4.84,,,
T,38.859619000,-89.959753000,152.4,,8.0,-1.0,12.073,49.56,,,
T,38.859693000,-89.959740000,152.1,,7.8,-2.8,12.081,8.29,,,
T,38.860127000,-89.959696000,152.5,,4.5,0.8,12.129,48.33,,,
T,38.860877000,-89.959674000,155.8,,1.3,4.0,12.213,83.28,,,
T,38.862184000,-89.959675000,157.1,,360.0,0.8,12.358,145.09,,,
T,38.862788000,-89.959663000,156.0,,0.9,-1.6,12.425,67.06,,,
T,38.863279000,-89.959675000,158.0,,358.9,3.7,12.479,54.52,,,
T,38.863554000,-89.959659000,157.7,,2.6,-1.2,12.510,30.56,,,
T,38.864802000,-89.959667000,154.1,,359.7,-2.6,12.648,138.55,,,
T,38.865374000,-89.959708000,153.3,,356.8,-1.3,12.712,63.60,,,
T,38.865445000,-89.959716000,153.2,,355.0,-1.2,12.720,7.91,,,
T,38.866662000,-89.959859000,154.4,,354.8,0.9,12.856,135.67,,,
T,38.866765000,-89.959866000,154.4,,357.0,0.0,12.867,11.45,,,
T,38.867025000,-89.959884000,154.3,,356.9,-0.3,12.896,28.91,,,
T,38.867460000,-89.959883000,154.3,,0.1,-0.0,12.944,48.29,,,
T,38.867501000,-89.959880000,154.3,,3.3,0.3,12.949,4.56,,,
T,38.869103000,-89.959761000,154.3,,3.3,-0.0,13.127,178.14,,,
T,38.869269000,-89.959748000,154.7,,3.5,1.7,13.145,18.46,,,
T,38.869933000,-89.959698000,154.6,,3.4,-0.1,13.219,73.84,,,
T,38.871796000,-89.959556000,156.5,,3.4,1.0,13.426,207.18,,,
T,38.872084000,-89.959544000,157.0,,1.9,1.5,13.458,31.99,,,
T,38.872281000,-89.959552000,157.3,,358.2,1.3,13.480,21.88,,,
T,38.872446000,-89.959576000,157.4,,353.5,0.5,13.499,18.44,,,
T,38.872662000,-89.959630000,157.5,,349.0,0.5,13.523,24.43,,,
T,38.872764000,-89.959663000,157.3,,345.9,-1.4,13.535,11.68,,,
T,38.872917000,-89.959727000,157.0,,342.0,-1.9,13.553,17.87,,,
T,38.873096000,-89.959814000,156.3,,339.3,-3.4,13.574,21.26,,,
T,38.873213000,-89.959879000,155.8,,336.6,-3.0,13.588,14.16,,,
T,38.873333000,-89.959954000,155.3,,334.1,-3.4,13.603,14.83,,,
T,38.873451000,-89.960035000,154.7,,331.9,-4.5,13.618,14.87,,,
T,38.873561000,-89.960120000,154.4,,329.0,-2.2,13.632,14.27,,,
T,38.873661000,-89.960206000,154.1,,326.2,-1.9,13.645,13.38,,,
T,38.873757000,-89.960300000,153.6,,322.7,-3.6,13.659,13.42,,,
T,38.873857000,-89.960412000,153.4,,318.9,-1.5,13.674,14.75,,,
T,38.873866000,-89.960423000,153.4,,316.4,-0.2,13.675,1.38,,,
