type,latitude,longitude,altitude (m),vmg (km/h),course,slope (%),distance (km),distance_interval (m),eos,name,desc
T,39.777764000,-94.788748000,300.1,,57.2,-6.1,6.729,11.30,,,
T,39.778011000,-94.788155000,298.5,,61.5,-2.8,6.787,57.73,,,
T,39.778269000,-94.787540000,298.0,,61.4,-1.0,6.847,59.97,,,
T,39.778371000,-94.787266000,297.2,,64.2,-2.8,6.873,26.06,,,
T,39.778489000,-94.786950000,297.1,,64.1,-0.2,6.903,30.08,,,
T,39.778647000,-94.786367000,297.0,,70.6,-0.3,6.956,52.94,,,
T,39.778805000,-94.785611000,296.5,,74.8,-0.8,7.023,67.10,,,
T,39.778902000,-94.785106000,295.5,,76.0,-2.2,7.067,44.58,,,
T,39.778994000,-94.784640000,294.2,,75.6,-3.3,7.109,41.21,,,
T,39.779140000,-94.783884000,292.0,,75.9,-3.2,7.175,66.76,,,
T,39.779313000,-94.782983000,289.1,,76.0,-3.7,7.255,79.54,,,
T,39.779432000,-94.782369000,287.9,,75.8,-2.3,7.309,54.23,,,
T,39.779569000,-94.781669000,286.0,,75.7,-3.0,7.371,61.87,,,
T,39.779605000,-94.781487000,286.0,,75.6,-0.1,7.387,16.10,,,
T,39.779674000,-94.781133000,286.0,,75.8,0.0,7.418,31.28,,,
T,39.779702000,-94.780994000,286.0,,75.3,0.2,7.431,12.31,,,
T,39.779808000,-94.780452000,284.9,,75.7,-2.4,7.479,47.90,,,
T,39.779908000,-94.779945000,284.8,,75.6,-0.1,7.523,44.83,,,
T,39.780018000,-94.779379000,283.5,,75.8,-2.6,7.573,50.00,,,
T,39.780097000,-94.778979000,282.8,,75.6,-2.1,7.609,35.37,,,
T,39.780336000,-94.777821000,282.5,,75.0,-0.3,7.712,102.69,,,
T,39.780513000,-94.776818000,283.8,,77.1,1.5,7.800,88.14,,,
T,39.780698000,-94.775581000,282.0,,79.0,-1.7,7.908,107.94,,,
T,39.780925000,-94.773782000,276.4,,80.7,-3.6,8.064,156.16,,,
T,39.780972000,-94.773491000,276.0,,78.1,-1.4,8.089,25.47,,,
T,39.781025000,-94.773247000,276.0,,74.2,-0.2,8.111,21.72,,,
