type,latitude,longitude,altitude (m),course,slope (%),distance (km),distance_interval (m),name,desc
T,36.835585000,-87.447275000,178.9,296.5,-0.5,123.318,65.21,,
T,36.836386000,-87.449280000,178.8,296.5,-0.0,123.518,199.72,,
T,36.836437000,-87.449407000,178.9,296.6,0.7,123.530,12.66,,
T,36.836916000,-87.450606000,178.9,296.5,-0.0,123.650,119.43,,
T,36.837102000,-87.451071000,178.9,296.6,0.1,123.696,46.33,,
T,36.837247000,-87.451436000,178.9,296.4,-0.1,123.732,36.32,,
T,36.837265000,-87.451480000,178.9,297.1,0.2,123.737,4.40,,
T,36.837450000,-87.451915000,178.6,298.0,-0.5,123.781,43.90,,
T,36.837619000,-87.452297000,178.9,298.9,0.8,123.820,38.90,,
T,36.837891000,-87.452879000,179.2,300.3,0.5,123.880,60.05,,
T,36.838320000,-87.453730000,179.4,302.2,0.2,123.969,89.60,,
T,36.838540000,-87.454140000,179.6,303.8,0.6,124.013,43.97,,
T,36.838834000,-87.454654000,179.9,305.6,0.5,124.069,56.27,,
T,36.838970000,-87.454883000,180.0,306.6,0.3,124.095,25.40,,
T,36.839260000,-87.455353000,180.3,307.6,0.7,124.148,52.85,,
T,36.839569000,-87.455830000,180.4,309.0,0.1,124.202,54.65,,
T,36.839698000,-87.456021000,180.4,310.2,0.2,124.225,22.25,,
T,36.839765000,-87.456117000,180.5,311.1,0.6,124.236,11.34,,
T,36.840072000,-87.456557000,180.8,311.1,0.5,124.288,51.97,,
T,36.840469000,-87.457091000,180.8,312.9,0.1,124.353,64.88,,
T,36.840970000,-87.457750000,180.1,313.5,-0.9,124.434,80.91,,
T,36.841962000,-87.459055000,176.6,313.5,-2.2,124.594,160.21,,
T,36.842875000,-87.460252000,173.8,313.6,-1.9,124.741,147.19,,
T,36.842957000,-87.460361000,173.6,313.2,-1.8,124.754,13.32,,
T,36.843388000,-87.460801000,172.3,320.8,-2.2,124.816,61.87,,
T,36.843636000,-87.461129000,171.5,313.4,-1.9,124.857,40.17,,
T,36.843957000,-87.461554000,170.4,313.3,-2.2,124.909,52.02,,
T,36.843998000,-87.461608000,170.2,313.5,-2.1,124.915,6.63,,
T,36.844525000,-87.462306000,169.3,313.3,-1.1,125.001,85.42,,
T,36.844646000,-87.462466000,169.7,313.4,2.1,125.020,19.60,,
T,36.844770000,-87.462630000,169.4,313.4,-1.6,125.040,20.08,,
T,36.844779000,-87.462642000,169.3,313.1,-5.7,125.042,1.46,,
T,36.845379000,-87.463426000,168.1,313.7,-1.2,125.138,96.56,,
T,36.845560000,-87.463662000,168.0,313.8,-0.4,125.167,29.10,,
T,36.846129000,-87.464401000,167.7,313.9,-0.3,125.259,91.28,,
T,36.846229000,-87.464657000,167.6,296.0,-0.5,125.284,25.39,,
T,36.847269000,-87.466035000,166.8,313.3,-0.5,125.453,168.60,,
T,36.847631000,-87.466532000,166.6,312.3,-0.3,125.512,59.82,,
T,36.848374000,-87.467579000,165.9,311.6,-0.6,125.637,124.57,,
T,36.848886000,-87.468301000,165.5,311.5,-0.4,125.723,85.88,,
T,36.848886000,-87.468301000,165.5,311.5,,125.723,0.00,,
T,36.849111000,-87.468617000,165.5,311.7,-0.0,125.761,37.65,,
T,36.849298000,-87.468889000,165.3,310.7,-0.5,125.792,31.92,,
T,36.849354000,-87.468968000,165.3,311.5,-0.2,125.802,9.39,,
T,36.850091000,-87.470010000,164.7,311.5,-0.5,125.926,123.80,,
T,36.850091000,-87.470010000,164.7,311.5,,125.926,0.00,,
T,36.850533000,-87.470635000,164.6,311.5,-0.2,126.000,74.25,,
T,36.850798000,-87.471005000,164.9,311.8,0.7,126.044,44.20,,
T,36.850917000,-87.471174000,164.9,311.3,0.3,126.064,20.04,,
T,36.851103000,-87.471438000,165.2,311.4,0.8,126.095,31.31,,
T,36.851128000,-87.471474000,165.2,311.0,-0.1,126.100,4.24,,
T,36.851331000,-87.471762000,165.0,311.4,-0.4,126.134,34.16,,
T,36.851525000,-87.472037000,164.6,311.4,-1.1,126.167,32.63,,
T,36.851622000,-87.472174000,164.6,311.5,-0.2,126.183,16.28,,
T,36.851622000,-87.472174000,164.6,311.5,,126.183,0.00,,
T,36.852522000,-87.473422000,161.4,312.0,-2.1,126.332,149.54,,
T,36.853696000,-87.474995000,160.0,313.0,-0.7,126.524,191.45,,
T,36.854212000,-87.475677000,160.0,313.4,-0.0,126.607,83.54,,
T,36.854453000,-87.475991000,159.1,313.8,-2.3,126.646,38.72,,
T,36.854553000,-87.476111000,159.9,316.2,5.1,126.661,15.42,,
T,36.854760000,-87.476393000,160.9,312.5,3.0,126.696,34.06,,
T,36.855041000,-87.476746000,162.0,314.9,2.6,126.740,44.31,,
T,36.855255000,-87.477003000,163.2,316.1,3.6,126.773,33.00,,
T,36.855464000,-87.477212000,164.2,321.3,3.3,126.803,29.75,,
T,36.855747000,-87.477470000,165.2,323.9,2.7,126.842,38.93,,
T,36.856176000,-87.477827000,167.6,326.3,4.2,126.899,57.27,,
T,36.856990000,-87.478433000,174.4,329.2,6.4,127.004,105.27,,
T,36.857103000,-87.478529000,175.0,325.8,4.0,127.019,15.18,,
T,36.857196000,-87.478572000,175.6,339.7,5.2,127.030,11.01,,
T,36.857511000,-87.478747000,177.4,336.0,4.6,127.069,38.28,,
T,36.857690000,-87.478832000,178.7,339.2,6.4,127.090,21.26,,
T,36.858047000,-87.478983000,180.7,341.3,4.8,127.132,41.84,,
T,36.858278000,-87.479081000,181.6,341.3,3.2,127.159,27.08,,
T,36.858603000,-87.479208000,181.3,342.6,-0.7,127.197,37.80,,
T,36.859284000,-87.479489000,180.2,341.7,-1.4,127.276,79.62,,
T,36.859340000,-87.479512000,180.2,341.8,-0.0,127.283,6.54,,
T,36.859764000,-87.479698000,180.9,340.7,1.5,127.333,49.89,,
T,36.860488000,-87.480044000,183.1,339.1,2.5,127.419,86.07,,
T,36.860606000,-87.480067000,183.7,351.1,4.1,127.432,13.25,,
T,36.860863000,-87.480161000,184.5,343.7,2.8,127.462,29.73,,
T,36.860937000,-87.480191000,184.8,342.0,3.5,127.470,8.64,,
T,36.861331000,-87.480379000,185.4,339.1,1.3,127.517,46.83,,
T,36.861419000,-87.480426000,185.1,336.9,-3.0,127.528,10.63,,
T,36.861575000,-87.480514000,184.5,335.7,-2.7,127.547,19.01,,
T,36.861770000,-87.480645000,183.1,331.7,-6.0,127.571,24.59,,
T,36.861856000,-87.480718000,182.2,325.8,-7.4,127.583,11.55,,
T,36.861936000,-87.480800000,181.4,320.6,-6.9,127.594,11.50,,
T,36.862005000,-87.480895000,180.5,312.2,-8.3,127.606,11.42,,
T,36.862062000,-87.481025000,179.3,298.7,-9.2,127.619,13.21,,
T,36.862425000,-87.481830000,174.2,299.4,-6.1,127.701,82.31,,
T,36.862480000,-87.481953000,173.7,299.2,-4.4,127.714,12.55,,
T,36.862554000,-87.482122000,172.8,298.7,-5.2,127.731,17.16,,
T,36.862679000,-87.482403000,171.4,299.1,-4.8,127.760,28.64,,
T,36.862818000,-87.482719000,170.2,298.8,-3.7,127.792,32.12,,
T,36.863016000,-87.483192000,169.3,297.6,-1.9,127.839,47.56,,
T,36.863414000,-87.484088000,167.8,299.0,-1.7,127.931,91.29,,
T,36.863830000,-87.485053000,167.0,298.3,-0.8,128.028,97.65,,
T,36.864258000,-87.486008000,165.5,299.3,-1.5,128.126,97.51,,
T,36.864671000,-87.486947000,164.8,298.8,-0.8,128.221,95.45,,
T,36.865093000,-87.487905000,162.3,298.8,-2.5,128.319,97.42,,
T,36.865535000,-87.488879000,160.6,299.6,-1.7,128.418,99.74,,
T,36.865972000,-87.489851000,160.0,299.3,-0.6,128.518,99.32,,
T,36.866007000,-87.489941000,160.1,295.9,1.4,128.527,8.92,,
T,36.866232000,-87.490508000,158.5,296.4,-2.9,128.583,56.39,,
T,36.866237000,-87.490521000,158.3,295.7,-15.0,128.584,1.29,,
T,36.866338000,-87.490776000,157.0,296.3,-4.9,128.610,25.35,,
T,36.866696000,-87.491680000,161.3,296.3,4.8,128.700,89.87,,
T,36.867388000,-87.493291000,161.7,298.2,0.2,128.862,162.89,,
T,36.867446000,-87.493364000,161.8,314.8,2.0,128.872,9.15,,
T,36.867502000,-87.493400000,162.0,332.8,2.0,128.879,6.99,,
T,36.867573000,-87.493425000,162.1,344.3,1.9,128.887,8.19,,
T,36.867654000,-87.493424000,162.3,0.6,1.6,128.896,8.99,,
T,36.868019000,-87.493343000,162.9,10.1,1.5,128.937,41.14,,
T,36.868116000,-87.493343000,163.0,0.0,1.3,128.948,10.76,,
T,36.868167000,-87.493377000,163.1,331.9,1.0,128.954,6.42,,
T,36.868244000,-87.493469000,163.1,316.3,-0.1,128.966,11.85,,
T,36.868464000,-87.493928000,162.7,300.9,-0.8,129.014,47.66,,
T,36.868640000,-87.494342000,161.9,298.0,-1.8,129.055,41.76,,
T,36.868882000,-87.494874000,161.0,299.6,-1.8,129.110,54.51,,
T,36.869331000,-87.495881000,161.8,299.1,0.8,129.213,102.69,,
T,36.869447000,-87.496137000,162.1,299.5,1.2,129.239,26.21,,
T,36.869629000,-87.496530000,162.6,300.1,1.1,129.279,40.45,,
T,36.869878000,-87.497040000,163.2,301.4,1.3,129.332,53.21,,
T,36.870196000,-87.497640000,164.0,303.5,1.1,129.397,64.09,,
T,36.870386000,-87.497984000,163.5,304.6,-1.3,129.434,37.22,,
T,36.870735000,-87.498603000,162.3,305.2,-1.8,129.501,67.43,,
T,36.871237000,-87.499495000,160.9,305.1,-1.5,129.598,97.10,,
T,36.871302000,-87.499613000,160.8,304.6,-0.8,129.611,12.76,,
T,36.871444000,-87.499847000,160.6,307.2,-0.8,129.637,26.15,,
T,36.871520000,-87.499957000,160.5,310.8,-0.2,129.650,12.94,,
T,36.871723000,-87.500221000,160.5,313.9,-0.2,129.683,32.58,,
T,36.871862000,-87.500389000,160.4,316.0,-0.4,129.704,21.50,,
T,36.872212000,-87.500779000,159.4,318.3,-1.8,129.756,52.13,,
T,36.872336000,-87.500911000,158.8,319.6,-3.4,129.774,18.11,,
T,36.872385000,-87.500955000,158.6,324.3,-2.6,129.781,6.71,,
T,36.872473000,-87.501047000,158.6,320.1,-0.0,129.794,12.75,,
T,36.872656000,-87.501227000,159.7,321.8,4.0,129.820,25.88,,
T,36.873002000,-87.501534000,160.1,324.6,0.9,129.867,47.15,,
T,36.873230000,-87.501738000,160.2,324.4,0.4,129.898,31.16,,
T,36.873553000,-87.502029000,160.6,324.2,0.8,129.942,44.25,,
T,36.873961000,-87.502395000,161.4,324.3,1.5,129.998,55.81,,
T,36.874548000,-87.502921000,163.3,324.4,2.4,130.078,80.27,,
T,36.874835000,-87.503173000,164.8,324.9,3.9,130.117,38.98,,
T,36.875054000,-87.503382000,165.9,322.6,3.6,130.148,30.62,,
T,36.875291000,-87.503631000,166.9,320.0,2.8,130.182,34.42,,
T,36.875575000,-87.503978000,166.8,315.7,-0.3,130.227,44.16,,
T,36.876002000,-87.504586000,166.0,311.3,-1.1,130.299,72.00,,
T,36.876244000,-87.504908000,165.2,313.2,-2.1,130.338,39.31,,
T,36.876555000,-87.505339000,164.4,312.1,-1.4,130.390,51.65,,
T,36.876720000,-87.505568000,164.3,312.0,-0.5,130.417,27.42,,
T,36.877101000,-87.506096000,164.8,312.1,0.8,130.480,63.27,,
T,36.877423000,-87.506554000,166.1,311.3,2.4,130.535,54.26,,
T,36.877924000,-87.507349000,168.1,308.2,2.2,130.625,90.08,,
T,36.878076000,-87.507603000,168.2,306.8,0.4,130.653,28.24,,
T,36.878315000,-87.508044000,168.7,304.1,1.1,130.700,47.43,,
T,36.878488000,-87.508378000,169.3,302.9,1.8,130.736,35.43,,
T,36.878764000,-87.508950000,170.3,301.1,1.7,130.795,59.49,,
T,36.878969000,-87.509419000,170.8,298.7,1.0,130.843,47.60,,
T,36.879049000,-87.509623000,170.9,296.1,0.5,130.863,20.24,,
T,36.879210000,-87.510018000,171.3,297.0,1.1,130.903,39.49,,
T,36.879565000,-87.510943000,172.4,295.6,1.2,130.994,91.39,,
T,36.879711000,-87.511323000,172.8,295.7,1.0,131.031,37.55,,
T,36.879807000,-87.511598000,172.8,293.6,0.0,131.058,26.73,,
T,36.879869000,-87.511840000,172.6,287.8,-0.9,131.081,22.65,,
T,36.879900000,-87.512028000,172.2,281.6,-2.5,131.098,17.11,,
T,36.879913000,-87.512166000,171.7,276.7,-3.7,131.110,12.39,,
T,36.879917000,-87.512319000,171.1,271.9,-4.4,131.124,13.65,,
T,36.879910000,-87.512523000,170.4,267.5,-4.3,131.142,18.20,,
T,36.879884000,-87.512737000,169.5,261.4,-4.2,131.161,19.30,,
T,36.879837000,-87.512948000,168.8,254.4,-3.9,131.181,19.52,,
T,36.879807000,-87.513053000,168.4,250.3,-4.3,131.191,9.94,,
T,36.879673000,-87.513479000,166.6,248.5,-4.2,131.232,40.79,,
T,36.879064000,-87.515337000,159.1,247.7,-4.2,131.411,178.90,,
T,36.878558000,-87.516882000,158.8,247.7,-0.2,131.559,148.75,,
T,36.878441000,-87.517246000,158.5,248.1,-0.8,131.594,34.95,,
T,36.878036000,-87.518505000,159.6,248.1,0.9,131.715,120.91,,
T,36.877880000,-87.518972000,160.0,247.3,0.8,131.760,45.09,,
T,36.877823000,-87.519142000,160.1,247.3,0.7,131.777,16.42,,
T,36.877668000,-87.519623000,160.6,248.1,1.1,131.823,46.20,,
T,36.877025000,-87.521635000,162.1,248.2,0.8,132.016,193.05,,
T,36.876809000,-87.522283000,162.6,247.4,0.8,132.079,62.55,,
T,36.876638000,-87.522770000,163.1,246.3,1.1,132.126,47.38,,
T,36.876479000,-87.523158000,163.2,242.9,0.2,132.165,38.83,,
T,36.876259000,-87.523641000,163.4,240.3,0.4,132.214,49.50,,
T,36.871954000,-87.532650000,168.0,239.2,0.5,133.149,934.57,,
T,36.871819000,-87.532952000,168.4,240.8,1.2,133.180,30.81,,
T,36.871739000,-87.533159000,168.4,244.2,0.1,133.200,20.48,,
T,36.871672000,-87.533373000,168.4,248.6,0.3,133.221,20.48,,
T,36.871597000,-87.533701000,168.6,254.0,0.5,133.251,30.41,,
T,36.871560000,-87.533922000,168.8,258.2,1.2,133.271,20.13,,
T,36.871547000,-87.534030000,169.0,261.4,1.4,133.281,9.74,,
T,36.871529000,-87.534248000,169.3,264.1,1.8,133.300,19.54,,
T,36.871521000,-87.534463000,169.7,267.3,2.0,133.320,19.19,,
T,36.871529000,-87.534783000,169.9,271.8,0.7,133.348,28.55,,
T,36.871550000,-87.535002000,169.8,276.8,-0.4,133.368,19.66,,
T,36.871581000,-87.535219000,169.8,280.1,-0.2,133.387,19.65,,
T,36.871623000,-87.535437000,169.8,283.5,0.3,133.407,19.99,,
T,36.872745000,-87.540565000,169.9,285.3,0.0,133.881,473.87,,
T,36.872909000,-87.541278000,171.3,286.0,2.2,133.947,66.12,,
T,36.873050000,-87.541862000,172.0,286.8,1.3,134.002,54.37,,
T,36.873221000,-87.542532000,173.0,287.7,1.5,134.064,62.68,,
T,36.873377000,-87.543121000,173.8,288.3,1.4,134.120,55.29,,
T,36.873470000,-87.543465000,173.5,288.7,-0.8,134.152,32.36,,
T,36.873668000,-87.544073000,173.2,292.2,-0.5,134.211,58.49,,
T,36.873728000,-87.544323000,172.9,286.7,-1.2,134.234,23.26,,
T,36.873830000,-87.544748000,172.1,286.7,-2.1,134.273,39.55,,
T,36.873982000,-87.545397000,171.3,286.3,-1.3,134.334,60.27,,
T,36.874132000,-87.546171000,170.2,283.6,-1.6,134.405,70.99,,
T,36.874156000,-87.546298000,170.1,283.3,-0.6,134.416,11.63,,
T,36.874207000,-87.546530000,169.9,285.4,-1.0,134.438,21.45,,
T,36.874942000,-87.550719000,164.0,282.4,-1.6,134.820,382.28,,
T,36.875645000,-87.554730000,164.6,282.4,0.2,135.186,366.02,,
T,36.875698000,-87.555012000,164.9,283.2,1.2,135.212,25.82,,
T,36.875803000,-87.555530000,165.1,284.2,0.5,135.260,47.63,,
T,36.875916000,-87.556046000,165.4,285.3,0.7,135.307,47.68,,
T,36.875976000,-87.556302000,165.5,286.3,0.5,135.331,23.78,,
T,36.876106000,-87.556804000,165.7,287.9,0.4,135.378,47.02,,
T,36.876376000,-87.557784000,166.4,289.0,0.8,135.470,92.37,,
T,36.876522000,-87.558266000,166.9,290.7,1.0,135.516,45.93,,
T,36.876760000,-87.558983000,167.4,292.5,0.7,135.585,69.17,,
T,36.877701000,-87.561709000,167.8,293.3,0.2,135.850,264.52,,
T,36.878188000,-87.563131000,167.2,293.2,-0.4,135.988,137.82,,
T,36.878334000,-87.563615000,166.6,290.7,-1.3,136.034,46.09,,
T,36.878456000,-87.564100000,166.6,287.5,-0.0,136.079,45.31,,
T,36.878514000,-87.564354000,166.4,285.9,-0.6,136.103,23.54,,
T,36.878610000,-87.564857000,166.0,283.4,-1.0,136.149,46.09,,
T,36.878650000,-87.565109000,165.9,281.2,-0.4,136.172,22.90,,
T,36.878684000,-87.565361000,165.8,279.6,-0.4,136.195,22.78,,
T,36.878713000,-87.565611000,165.8,278.3,0.1,136.217,22.52,,
T,36.878735000,-87.565859000,165.8,276.3,0.0,136.239,22.24,,
T,36.878837000,-87.567663000,165.0,274.0,-0.5,136.401,161.23,,
T,36.879057000,-87.571732000,163.2,273.9,-0.5,136.764,363.58,,
T,36.879290000,-87.576008000,159.2,273.9,-1.0,137.146,382.09,,
T,36.879544000,-87.580605000,154.7,274.0,-1.1,137.557,410.80,,
T,36.879908000,-87.587260000,147.7,273.9,-1.2,138.152,594.68,,
T,36.880028000,-87.589433000,146.2,273.9,-0.8,138.346,194.18,,
T,36.880030000,-87.589474000,146.2,273.5,0.2,138.350,3.66,,
T,36.880087000,-87.590335000,148.4,274.7,2.9,138.427,77.02,,
T,36.880162000,-87.591193000,149.6,276.2,1.5,138.503,76.94,,
T,36.880219000,-87.591764000,150.2,277.1,1.1,138.555,51.30,,
T,36.880244000,-87.591976000,150.5,278.4,1.6,138.574,19.10,,
T,36.880320000,-87.592618000,151.1,278.4,1.2,138.632,57.85,,
T,36.880474000,-87.593760000,151.6,279.6,0.4,138.735,103.23,,
T,36.880914000,-87.596847000,148.5,280.1,-1.1,139.014,279.51,,
T,36.881355000,-87.599986000,145.9,280.0,-0.9,139.299,284.09,,
T,36.881423000,-87.600545000,146.3,278.6,0.8,139.349,50.40,,
T,36.881453000,-87.600827000,146.7,277.6,1.4,139.374,25.36,,
T,36.881476000,-87.601110000,147.1,275.8,1.8,139.400,25.36,,
T,36.881494000,-87.601390000,147.6,274.6,1.7,139.425,25.04,,
T,36.881507000,-87.601670000,147.9,273.3,1.5,139.450,25.00,,
T,36.881530000,-87.602769000,149.3,271.5,1.4,139.548,98.01,,
T,36.881573000,-87.606269000,150.5,270.9,0.4,139.860,312.06,,
T,36.881581000,-87.606835000,149.7,271.0,-1.7,139.910,50.47,,
T,36.881594000,-87.607392000,148.9,271.7,-1.4,139.960,49.68,,
T,36.881606000,-87.607674000,148.7,273.0,-1.1,139.985,25.18,,
T,36.881623000,-87.607957000,148.5,274.3,-0.8,140.010,25.30,,
T,36.881646000,-87.608241000,148.2,275.8,-1.0,140.036,25.45,,
T,36.881676000,-87.608525000,147.9,277.5,-1.1,140.061,25.54,,
T,36.881750000,-87.609085000,147.1,279.4,-1.6,140.112,50.59,,
T,36.881789000,-87.609333000,144.8,281.1,-10.3,140.135,22.53,,
T,36.882212000,-87.612041000,148.0,281.1,1.3,140.380,245.94,,
T,36.882257000,-87.612288000,147.9,282.8,-0.3,140.403,22.58,,
T,36.882508000,-87.613851000,148.7,281.4,0.5,140.545,142.10,,
T,36.882588000,-87.614381000,149.1,280.7,0.9,140.593,48.08,,
T,36.882657000,-87.614913000,149.4,279.2,0.6,140.641,48.04,,
T,36.882686000,-87.615179000,149.5,277.8,0.5,140.665,23.93,,
T,36.882708000,-87.615447000,149.7,275.9,0.6,140.689,24.02,,
T,36.882742000,-87.616072000,150.2,273.9,0.9,140.745,55.85,,
T,36.882756000,-87.616519000,150.4,272.2,0.6,140.785,39.88,,
T,36.882760000,-87.616787000,150.6,271.1,0.7,140.809,23.90,,
T,36.882759000,-87.617056000,150.6,269.7,0.3,140.833,23.98,,
T,36.882739000,-87.617591000,150.9,267.3,0.5,140.881,47.75,,
T,36.882723000,-87.617857000,151.0,265.7,0.7,140.904,23.78,,
T,36.882702000,-87.618123000,151.2,264.4,0.6,140.928,23.83,,
T,36.882647000,-87.618650000,151.8,262.6,1.2,140.976,47.38,,
T,36.882616000,-87.618911000,152.1,261.6,1.6,140.999,23.52,,
T,36.882540000,-87.619426000,152.8,259.5,1.5,141.046,46.68,,
T,36.882450000,-87.619927000,154.0,257.3,2.6,141.092,45.77,,
T,36.882345000,-87.620415000,155.7,254.9,3.8,141.137,45.04,,
T,36.882223000,-87.620897000,156.8,252.4,2.4,141.182,45.05,,
T,36.882087000,-87.621370000,158.4,250.2,3.6,141.226,44.79,,
T,36.881939000,-87.621846000,159.8,248.8,3.2,141.272,45.50,,
T,36.881149000,-87.624267000,161.6,247.8,0.7,141.505,232.96,,
T,36.880826000,-87.625251000,160.5,247.7,-1.1,141.600,94.76,,
T,36.880432000,-87.626449000,158.3,247.6,-1.9,141.715,115.41,,
T,36.879905000,-87.628056000,155.9,247.7,-1.6,141.870,154.74,,
T,36.879619000,-87.628925000,155.3,247.6,-0.7,141.953,83.72,,
T,36.879082000,-87.630476000,154.5,246.6,-0.6,142.104,150.57,,
T,36.878915000,-87.630959000,154.3,246.6,-0.5,142.151,46.88,,
T,36.878629000,-87.631835000,154.1,247.8,-0.3,142.235,84.30,,
T,36.878309000,-87.632913000,153.4,249.6,-0.7,142.338,102.46,,
T,36.878193000,-87.633278000,153.3,248.3,-0.1,142.373,34.99,,
T,36.878038000,-87.633818000,152.8,250.3,-1.0,142.424,51.12,,
T,36.877943000,-87.634182000,152.9,251.9,0.2,142.458,34.12,,
T,36.877859000,-87.634556000,152.6,254.3,-0.9,142.493,34.62,,
T,36.877786000,-87.634935000,152.4,256.5,-0.4,142.527,34.75,,
T,36.877754000,-87.635126000,152.4,258.2,-0.0,142.545,17.39,,
T,36.877680000,-87.635705000,152.7,260.9,0.6,142.597,52.27,,
T,36.877670000,-87.635807000,152.7,263.0,0.2,142.606,9.16,,
T,36.877642000,-87.636094000,152.7,263.0,-0.1,142.632,25.78,,
T,36.877616000,-87.636492000,152.4,265.3,-0.8,142.667,35.60,,
T,36.877605000,-87.636903000,152.2,268.1,-0.6,142.704,36.66,,
T,36.877612000,-87.637318000,152.1,271.2,-0.3,142.741,37.01,,
T,36.877619000,-87.637526000,152.1,272.4,0.2,142.760,18.56,,
T,36.877648000,-87.637941000,152.3,275.0,0.3,142.797,37.14,,
T,36.877689000,-87.638355000,151.9,277.1,-0.8,142.834,37.19,,
T,36.877837000,-87.639606000,151.9,278.4,-0.1,142.947,112.73,,
T,36.877954000,-87.640537000,152.0,278.9,0.2,143.031,84.01,,
T,36.878173000,-87.642294000,152.7,278.9,0.5,143.189,158.52,,
T,36.878232000,-87.642716000,152.8,279.9,0.2,143.228,38.19,,
T,36.878304000,-87.643143000,153.0,281.9,0.5,143.266,38.90,,
T,36.878392000,-87.643566000,153.3,284.6,0.8,143.305,38.96,,
T,36.878492000,-87.643985000,153.6,286.6,0.8,143.344,38.97,,
T,36.878548000,-87.644191000,153.7,288.8,0.2,143.364,19.39,,
T,36.878797000,-87.644998000,154.1,291.1,0.6,143.441,77.07,,
T,36.879369000,-87.646742000,155.0,292.3,0.5,143.609,167.94,,
T,36.881012000,-87.651766000,155.4,292.2,0.1,144.092,483.59,,
T,36.881300000,-87.652658000,155.0,292.0,-0.4,144.178,85.70,,
T,36.881488000,-87.653265000,154.7,291.2,-0.6,144.236,58.00,,
T,36.881604000,-87.653678000,154.2,289.3,-1.3,144.275,39.00,,
T,36.881710000,-87.654098000,153.9,287.5,-0.7,144.314,39.25,,
T,36.881859000,-87.654732000,153.6,286.4,-0.5,144.373,58.89,,
T,36.881903000,-87.654946000,153.4,284.4,-1.0,144.393,19.69,,
T,36.881977000,-87.655378000,153.3,282.1,-0.2,144.432,39.38,,
T,36.882076000,-87.656032000,153.7,280.7,0.6,144.492,59.33,,
T,36.882106000,-87.656251000,153.8,279.7,0.6,144.511,19.81,,
T,36.882153000,-87.656687000,153.8,277.7,-0.1,144.551,39.22,,
T,36.882188000,-87.657118000,153.8,275.8,0.1,144.589,38.62,,
T,36.882229000,-87.657754000,154.4,274.6,1.0,144.646,56.88,,
T,36.882246000,-87.658202000,154.9,272.7,1.4,144.686,39.98,,
T,36.882251000,-87.658590000,155.0,270.9,0.3,144.721,34.59,,
T,36.882244000,-87.659227000,155.5,269.2,0.8,144.777,56.79,,
T,36.882213000,-87.659881000,155.8,266.6,0.4,144.836,58.40,,
T,36.882141000,-87.660779000,155.8,264.3,0.0,144.916,80.45,,
T,36.881896000,-87.663572000,156.8,263.7,0.4,145.167,250.47,,
T,36.881610000,-87.666897000,155.8,263.9,-0.3,145.465,298.12,,
T,36.881435000,-87.668873000,154.4,263.7,-0.8,145.642,177.23,,
T,36.881308000,-87.670382000,154.2,264.0,-0.1,145.777,135.26,,
T,36.881263000,-87.670886000,153.9,263.6,-0.7,145.823,45.21,,
T,36.881199000,-87.671608000,153.5,263.7,-0.6,145.887,64.76,,
T,36.881098000,-87.672716000,152.6,263.5,-1.0,145.987,99.41,,
T,36.881063000,-87.673102000,152.7,263.5,0.3,146.021,34.63,,
T,36.880966000,-87.674303000,152.8,264.2,0.1,146.129,107.61,,
T,36.880941000,-87.674726000,152.7,265.8,-0.1,146.167,37.81,,
T,36.880937000,-87.674811000,152.7,266.6,-0.2,146.174,7.59,,
T,36.880911000,-87.675379000,152.8,266.7,0.2,146.225,50.72,,
T,36.880895000,-87.675821000,153.1,267.4,0.7,146.265,39.44,,
T,36.880884000,-87.676272000,153.5,268.3,1.1,146.305,40.23,,
T,36.880879000,-87.676728000,153.9,269.2,0.9,146.345,40.66,,
T,36.880881000,-87.677243000,154.3,270.3,0.9,146.391,45.91,,
T,36.880869000,-87.678080000,154.6,269.0,0.5,146.466,74.63,,
T,36.880877000,-87.678593000,154.8,271.1,0.4,146.512,45.74,,
T,36.880881000,-87.678915000,154.8,270.9,0.1,146.540,28.71,,
T,36.880908000,-87.679608000,155.1,272.8,0.4,146.602,61.85,,
T,36.880932000,-87.680331000,155.4,272.4,0.6,146.667,64.51,,
T,36.880975000,-87.680951000,155.8,275.0,0.6,146.722,55.48,,
T,36.881045000,-87.681868000,156.1,275.5,0.4,146.804,82.12,,
T,36.881221000,-87.683533000,157.0,277.5,0.6,146.954,149.71,,
T,36.881396000,-87.685061000,156.4,278.1,-0.4,147.092,137.60,,
T,36.881740000,-87.687878000,155.7,278.7,-0.3,147.346,254.02,,
T,36.882220000,-87.692520000,152.9,277.4,-0.7,147.763,417.24,,
T,36.882482000,-87.694927000,151.7,277.8,-0.6,147.980,216.54,,
T,36.882787000,-87.697778000,152.6,277.6,0.3,148.236,256.41,,
T,36.882912000,-87.698930000,153.4,277.7,0.8,148.340,103.63,,
T,36.883419000,-87.703827000,155.9,277.4,0.6,148.780,440.17,,
T,36.883564000,-87.705218000,154.9,277.4,-0.8,148.905,125.04,,
T,36.883642000,-87.705916000,153.8,278.0,-1.7,148.968,62.82,,
T,36.883763000,-87.706931000,153.0,278.5,-1.0,149.059,91.48,,
T,36.883856000,-87.707556000,152.6,280.5,-0.6,149.116,56.66,,
T,36.883970000,-87.708357000,153.8,280.1,1.6,149.188,72.52,,
T,36.884071000,-87.708855000,154.8,284.2,2.2,149.234,45.79,,
T,36.884126000,-87.709226000,155.3,280.5,1.6,149.268,33.63,,
