type,latitude,longitude,altitude (m),course,slope (%),distance (km),distance_interval (m),name,desc
T,36.154358000,-86.779339000,141.4,11.7,2.2,2.545,26.07,,
T,36.154438000,-86.779311000,141.5,15.8,0.7,2.554,9.23,,
T,36.154532000,-86.779278000,141.5,15.8,0.4,2.565,10.84,,
T,36.154561000,-86.779237000,141.4,48.8,-1.9,2.570,4.90,,
T,36.154629000,-86.779183000,141.3,32.7,-2.2,2.579,8.97,,
T,36.154690000,-86.779152000,141.1,22.3,-2.2,2.586,7.32,,
T,36.154731000,-86.779142000,141.0,11.1,-1.5,2.591,4.64,,
T,36.154786000,-86.779134000,140.9,6.7,-1.3,2.597,6.15,,
T,36.154836000,-86.779149000,140.9,346.4,-0.2,2.602,5.71,,
T,36.154912000,-86.779188000,141.0,337.5,0.4,2.612,9.13,,
T,36.154975000,-86.779252000,141.1,320.6,1.3,2.621,9.06,,
T,36.155021000,-86.779336000,141.2,304.1,1.5,2.630,9.12,,
T,36.155041000,-86.779400000,141.3,291.2,1.0,2.636,6.17,,
T,36.155049000,-86.779469000,141.4,278.2,1.2,2.642,6.27,,
T,36.155073000,-86.779526000,141.4,297.5,0.8,2.648,5.78,,
T,36.155117000,-86.779599000,141.4,306.7,0.1,2.656,8.18,,
T,36.155154000,-86.779654000,141.4,309.8,-0.6,2.663,6.43,,
T,36.155166000,-86.779665000,141.4,323.5,1.1,2.664,1.66,,
T,36.155182000,-86.779682000,141.4,319.4,1.2,2.667,2.34,,
T,36.155323000,-86.779774000,141.9,332.2,2.5,2.684,17.70,,
T,36.155511000,-86.779949000,142.6,323.1,2.8,2.710,26.14,,
T,36.155812000,-86.780140000,143.2,332.9,1.5,2.748,37.56,,
T,36.156166000,-86.780359000,144.6,333.5,3.1,2.792,43.95,,
T,36.156532000,-86.780595000,145.9,332.5,2.9,2.838,45.83,,
T,36.156623000,-86.780656000,146.2,331.6,2.7,2.849,11.49,,
T,36.156636000,-86.780664000,146.2,333.6,2.8,2.851,1.61,,
T,36.156662000,-86.780681000,146.3,332.2,2.9,2.854,3.27,,
T,36.156789000,-86.780758000,146.8,333.9,3.2,2.870,15.70,,
T,36.156822000,-86.780779000,146.9,332.8,2.2,2.874,4.12,,
T,36.156891000,-86.780822000,147.0,333.3,1.6,2.882,8.58,,
T,36.156956000,-86.780864000,147.2,332.4,2.1,2.891,8.14,,
T,36.157012000,-86.780899000,147.4,333.2,2.6,2.898,6.97,,
T,36.157037000,-86.780914000,147.5,334.2,2.8,2.901,3.08,,
T,36.157073000,-86.780937000,147.6,332.7,3.1,2.905,4.50,,
T,36.157162000,-86.780993000,148.0,333.1,3.2,2.916,11.09,,
T,36.157287000,-86.781073000,148.4,332.7,2.5,2.932,15.63,,
T,36.157344000,-86.781109000,148.5,333.0,2.2,2.939,7.11,,
T,36.157432000,-86.781168000,148.8,331.6,2.0,2.950,11.11,,
T,36.157529000,-86.781227000,149.0,333.8,1.8,2.962,12.00,,
T,36.157592000,-86.781266000,149.1,333.4,1.8,2.970,7.82,,
T,36.157767000,-86.781377000,149.5,332.9,1.7,2.992,21.84,,
T,36.157818000,-86.781409000,149.6,333.1,1.4,2.998,6.35,,
T,36.157869000,-86.781441000,149.6,333.1,1.2,3.004,6.35,,
T,36.157921000,-86.781475000,149.7,332.2,1.2,3.011,6.53,,
T,36.157976000,-86.781509000,149.8,333.5,1.8,3.018,6.83,,
T,36.158205000,-86.781654000,150.4,332.9,1.9,3.046,28.56,,
T,36.158368000,-86.781757000,150.6,333.0,1.3,3.067,20.32,,
T,36.158737000,-86.781991000,151.2,332.9,1.2,3.113,46.04,,
T,36.158766000,-86.782009000,151.2,333.4,0.6,3.116,3.60,,
T,36.158903000,-86.782096000,151.3,332.9,0.5,3.133,17.10,,
T,36.159024000,-86.782171000,151.3,333.4,0.2,3.148,15.03,,
T,36.159051000,-86.782189000,151.3,331.7,0.4,3.152,3.41,,
T,36.159471000,-86.782467000,151.5,331.9,0.3,3.205,52.89,,
T,36.159654000,-86.782587000,151.7,332.1,0.6,3.228,23.00,,
T,36.159824000,-86.782693000,151.8,333.3,0.5,3.249,21.14,,
T,36.159877000,-86.782727000,151.8,332.6,-0.3,3.256,6.63,,
T,36.159901000,-86.782741000,151.7,334.8,-1.6,3.258,2.95,,
T,36.160085000,-86.782856000,151.5,333.2,-0.9,3.281,22.89,,
T,36.160120000,-86.782879000,151.5,332.1,-0.2,3.286,4.40,,
T,36.160243000,-86.782963000,151.5,331.1,-0.2,3.301,15.60,,
T,36.160274000,-86.782984000,151.4,331.3,-0.4,3.305,3.92,,
T,36.160336000,-86.783025000,151.4,331.9,-0.2,3.313,7.81,,
T,36.160366000,-86.783045000,151.4,331.7,-0.1,3.317,3.78,,
T,36.160488000,-86.783128000,151.5,331.2,0.3,3.332,15.46,,
T,36.160776000,-86.783323000,151.5,331.3,0.1,3.369,36.46,,
T,36.161258000,-86.783649000,152.8,331.4,2.0,3.430,61.00,,
T,36.161402000,-86.783746000,153.3,331.5,2.8,3.448,18.21,,
T,36.161528000,-86.783832000,153.8,331.1,3.0,3.464,15.98,,
T,36.161582000,-86.783870000,154.1,330.4,4.5,3.471,6.90,,
T,36.161641000,-86.783890000,154.4,344.7,5.6,3.478,6.79,,
T,36.161679000,-86.783922000,154.7,325.8,4.2,3.483,5.11,,
T,36.161744000,-86.783997000,155.0,317.0,3.5,3.493,9.88,,
T,36.161807000,-86.784078000,155.2,313.9,2.3,3.503,10.10,,
T,36.161991000,-86.784342000,156.3,310.8,3.3,3.534,31.32,,
T,36.162282000,-86.784897000,155.0,303.0,-2.1,3.594,59.47,,
T,36.162329000,-86.784993000,154.0,301.2,-10.3,3.604,10.09,,
T,36.162444000,-86.785186000,152.3,306.4,-7.7,3.625,21.55,,
T,36.162549000,-86.785363000,150.3,306.3,-10.4,3.645,19.73,,
T,36.162567000,-86.785385000,149.9,315.4,-14.2,3.648,2.81,,
T,36.162750000,-86.785561000,148.6,322.2,-5.0,3.673,25.75,,
T,36.163854000,-86.786310000,140.8,331.3,-5.6,3.813,139.82,,
T,36.164072000,-86.786459000,139.8,331.1,-3.6,3.841,27.66,,
T,36.164305000,-86.786598000,137.8,334.3,-7.0,3.870,28.72,,
T,36.164396000,-86.786651000,137.8,334.8,0.3,3.881,11.17,,
T,36.164490000,-86.786704000,137.3,335.5,-4.5,3.892,11.47,,
T,36.164590000,-86.786755000,136.3,337.6,-8.8,3.904,12.01,,
T,36.164681000,-86.786799000,135.5,338.7,-7.5,3.915,10.85,,
T,36.164775000,-86.786842000,135.0,339.7,-3.8,3.926,11.12,,
T,36.164876000,-86.786887000,134.6,340.2,-3.3,3.938,11.92,,
T,36.164973000,-86.786928000,134.3,341.2,-2.8,3.950,11.38,,
T,36.165070000,-86.786966000,133.9,342.4,-4.2,3.961,11.29,,
T,36.165167000,-86.787002000,133.3,343.3,-4.9,3.972,11.24,,
T,36.165266000,-86.787036000,132.8,344.5,-4.1,3.984,11.40,,
T,36.165366000,-86.787067000,132.4,345.9,-4.2,3.995,11.44,,
T,36.165468000,-86.787097000,132.0,346.6,-2.9,4.007,11.64,,
T,36.165567000,-86.787124000,131.8,347.6,-1.6,4.018,11.25,,
T,36.165668000,-86.787149000,131.6,348.7,-1.8,4.029,11.43,,
T,36.165772000,-86.787171000,131.4,350.3,-1.7,4.041,11.71,,
T,36.165870000,-86.787191000,131.3,350.6,-1.6,4.052,11.02,,
T,36.165966000,-86.787208000,131.1,351.9,-1.7,4.063,10.76,,
T,36.166074000,-86.787223000,130.8,353.6,-1.9,4.075,12.06,,
T,36.166176000,-86.787233000,130.6,355.5,-1.9,4.086,11.35,,
T,36.166280000,-86.787238000,130.4,357.8,-1.9,4.098,11.55,,
T,36.166382000,-86.787236000,130.2,0.9,-1.7,4.109,11.32,,
T,36.166463000,-86.787220000,130.1,9.1,-1.5,4.118,9.10,,
T,36.166573000,-86.787192000,129.9,11.6,-1.5,4.131,12.46,,
T,36.167017000,-86.787102000,129.3,9.3,-1.3,4.181,49.93,,
T,36.167174000,-86.787034000,129.0,19.3,-1.1,4.199,18.46,,
T,36.167250000,-86.786977000,128.9,31.2,-1.5,4.209,9.87,,
T,36.167436000,-86.786838000,128.7,31.1,-0.8,4.233,24.13,,
T,36.167676000,-86.786608000,128.6,37.7,-0.4,4.267,33.73,,
T,36.167780000,-86.786465000,128.6,48.0,0.1,4.284,17.28,,
T,36.167865000,-86.786349000,128.7,47.8,0.6,4.298,14.07,,
T,36.167933000,-86.786242000,128.7,51.8,0.3,4.310,12.23,,
T,36.168011000,-86.786122000,128.9,51.2,1.0,4.324,13.84,,
T,36.168119000,-86.785934000,129.0,54.6,0.9,4.345,20.73,,
T,36.168219000,-86.785748000,129.1,56.3,0.1,4.365,20.08,,
