type,latitude,longitude,altitude (m),vmg (km/h),course,slope (%),distance (km),distance_interval (m),eos,name,desc
T,37.074387000,-88.694274000,119.0,,249.3,0.6,12.084,34.39,,,
T,37.074332000,-88.694456000,119.0,,249.3,0.5,12.101,17.30,,,
T,37.073959000,-88.695689000,119.1,,249.2,0.0,12.218,117.20,,,
T,37.073655000,-88.696689000,120.2,,249.1,1.1,12.313,95.11,,,
T,37.073377000,-88.697602000,120.3,,249.1,0.2,12.400,86.85,,,
T,37.072898000,-88.699184000,119.3,,249.2,-0.7,12.550,150.39,,,
T,37.072801000,-88.699504000,119.2,,249.2,-0.4,12.581,30.42,,,
T,37.072395000,-88.700849000,118.3,,249.3,-0.7,12.709,127.81,,,
T,37.072367000,-88.700941000,118.2,,249.1,-1.1,12.717,8.75,,,
T,37.072295000,-88.701189000,118.6,,250.0,1.5,12.741,23.46,,,
T,37.072220000,-88.701458000,118.6,,250.7,0.0,12.766,25.33,,,
T,37.072209000,-88.701497000,118.6,,250.5,-0.7,12.770,3.68,,,
T,37.072080000,-88.701995000,117.9,,252.0,-1.4,12.816,46.54,,,
T,37.072083000,-88.702234000,117.4,,270.9,-2.4,12.838,21.26,,,
T,37.072044000,-88.702417000,116.9,,255.0,-2.6,12.854,16.84,,,
T,37.071989000,-88.702669000,116.2,,254.7,-2.9,12.878,23.23,,,
T,37.071923000,-88.702985000,115.9,,255.3,-1.3,12.907,29.04,,,
T,37.071877000,-88.703223000,116.1,,256.4,0.8,12.929,21.77,,,
T,37.071821000,-88.703507000,116.4,,256.1,1.4,12.955,26.01,,,
T,37.071786000,-88.703722000,116.7,,258.5,1.5,12.974,19.51,,,
T,37.071740000,-88.703985000,117.0,,257.6,1.4,12.998,23.94,,,
T,37.071698000,-88.704269000,117.1,,259.5,0.3,13.024,25.68,,,
T,37.071660000,-88.704552000,116.8,,260.4,-1.1,13.049,25.52,,,
T,37.071631000,-88.704794000,116.4,,261.5,-1.9,13.071,21.76,,,
T,37.071596000,-88.705062000,116.0,,260.7,-1.7,13.095,24.15,,,
T,37.071562000,-88.705386000,115.8,,262.5,-0.7,13.124,29.06,,,
T,37.071532000,-88.705685000,115.8,,262.8,-0.0,13.151,26.80,,,
T,37.071507000,-88.705974000,115.8,,263.8,0.0,13.177,25.85,,,
T,37.071482000,-88.706338000,115.3,,265.1,-1.4,13.209,32.49,,,
T,37.071468000,-88.706589000,114.9,,266.0,-2.0,13.232,22.38,,,
T,37.071458000,-88.706853000,114.7,,267.3,-0.9,13.255,23.50,,,
T,37.071450000,-88.707200000,114.9,,268.3,0.8,13.286,30.87,,,
T,37.071446000,-88.707557000,115.0,,269.2,0.4,13.318,31.75,,,
T,37.071445000,-88.707793000,114.8,,269.7,-1.3,13.339,20.99,,,
T,37.071450000,-88.708187000,114.1,,270.9,-1.9,13.374,35.04,,,
T,37.071481000,-88.709946000,115.1,,271.3,0.7,13.530,156.46,,,
T,37.071513000,-88.711823000,113.4,,271.2,-1.0,13.697,166.96,,,
T,37.071574000,-88.715011000,118.3,,271.4,1.7,13.981,283.58,,,
T,37.071591000,-88.715890000,115.7,,271.4,-3.3,14.059,78.19,,,
T,37.071647000,-88.718911000,112.6,,271.3,-1.2,14.328,268.72,,,
T,37.071672000,-88.720364000,105.5,,271.2,-5.5,14.457,129.24,,,
T,37.071695000,-88.721408000,103.6,,271.6,-2.0,14.550,92.88,,,
T,37.071722000,-88.722833000,103.4,,271.4,-0.2,14.677,126.76,,,
T,37.071728000,-88.723134000,103.4,,271.4,-0.0,14.703,26.78,,,
T,37.071760000,-88.725037000,102.6,,271.2,-0.5,14.873,169.27,,,
T,37.071777000,-88.725945000,103.0,,271.3,0.5,14.953,80.77,,,
T,37.071791000,-88.726383000,103.0,,272.3,0.0,14.992,38.98,,,
T,37.071801000,-88.726701000,103.2,,272.3,0.6,15.021,28.30,,,
T,37.071815000,-88.726941000,103.3,,274.2,0.5,15.042,21.40,,,
T,37.071865000,-88.727517000,103.7,,276.2,0.7,15.094,51.52,,,
T,37.071903000,-88.727853000,103.9,,278.1,0.7,15.124,30.18,,,
T,37.071934000,-88.728086000,104.1,,279.5,1.1,15.145,21.00,,,
T,37.071973000,-88.728366000,104.3,,279.9,0.8,15.170,25.27,,,
T,37.072082000,-88.728987000,104.5,,282.4,0.4,15.227,56.53,,,
T,37.072141000,-88.729292000,104.5,,283.6,-0.1,15.255,27.90,,,
T,37.072608000,-88.731402000,104.2,,285.5,-0.1,15.449,194.66,,,
T,37.073957000,-88.737497000,107.9,,285.5,0.6,16.011,562.30,,,
T,37.074069000,-88.738020000,109.5,,285.0,3.3,16.060,48.14,,,
T,37.074169000,-88.738570000,110.1,,282.8,1.4,16.110,50.15,,,
T,37.074233000,-88.739006000,110.9,,280.4,1.8,16.149,39.42,,,
T,37.074266000,-88.739266000,111.2,,279.0,1.4,16.173,23.41,,,
T,37.074289000,-88.739508000,111.2,,276.8,-0.0,16.194,21.67,,,
T,37.074325000,-88.740045000,111.6,,274.8,0.8,16.242,47.92,,,
T,37.074330000,-88.740295000,112.4,,271.4,3.7,16.264,22.24,,,
T,37.074332000,-88.740523000,112.9,,270.6,2.7,16.285,20.28,,,
T,37.074321000,-88.741061000,113.5,,268.5,1.2,16.333,47.86,,,
T,37.074309000,-88.741330000,113.7,,266.8,0.9,16.357,23.96,,,
T,37.074268000,-88.741819000,113.8,,264.0,0.2,16.400,43.72,,,
T,37.074209000,-88.742314000,114.1,,261.5,0.7,16.445,44.50,,,
T,37.074010000,-88.743596000,115.6,,259.0,1.3,16.561,116.12,,,
T,37.073507000,-88.746735000,114.2,,258.6,-0.5,16.846,284.66,,,
T,37.073318000,-88.747927000,113.3,,258.8,-0.9,16.954,108.06,,,
T,37.073266000,-88.748286000,113.6,,259.7,1.1,16.986,32.44,,,
T,37.073198000,-88.748768000,114.3,,260.0,1.5,17.030,43.52,,,
