type,latitude,longitude,altitude (m),vmg (km/h),course,slope (%),distance (km),distance_interval (m),eos,name,desc
T,41.821740000,-103.634443000,1184.7,,101.4,-0.9,6.441,23.05,,,
T,41.821596000,-103.633942000,1184.8,,111.1,0.2,6.485,44.59,,,
T,41.821495000,-103.633588000,1184.6,,110.9,-0.6,6.517,31.48,,,
T,41.821373000,-103.633191000,1184.5,,112.4,-0.3,6.552,35.66,,,
T,41.821229000,-103.632674000,1184.4,,110.5,-0.2,6.598,45.83,,,
T,41.821179000,-103.632504000,1184.4,,111.5,0.3,6.613,15.18,,,
T,41.820655000,-103.630804000,1184.1,,112.5,-0.2,6.766,152.76,,,
T,41.820610000,-103.630658000,1184.4,,112.5,2.2,6.779,13.12,,,
T,41.820541000,-103.630436000,1184.3,,112.6,-0.9,6.799,19.97,,,
T,41.820535000,-103.630418000,1184.2,,114.1,-2.9,6.801,1.64,,,
T,41.820466000,-103.630196000,1183.8,,112.6,-2.1,6.821,19.97,,,
T,41.819910000,-103.628405000,1183.1,,112.6,-0.4,6.982,161.11,,,
T,41.819562000,-103.628572000,1182.8,,199.7,-0.7,7.023,41.07,,,
T,41.819200000,-103.628771000,1182.7,,202.3,-0.2,7.067,43.47,,,
T,41.819080000,-103.628854000,1182.7,,207.3,0.0,7.082,15.01,,,
T,41.818976000,-103.628956000,1182.8,,216.2,0.3,7.096,14.33,,,
T,41.818876000,-103.629101000,1183.1,,227.2,1.9,7.112,16.39,,,
T,41.818798000,-103.629256000,1183.3,,236.0,1.2,7.128,15.52,,,
T,41.818744000,-103.629412000,1183.5,,245.1,1.2,7.142,14.28,,,
T,41.818716000,-103.629562000,1183.6,,255.9,1.2,7.155,12.84,,,
T,41.818704000,-103.629731000,1184.1,,264.6,3.4,7.169,14.10,,,
T,41.818710000,-103.629908000,1184.7,,272.6,4.2,7.184,14.72,,,
T,41.818738000,-103.630074000,1185.9,,282.8,8.2,7.198,14.14,,,
