type,latitude,longitude,course,distance (km),distance_interval (m),name,desc
T,36.806940000,-87.397752000,302.4,117.858,233.23,,
T,36.807702000,-87.399290000,301.7,118.019,161.20,,
T,36.807955000,-87.399760000,303.9,118.070,50.47,,
T,36.808265000,-87.400304000,305.4,118.129,59.50,,
T,36.808732000,-87.401074000,307.1,118.215,86.06,,
T,36.810120000,-87.403395000,306.8,118.473,258.11,,
T,36.810682000,-87.404301000,307.8,118.576,102.11,,
T,36.811036000,-87.404872000,307.8,118.640,64.34,,
T,36.811181000,-87.405121000,306.0,118.667,27.43,,
T,36.811353000,-87.405437000,304.2,118.701,34.05,,
T,36.811485000,-87.405703000,301.8,118.729,27.89,,
T,36.811790000,-87.406376000,299.5,118.798,68.93,,
T,36.812122000,-87.407167000,297.7,118.878,79.62,,
T,36.812689000,-87.408504000,297.9,119.013,134.88,,
T,36.813850000,-87.411269000,297.7,119.291,278.33,,
T,36.814076000,-87.411780000,298.9,119.343,52.04,,
T,36.814360000,-87.412386000,300.3,119.406,62.59,,
T,36.814467000,-87.412599000,302.1,119.428,22.41,,
T,36.814526000,-87.412716000,302.2,119.440,12.32,,
T,36.814736000,-87.413111000,303.6,119.483,42.25,,
T,36.814796000,-87.413224000,303.6,119.495,12.08,,
T,36.815044000,-87.413661000,305.3,119.542,47.73,,
T,36.815390000,-87.414233000,307.1,119.606,63.87,,
T,36.816304000,-87.415588000,310.1,119.764,157.81,,
T,36.818438000,-87.418877000,309.0,120.141,377.10,,
T,36.819066000,-87.419845000,309.0,120.252,110.98,,
T,36.823548000,-87.426752000,309.0,121.044,791.92,,
T,36.825595000,-87.429923000,308.9,121.407,362.82,,
T,36.826578000,-87.431443000,308.9,121.581,174.04,,
T,36.826999000,-87.432095000,308.9,121.656,74.61,,
T,36.828373000,-87.434220000,308.9,121.899,243.29,,
T,36.828373000,-87.434220000,308.9,121.899,0.00,,
T,36.829162000,-87.435441000,308.9,122.039,139.76,,
T,36.830509000,-87.437524000,308.9,122.277,238.49,,
T,36.830580000,-87.437632000,309.4,122.290,12.45,,
T,36.832061000,-87.439922000,308.9,122.552,262.19,,
T,36.832491000,-87.440594000,308.6,122.628,76.62,,
T,36.832711000,-87.440939000,308.5,122.668,39.28,,
T,36.832943000,-87.441322000,307.1,122.710,42.78,,
T,36.833215000,-87.441797000,305.6,122.762,52.02,,
T,36.833520000,-87.442364000,303.9,122.823,60.86,,
T,36.833719000,-87.442761000,302.1,122.865,41.74,,
T,36.833913000,-87.443173000,300.5,122.908,42.59,,
T,36.834098000,-87.443586000,299.2,122.950,42.18,,
T,36.834350000,-87.444187000,297.6,123.010,60.47,,
T,36.834782000,-87.445263000,296.6,123.118,107.29,,
T,36.834874000,-87.445494000,296.5,123.141,23.00,,
T,36.835324000,-87.446620000,296.5,123.253,112.17,,
T,36.835585000,-87.447275000,296.5,123.318,65.21,,
T,36.836386000,-87.449280000,296.5,123.518,199.72,,
T,36.836437000,-87.449407000,296.6,123.530,12.66,,
T,36.836916000,-87.450606000,296.5,123.650,119.43,,
T,36.837102000,-87.451071000,296.6,123.696,46.33,,
T,36.837247000,-87.451436000,296.4,123.732,36.32,,
T,36.837265000,-87.451480000,297.1,123.737,4.40,,
T,36.837450000,-87.451915000,298.0,123.781,43.90,,
T,36.837619000,-87.452297000,298.9,123.820,38.90,,
T,36.837891000,-87.452879000,300.3,123.880,60.05,,
T,36.838320000,-87.453730000,302.2,123.969,89.60,,
T,36.838540000,-87.454140000,303.8,124.013,43.97,,
T,36.838834000,-87.454654000,305.6,124.069,56.27,,
T,36.838970000,-87.454883000,306.6,124.095,25.40,,
T,36.839260000,-87.455353000,307.6,124.148,52.85,,
T,36.839569000,-87.455830000,309.0,124.202,54.65,,
T,36.839698000,-87.456021000,310.2,124.225,22.25,,
T,36.839765000,-87.456117000,311.1,124.236,11.34,,
T,36.840072000,-87.456557000,311.1,124.288,51.97,,
T,36.840469000,-87.457091000,312.9,124.353,64.88,,
T,36.840970000,-87.457750000,313.5,124.434,80.91,,
T,36.841962000,-87.459055000,313.5,124.594,160.21,,
T,36.842875000,-87.460252000,313.6,124.741,147.19,,
T,36.842957000,-87.460361000,313.2,124.754,13.32,,
T,36.843388000,-87.460801000,320.8,124.816,61.87,,
T,36.843636000,-87.461129000,313.4,124.857,40.17,,
T,36.843957000,-87.461554000,313.3,124.909,52.02,,
T,36.843998000,-87.461608000,313.5,124.915,6.63,,
T,36.844525000,-87.462306000,313.3,125.001,85.42,,
T,36.844646000,-87.462466000,313.4,125.020,19.60,,
T,36.844770000,-87.462630000,313.4,125.040,20.08,,
T,36.844779000,-87.462642000,313.1,125.042,1.46,,
T,36.845379000,-87.463426000,313.7,125.138,96.56,,
T,36.845560000,-87.463662000,313.8,125.167,29.10,,
T,36.846129000,-87.464401000,313.9,125.259,91.28,,
T,36.846229000,-87.464657000,296.0,125.284,25.39,,
T,36.847269000,-87.466035000,313.3,125.453,168.60,,
T,36.847631000,-87.466532000,312.3,125.512,59.82,,
T,36.848374000,-87.467579000,311.6,125.637,124.57,,
T,36.848886000,-87.468301000,311.5,125.723,85.88,,
T,36.848886000,-87.468301000,311.5,125.723,0.00,,
T,36.849111000,-87.468617000,311.7,125.761,37.65,,
T,36.849298000,-87.468889000,310.7,125.792,31.92,,
T,36.849354000,-87.468968000,311.5,125.802,9.39,,
T,36.850091000,-87.470010000,311.5,125.926,123.80,,
T,36.850091000,-87.470010000,311.5,125.926,0.00,,
T,36.850533000,-87.470635000,311.5,126.000,74.25,,
T,36.850798000,-87.471005000,311.8,126.044,44.20,,
T,36.850917000,-87.471174000,311.3,126.064,20.04,,
T,36.851103000,-87.471438000,311.4,126.095,31.31,,
T,36.851128000,-87.471474000,311.0,126.100,4.24,,
T,36.851331000,-87.471762000,311.4,126.134,34.16,,
T,36.851525000,-87.472037000,311.4,126.167,32.63,,
T,36.851622000,-87.472174000,311.5,126.183,16.28,,
T,36.851622000,-87.472174000,311.5,126.183,0.00,,
T,36.852522000,-87.473422000,312.0,126.332,149.54,,
T,36.853696000,-87.474995000,313.0,126.524,191.45,,
T,36.854212000,-87.475677000,313.4,126.607,83.54,,
T,36.854453000,-87.475991000,313.8,126.646,38.72,,
T,36.854553000,-87.476111000,316.2,126.661,15.42,,
T,36.854760000,-87.476393000,312.5,126.696,34.06,,
T,36.855041000,-87.476746000,314.9,126.740,44.31,,
T,36.855255000,-87.477003000,316.1,126.773,33.00,,
T,36.855464000,-87.477212000,321.3,126.803,29.75,,
T,36.855747000,-87.477470000,323.9,126.842,38.93,,
T,36.856176000,-87.477827000,326.3,126.899,57.27,,
T,36.856990000,-87.478433000,329.2,127.004,105.27,,
T,36.857103000,-87.478529000,325.8,127.019,15.18,,
T,36.857196000,-87.478572000,339.7,127.030,11.01,,
T,36.857511000,-87.478747000,336.0,127.069,38.28,,
T,36.857690000,-87.478832000,339.2,127.090,21.26,,
T,36.858047000,-87.478983000,341.3,127.132,41.84,,
T,36.858278000,-87.479081000,341.3,127.159,27.08,,
T,36.858603000,-87.479208000,342.6,127.197,37.80,,
T,36.859284000,-87.479489000,341.7,127.276,79.62,,
T,36.859340000,-87.479512000,341.8,127.283,6.54,,
T,36.859764000,-87.479698000,340.7,127.333,49.89,,
T,36.860488000,-87.480044000,339.1,127.419,86.07,,
T,36.860606000,-87.480067000,351.1,127.432,13.25,,
T,36.860863000,-87.480161000,343.7,127.462,29.73,,
T,36.860937000,-87.480191000,342.0,127.470,8.64,,
T,36.861331000,-87.480379000,339.1,127.517,46.83,,
T,36.861419000,-87.480426000,336.9,127.528,10.63,,
T,36.861575000,-87.480514000,335.7,127.547,19.01,,
T,36.861770000,-87.480645000,331.7,127.571,24.59,,
T,36.861856000,-87.480718000,325.8,127.583,11.55,,
T,36.861936000,-87.480800000,320.6,127.594,11.50,,
T,36.862005000,-87.480895000,312.2,127.606,11.42,,
T,36.862062000,-87.481025000,298.7,127.619,13.21,,
T,36.862425000,-87.481830000,299.4,127.701,82.31,,
T,36.862480000,-87.481953000,299.2,127.714,12.55,,
T,36.862554000,-87.482122000,298.7,127.731,17.16,,
T,36.862679000,-87.482403000,299.1,127.760,28.64,,
T,36.862818000,-87.482719000,298.8,127.792,32.12,,
T,36.863016000,-87.483192000,297.6,127.839,47.56,,
T,36.863414000,-87.484088000,299.0,127.931,91.29,,
T,36.863830000,-87.485053000,298.3,128.028,97.65,,
T,36.864258000,-87.486008000,299.3,128.126,97.51,,
T,36.864671000,-87.486947000,298.8,128.221,95.45,,
T,36.865093000,-87.487905000,298.8,128.319,97.42,,
T,36.865535000,-87.488879000,299.6,128.418,99.74,,
T,36.865972000,-87.489851000,299.3,128.518,99.32,,
T,36.866007000,-87.489941000,295.9,128.527,8.92,,
T,36.866232000,-87.490508000,296.4,128.583,56.39,,
T,36.866237000,-87.490521000,295.7,128.584,1.29,,
T,36.866338000,-87.490776000,296.3,128.610,25.35,,
T,36.866696000,-87.491680000,296.3,128.700,89.87,,
T,36.867388000,-87.493291000,298.2,128.862,162.89,,
T,36.867446000,-87.493364000,314.8,128.872,9.15,,
T,36.867502000,-87.493400000,332.8,128.879,6.99,,
T,36.867573000,-87.493425000,344.3,128.887,8.19,,
T,36.867654000,-87.493424000,0.6,128.896,8.99,,
T,36.868019000,-87.493343000,10.1,128.937,41.14,,
T,36.868116000,-87.493343000,0.0,128.948,10.76,,
T,36.868167000,-87.493377000,331.9,128.954,6.42,,
T,36.868244000,-87.493469000,316.3,128.966,11.85,,
T,36.868464000,-87.493928000,300.9,129.014,47.66,,
T,36.868640000,-87.494342000,298.0,129.055,41.76,,
T,36.868882000,-87.494874000,299.6,129.110,54.51,,
T,36.869331000,-87.495881000,299.1,129.213,102.69,,
T,36.869447000,-87.496137000,299.5,129.239,26.21,,
T,36.869629000,-87.496530000,300.1,129.279,40.45,,
T,36.869878000,-87.497040000,301.4,129.332,53.21,,
T,36.870196000,-87.497640000,303.5,129.397,64.09,,
T,36.870386000,-87.497984000,304.6,129.434,37.22,,
T,36.870735000,-87.498603000,305.2,129.501,67.43,,
T,36.871237000,-87.499495000,305.1,129.598,97.10,,
T,36.871302000,-87.499613000,304.6,129.611,12.76,,
T,36.871444000,-87.499847000,307.2,129.637,26.15,,
T,36.871520000,-87.499957000,310.8,129.650,12.94,,
T,36.871723000,-87.500221000,313.9,129.683,32.58,,
T,36.871862000,-87.500389000,316.0,129.704,21.50,,
T,36.872212000,-87.500779000,318.3,129.756,52.13,,
T,36.872336000,-87.500911000,319.6,129.774,18.11,,
T,36.872385000,-87.500955000,324.3,129.781,6.71,,
T,36.872473000,-87.501047000,320.1,129.794,12.75,,
T,36.872656000,-87.501227000,321.8,129.820,25.88,,
T,36.873002000,-87.501534000,324.6,129.867,47.15,,
T,36.873230000,-87.501738000,324.4,129.898,31.16,,
T,36.873553000,-87.502029000,324.2,129.942,44.25,,
T,36.873961000,-87.502395000,324.3,129.998,55.81,,
T,36.874548000,-87.502921000,324.4,130.078,80.27,,
T,36.874835000,-87.503173000,324.9,130.117,38.98,,
T,36.875054000,-87.503382000,322.6,130.148,30.62,,
T,36.875291000,-87.503631000,320.0,130.182,34.42,,
T,36.875575000,-87.503978000,315.7,130.227,44.16,,
T,36.876002000,-87.504586000,311.3,130.299,72.00,,
T,36.876244000,-87.504908000,313.2,130.338,39.31,,
T,36.876555000,-87.505339000,312.1,130.390,51.65,,
T,36.876720000,-87.505568000,312.0,130.417,27.42,,
T,36.877101000,-87.506096000,312.1,130.480,63.27,,
T,36.877423000,-87.506554000,311.3,130.535,54.26,,
T,36.877924000,-87.507349000,308.2,130.625,90.08,,
T,36.878076000,-87.507603000,306.8,130.653,28.24,,
T,36.878315000,-87.508044000,304.1,130.700,47.43,,
T,36.878488000,-87.508378000,302.9,130.736,35.43,,
T,36.878764000,-87.508950000,301.1,130.795,59.49,,
T,36.878969000,-87.509419000,298.7,130.843,47.60,,
T,36.879049000,-87.509623000,296.1,130.863,20.24,,
T,36.879210000,-87.510018000,297.0,130.903,39.49,,
T,36.879565000,-87.510943000,295.6,130.994,91.39,,
T,36.879711000,-87.511323000,295.7,131.031,37.55,,
T,36.879807000,-87.511598000,293.6,131.058,26.73,,
T,36.879869000,-87.511840000,287.8,131.081,22.65,,
T,36.879900000,-87.512028000,281.6,131.098,17.11,,
T,36.879913000,-87.512166000,276.7,131.110,12.39,,
T,36.879917000,-87.512319000,271.9,131.124,13.65,,
T,36.879910000,-87.512523000,267.5,131.142,18.20,,
T,36.879884000,-87.512737000,261.4,131.161,19.30,,
T,36.879837000,-87.512948000,254.4,131.181,19.52,,
T,36.879807000,-87.513053000,250.3,131.191,9.94,,
T,36.879673000,-87.513479000,248.5,131.232,40.79,,
T,36.879064000,-87.515337000,247.7,131.411,178.90,,
T,36.878558000,-87.516882000,247.7,131.559,148.75,,
T,36.878441000,-87.517246000,248.1,131.594,34.95,,
T,36.878036000,-87.518505000,248.1,131.715,120.91,,
T,36.877880000,-87.518972000,247.3,131.760,45.09,,
T,36.877823000,-87.519142000,247.3,131.777,16.42,,
T,36.877668000,-87.519623000,248.1,131.823,46.20,,
T,36.877025000,-87.521635000,248.2,132.016,193.05,,
T,36.876809000,-87.522283000,247.4,132.079,62.55,,
T,36.876638000,-87.522770000,246.3,132.126,47.38,,
T,36.876479000,-87.523158000,242.9,132.165,38.83,,
T,36.876259000,-87.523641000,240.3,132.214,49.50,,
T,36.871954000,-87.532650000,239.2,133.149,934.57,,
T,36.871819000,-87.532952000,240.8,133.180,30.81,,
T,36.871739000,-87.533159000,244.2,133.200,20.48,,
T,36.871672000,-87.533373000,248.6,133.221,20.48,,
T,36.871597000,-87.533701000,254.0,133.251,30.41,,
T,36.871560000,-87.533922000,258.2,133.271,20.13,,
T,36.871547000,-87.534030000,261.4,133.281,9.74,,
T,36.871529000,-87.534248000,264.1,133.300,19.54,,
T,36.871521000,-87.534463000,267.3,133.320,19.19,,
T,36.871529000,-87.534783000,271.8,133.348,28.55,,
T,36.871550000,-87.535002000,276.8,133.368,19.66,,
T,36.871581000,-87.535219000,280.1,133.387,19.65,,
T,36.871623000,-87.535437000,283.5,133.407,19.99,,
T,36.872745000,-87.540565000,285.3,133.881,473.87,,
T,36.872909000,-87.541278000,286.0,133.947,66.12,,
T,36.873050000,-87.541862000,286.8,134.002,54.37,,
T,36.873221000,-87.542532000,287.7,134.064,62.68,,
T,36.873377000,-87.543121000,288.3,134.120,55.29,,
T,36.873470000,-87.543465000,288.7,134.152,32.36,,
T,36.873668000,-87.544073000,292.2,134.211,58.49,,
T,36.873728000,-87.544323000,286.7,134.234,23.26,,
T,36.873830000,-87.544748000,286.7,134.273,39.55,,
T,36.873982000,-87.545397000,286.3,134.334,60.27,,
T,36.874132000,-87.546171000,283.6,134.405,70.99,,
T,36.874156000,-87.546298000,283.3,134.416,11.63,,
T,36.874207000,-87.546530000,285.4,134.438,21.45,,
T,36.874942000,-87.550719000,282.4,134.820,382.28,,
T,36.875645000,-87.554730000,282.4,135.186,366.02,,
T,36.875698000,-87.555012000,283.2,135.212,25.82,,
T,36.875803000,-87.555530000,284.2,135.260,47.63,,
T,36.875916000,-87.556046000,285.3,135.307,47.68,,
T,36.875976000,-87.556302000,286.3,135.331,23.78,,
T,36.876106000,-87.556804000,287.9,135.378,47.02,,
T,36.876376000,-87.557784000,289.0,135.470,92.37,,
T,36.876522000,-87.558266000,290.7,135.516,45.93,,
T,36.876760000,-87.558983000,292.5,135.585,69.17,,
T,36.877701000,-87.561709000,293.3,135.850,264.52,,
T,36.878188000,-87.563131000,293.2,135.988,137.82,,
T,36.878334000,-87.563615000,290.7,136.034,46.09,,
T,36.878456000,-87.564100000,287.5,136.079,45.31,,
T,36.878514000,-87.564354000,285.9,136.103,23.54,,
T,36.878610000,-87.564857000,283.4,136.149,46.09,,
T,36.878650000,-87.565109000,281.2,136.172,22.90,,
T,36.878684000,-87.565361000,279.6,136.195,22.78,,
T,36.878713000,-87.565611000,278.3,136.217,22.52,,
T,36.878735000,-87.565859000,276.3,136.239,22.24,,
T,36.878837000,-87.567663000,274.0,136.401,161.23,,
T,36.879057000,-87.571732000,273.9,136.764,363.58,,
T,36.879290000,-87.576008000,273.9,137.146,382.09,,
T,36.879544000,-87.580605000,274.0,137.557,410.80,,
T,36.879908000,-87.587260000,273.9,138.152,594.68,,
T,36.880028000,-87.589433000,273.9,138.346,194.18,,
T,36.880030000,-87.589474000,273.5,138.350,3.66,,
T,36.880087000,-87.590335000,274.7,138.427,77.02,,
T,36.880162000,-87.591193000,276.2,138.503,76.94,,
T,36.880219000,-87.591764000,277.1,138.555,51.30,,
T,36.880244000,-87.591976000,278.4,138.574,19.10,,
T,36.880320000,-87.592618000,278.4,138.632,57.85,,
T,36.880474000,-87.593760000,279.6,138.735,103.23,,
T,36.880914000,-87.596847000,280.1,139.014,279.51,,
T,36.881355000,-87.599986000,280.0,139.299,284.09,,
T,36.881423000,-87.600545000,278.6,139.349,50.40,,
T,36.881453000,-87.600827000,277.6,139.374,25.36,,
T,36.881476000,-87.601110000,275.8,139.400,25.36,,
T,36.881494000,-87.601390000,274.6,139.425,25.04,,
T,36.881507000,-87.601670000,273.3,139.450,25.00,,
T,36.881530000,-87.602769000,271.5,139.548,98.01,,
T,36.881573000,-87.606269000,270.9,139.860,312.06,,
T,36.881581000,-87.606835000,271.0,139.910,50.47,,
T,36.881594000,-87.607392000,271.7,139.960,49.68,,
T,36.881606000,-87.607674000,273.0,139.985,25.18,,
T,36.881623000,-87.607957000,274.3,140.010,25.30,,
T,36.881646000,-87.608241000,275.8,140.036,25.45,,
T,36.881676000,-87.608525000,277.5,140.061,25.54,,
T,36.881750000,-87.609085000,279.4,140.112,50.59,,
T,36.881789000,-87.609333000,281.1,140.135,22.53,,
T,36.882212000,-87.612041000,281.1,140.380,245.94,,
T,36.882257000,-87.612288000,282.8,140.403,22.58,,
T,36.882508000,-87.613851000,281.4,140.545,142.10,,
T,36.882588000,-87.614381000,280.7,140.593,48.08,,
T,36.882657000,-87.614913000,279.2,140.641,48.04,,
T,36.882686000,-87.615179000,277.8,140.665,23.93,,
T,36.882708000,-87.615447000,275.9,140.689,24.02,,
T,36.882742000,-87.616072000,273.9,140.745,55.85,,
T,36.882756000,-87.616519000,272.2,140.785,39.88,,
T,36.882760000,-87.616787000,271.1,140.809,23.90,,
T,36.882759000,-87.617056000,269.7,140.833,23.98,,
T,36.882739000,-87.617591000,267.3,140.881,47.75,,
T,36.882723000,-87.617857000,265.7,140.904,23.78,,
T,36.882702000,-87.618123000,264.4,140.928,23.83,,
T,36.882647000,-87.618650000,262.6,140.976,47.38,,
T,36.882616000,-87.618911000,261.6,140.999,23.52,,
T,36.882540000,-87.619426000,259.5,141.046,46.68,,
T,36.882450000,-87.619927000,257.3,141.092,45.77,,
T,36.882345000,-87.620415000,254.9,141.137,45.04,,
T,36.882223000,-87.620897000,252.4,141.182,45.05,,
T,36.882087000,-87.621370000,250.2,141.226,44.79,,
T,36.881939000,-87.621846000,248.8,141.272,45.50,,
T,36.881149000,-87.624267000,247.8,141.505,232.96,,
T,36.880826000,-87.625251000,247.7,141.600,94.76,,
T,36.880432000,-87.626449000,247.6,141.715,115.41,,
T,36.879905000,-87.628056000,247.7,141.870,154.74,,
T,36.879619000,-87.628925000,247.6,141.953,83.72,,
T,36.879082000,-87.630476000,246.6,142.104,150.57,,
T,36.878915000,-87.630959000,246.6,142.151,46.88,,
T,36.878629000,-87.631835000,247.8,142.235,84.30,,
T,36.878309000,-87.632913000,249.6,142.338,102.46,,
T,36.878193000,-87.633278000,248.3,142.373,34.99,,
T,36.878038000,-87.633818000,250.3,142.424,51.12,,
T,36.877943000,-87.634182000,251.9,142.458,34.12,,
T,36.877859000,-87.634556000,254.3,142.493,34.62,,
T,36.877786000,-87.634935000,256.5,142.527,34.75,,
T,36.877754000,-87.635126000,258.2,142.545,17.39,,
T,36.877680000,-87.635705000,260.9,142.597,52.27,,
T,36.877670000,-87.635807000,263.0,142.606,9.16,,
T,36.877642000,-87.636094000,263.0,142.632,25.78,,
T,36.877616000,-87.636492000,265.3,142.667,35.60,,
T,36.877605000,-87.636903000,268.1,142.704,36.66,,
T,36.877612000,-87.637318000,271.2,142.741,37.01,,
T,36.877619000,-87.637526000,272.4,142.760,18.56,,
T,36.877648000,-87.637941000,275.0,142.797,37.14,,
T,36.877689000,-87.638355000,277.1,142.834,37.19,,
T,36.877837000,-87.639606000,278.4,142.947,112.73,,
T,36.877954000,-87.640537000,278.9,143.031,84.01,,
T,36.878173000,-87.642294000,278.9,143.189,158.52,,
T,36.878232000,-87.642716000,279.9,143.228,38.19,,
T,36.878304000,-87.643143000,281.9,143.266,38.90,,
T,36.878392000,-87.643566000,284.6,143.305,38.96,,
T,36.878492000,-87.643985000,286.6,143.344,38.97,,
T,36.878548000,-87.644191000,288.8,143.364,19.39,,
T,36.878797000,-87.644998000,291.1,143.441,77.07,,
T,36.879369000,-87.646742000,292.3,143.609,167.94,,
T,36.881012000,-87.651766000,292.2,144.092,483.59,,
T,36.881300000,-87.652658000,292.0,144.178,85.70,,
T,36.881488000,-87.653265000,291.2,144.236,58.00,,
T,36.881604000,-87.653678000,289.3,144.275,39.00,,
T,36.881710000,-87.654098000,287.5,144.314,39.25,,
T,36.881859000,-87.654732000,286.4,144.373,58.89,,
T,36.881903000,-87.654946000,284.4,144.393,19.69,,
T,36.881977000,-87.655378000,282.1,144.432,39.38,,
T,36.882076000,-87.656032000,280.7,144.492,59.33,,
T,36.882106000,-87.656251000,279.7,144.511,19.81,,
T,36.882153000,-87.656687000,277.7,144.551,39.22,,
T,36.882188000,-87.657118000,275.8,144.589,38.62,,
T,36.882229000,-87.657754000,274.6,144.646,56.88,,
T,36.882246000,-87.658202000,272.7,144.686,39.98,,
T,36.882251000,-87.658590000,270.9,144.721,34.59,,
T,36.882244000,-87.659227000,269.2,144.777,56.79,,
T,36.882213000,-87.659881000,266.6,144.836,58.40,,
T,36.882141000,-87.660779000,264.3,144.916,80.45,,
T,36.881896000,-87.663572000,263.7,145.167,250.47,,
T,36.881610000,-87.666897000,263.9,145.465,298.12,,
T,36.881435000,-87.668873000,263.7,145.642,177.23,,
T,36.881308000,-87.670382000,264.0,145.777,135.26,,
T,36.881263000,-87.670886000,263.6,145.823,45.21,,
T,36.881199000,-87.671608000,263.7,145.887,64.76,,
T,36.881098000,-87.672716000,263.5,145.987,99.41,,
T,36.881063000,-87.673102000,263.5,146.021,34.63,,
T,36.880966000,-87.674303000,264.2,146.129,107.61,,
T,36.880941000,-87.674726000,265.8,146.167,37.81,,
T,36.880937000,-87.674811000,266.6,146.174,7.59,,
T,36.880911000,-87.675379000,266.7,146.225,50.72,,
T,36.880895000,-87.675821000,267.4,146.265,39.44,,
T,36.880884000,-87.676272000,268.3,146.305,40.23,,
T,36.880879000,-87.676728000,269.2,146.345,40.66,,
T,36.880881000,-87.677243000,270.3,146.391,45.91,,
T,36.880869000,-87.678080000,269.0,146.466,74.63,,
T,36.880877000,-87.678593000,271.1,146.512,45.74,,
T,36.880881000,-87.678915000,270.9,146.540,28.71,,
T,36.880908000,-87.679608000,272.8,146.602,61.85,,
T,36.880932000,-87.680331000,272.4,146.667,64.51,,
T,36.880975000,-87.680951000,275.0,146.722,55.48,,
T,36.881045000,-87.681868000,275.5,146.804,82.12,,
T,36.881221000,-87.683533000,277.5,146.954,149.71,,
T,36.881396000,-87.685061000,278.1,147.092,137.60,,
T,36.881740000,-87.687878000,278.7,147.346,254.02,,
T,36.882220000,-87.692520000,277.4,147.763,417.24,,
T,36.882482000,-87.694927000,277.8,147.980,216.54,,
T,36.882787000,-87.697778000,277.6,148.236,256.41,,
T,36.882912000,-87.698930000,277.7,148.340,103.63,,
T,36.883419000,-87.703827000,277.4,148.780,440.17,,
T,36.883564000,-87.705218000,277.4,148.905,125.04,,
T,36.883642000,-87.705916000,278.0,148.968,62.82,,
T,36.883763000,-87.706931000,278.5,149.059,91.48,,
T,36.883856000,-87.707556000,280.5,149.116,56.66,,
T,36.883970000,-87.708357000,280.1,149.188,72.52,,
T,36.884071000,-87.708855000,284.2,149.234,45.79,,
T,36.884126000,-87.709226000,280.5,149.268,33.63,,
T,36.884227000,-87.709719000,284.4,149.313,45.36,,
T,36.884309000,-87.710134000,283.9,149.351,38.10,,
T,36.884528000,-87.711125000,285.4,149.443,91.63,,
T,36.885047000,-87.713268000,286.8,149.642,199.53,,
T,36.886715000,-87.719932000,287.4,150.265,622.23,,
T,36.886883000,-87.720581000,287.9,150.325,60.78,,
T,36.887066000,-87.721264000,288.5,150.389,64.18,,
T,36.887222000,-87.721923000,286.5,150.451,61.24,,
T,36.887524000,-87.723207000,286.4,150.570,119.27,,
T,36.887599000,-87.723715000,280.5,150.616,46.04,,
T,36.887629000,-87.723971000,278.3,150.639,23.06,,
T,36.887650000,-87.724227000,275.9,150.662,22.94,,
T,36.887658000,-87.724387000,273.6,150.676,14.29,,
T,36.887663000,-87.724484000,273.7,150.685,8.66,,
T,36.887668000,-87.724741000,271.4,150.708,22.92,,
T,36.887665000,-87.724997000,269.2,150.731,22.82,,
T,36.887654000,-87.725252000,266.9,150.753,22.76,,
T,36.887636000,-87.725507000,265.0,150.776,22.82,,
T,36.887604000,-87.725806000,262.4,150.803,26.89,,
T,36.887534000,-87.726255000,259.0,150.844,40.77,,
T,36.887485000,-87.726499000,255.9,150.866,22.42,,
T,36.887431000,-87.726740000,254.3,150.889,22.30,,
T,36.887370000,-87.726978000,252.2,150.911,22.27,,
T,36.887301000,-87.727211000,249.7,150.933,22.14,,
T,36.887284000,-87.727262000,247.4,150.938,4.92,,
T,36.887225000,-87.727439000,247.4,150.955,17.08,,
T,36.887142000,-87.727663000,245.1,150.977,21.99,,
T,36.887054000,-87.727883000,243.4,150.999,21.91,,
T,36.886958000,-87.728097000,240.7,151.021,21.85,,
T,36.886745000,-87.728514000,237.4,151.065,44.05,,
T,36.886630000,-87.728717000,234.7,151.087,22.14,,
T,36.886509000,-87.728914000,232.5,151.109,22.11,,
T,36.886381000,-87.729102000,229.6,151.131,21.97,,
T,36.886008000,-87.729466000,218.0,151.184,52.60,,
T,36.885557000,-87.730090000,227.9,151.259,74.83,,
T,36.883840000,-87.732431000,227.5,151.541,282.59,,
T,36.882549000,-87.734251000,228.4,151.758,216.45,,
T,36.881342000,-87.735972000,228.8,151.961,203.67,,
T,36.881187000,-87.736189000,228.2,151.987,25.89,,
T,36.880305000,-87.737429000,228.4,152.135,147.65,,
T,36.880175000,-87.737606000,227.4,152.156,21.38,,
T,36.879854000,-87.738014000,225.5,152.207,50.91,,
T,36.879114000,-87.738915000,224.2,152.322,114.87,,
T,36.878393000,-87.739793000,224.2,152.434,111.93,,
T,36.878108000,-87.740150000,225.1,152.479,44.87,,
T,36.877945000,-87.740365000,226.5,152.505,26.36,,
T,36.877828000,-87.740535000,229.3,152.525,19.96,,
T,36.877716000,-87.740710000,231.3,152.545,19.95,,
T,36.877579000,-87.740945000,233.9,152.571,25.89,,
T,36.877432000,-87.741226000,236.8,152.601,29.90,,
T,36.877331000,-87.741456000,241.2,152.624,23.37,,
T,36.877222000,-87.741746000,244.8,152.653,28.54,,
T,36.877209000,-87.741902000,264.1,152.667,13.98,,
T,36.877190000,-87.742049000,260.8,152.680,13.27,,
T,36.877170000,-87.742170000,258.3,152.691,11.01,,
T,36.877125000,-87.742358000,253.3,152.708,17.49,,
T,36.877058000,-87.742711000,256.7,152.741,32.34,,
T,36.877019000,-87.742985000,259.9,152.766,24.81,,
T,36.876975000,-87.743441000,263.1,152.807,40.95,,
T,36.876940000,-87.744041000,265.8,152.860,53.63,,
T,36.876810000,-87.746510000,266.2,153.081,220.60,,
