type,latitude,longitude,course,distance (km),distance_interval (m),name,desc
T,36.157592000,-86.781266000,333.4,2.970,7.82,,
T,36.157767000,-86.781377000,332.9,2.992,21.84,,
T,36.157818000,-86.781409000,333.1,2.998,6.35,,
T,36.157869000,-86.781441000,333.1,3.004,6.35,,
T,36.157921000,-86.781475000,332.2,3.011,6.53,,
T,36.157976000,-86.781509000,333.5,3.018,6.83,,
T,36.158205000,-86.781654000,332.9,3.046,28.56,,
T,36.158368000,-86.781757000,333.0,3.067,20.32,,
T,36.158737000,-86.781991000,332.9,3.113,46.04,,
T,36.158766000,-86.782009000,333.4,3.116,3.60,,
T,36.158903000,-86.782096000,332.9,3.133,17.10,,
T,36.159024000,-86.782171000,333.4,3.148,15.03,,
T,36.159051000,-86.782189000,331.7,3.152,3.41,,
T,36.159471000,-86.782467000,331.9,3.205,52.89,,
T,36.159654000,-86.782587000,332.1,3.228,23.00,,
T,36.159824000,-86.782693000,333.3,3.249,21.14,,
T,36.159877000,-86.782727000,332.6,3.256,6.63,,
T,36.159901000,-86.782741000,334.8,3.258,2.95,,
T,36.160085000,-86.782856000,333.2,3.281,22.89,,
T,36.160120000,-86.782879000,332.1,3.286,4.40,,
T,36.160243000,-86.782963000,331.1,3.301,15.60,,
T,36.160274000,-86.782984000,331.3,3.305,3.92,,
T,36.160336000,-86.783025000,331.9,3.313,7.81,,
T,36.160366000,-86.783045000,331.7,3.317,3.78,,
T,36.160488000,-86.783128000,331.2,3.332,15.46,,
T,36.160776000,-86.783323000,331.3,3.369,36.46,,
T,36.161258000,-86.783649000,331.4,3.430,61.00,,
T,36.161402000,-86.783746000,331.5,3.448,18.21,,
T,36.161528000,-86.783832000,331.1,3.464,15.98,,
T,36.161582000,-86.783870000,330.4,3.471,6.90,,
T,36.161641000,-86.783890000,344.7,3.478,6.79,,
T,36.161679000,-86.783922000,325.8,3.483,5.11,,
T,36.161744000,-86.783997000,317.0,3.493,9.88,,
T,36.161807000,-86.784078000,313.9,3.503,10.10,,
T,36.161991000,-86.784342000,310.8,3.534,31.32,,
T,36.162282000,-86.784897000,303.0,3.594,59.47,,
T,36.162329000,-86.784993000,301.2,3.604,10.09,,
T,36.162444000,-86.785186000,306.4,3.625,21.55,,
T,36.162549000,-86.785363000,306.3,3.645,19.73,,
T,36.162567000,-86.785385000,315.4,3.648,2.81,,
T,36.162750000,-86.785561000,322.2,3.673,25.75,,
T,36.163854000,-86.786310000,331.3,3.813,139.82,,
T,36.164072000,-86.786459000,331.1,3.841,27.66,,
T,36.164305000,-86.786598000,334.3,3.870,28.72,,
T,36.164396000,-86.786651000,334.8,3.881,11.17,,
T,36.164490000,-86.786704000,335.5,3.892,11.47,,
T,36.164590000,-86.786755000,337.6,3.904,12.01,,
T,36.164681000,-86.786799000,338.7,3.915,10.85,,
T,36.164775000,-86.786842000,339.7,3.926,11.12,,
T,36.164876000,-86.786887000,340.2,3.938,11.92,,
T,36.164973000,-86.786928000,341.2,3.950,11.38,,
T,36.165070000,-86.786966000,342.4,3.961,11.29,,
T,36.165167000,-86.787002000,343.3,3.972,11.24,,
T,36.165266000,-86.787036000,344.5,3.984,11.40,,
T,36.165366000,-86.787067000,345.9,3.995,11.44,,
T,36.165468000,-86.787097000,346.6,4.007,11.64,,
T,36.165567000,-86.787124000,347.6,4.018,11.25,,
T,36.165668000,-86.787149000,348.7,4.029,11.43,,
T,36.165772000,-86.787171000,350.3,4.041,11.71,,
