type,latitude,longitude,altitude (m),vmg (km/h),course,slope (%),distance (km),distance_interval (m),eos,name,desc
T,40.222756000,-96.789323000,421.7,,236.5,1.4,11.133,34.27,,,
T,40.222585000,-96.789683000,422.3,,238.1,1.7,11.169,36.05,,,
T,40.222365000,-96.790198000,423.1,,240.8,1.6,11.219,50.18,,,
T,40.222080000,-96.790884000,423.8,,241.4,1.1,11.286,66.41,,,
T,40.221864000,-96.791434000,424.4,,242.8,1.2,11.338,52.60,,,
T,40.221728000,-96.791814000,424.4,,244.9,-0.0,11.374,35.70,,,
T,40.221596000,-96.792223000,424.5,,247.1,0.3,11.412,37.77,,,
T,40.221483000,-96.792637000,424.4,,250.3,-0.3,11.449,37.41,,,
T,40.221379000,-96.793168000,424.0,,255.6,-0.9,11.496,46.65,,,
T,40.221264000,-96.793738000,423.8,,255.2,-0.3,11.546,50.17,,,
T,40.221156000,-96.794322000,423.0,,256.4,-1.6,11.597,51.13,,,
T,40.220928000,-96.795418000,424.5,,254.8,1.5,11.694,96.66,,,
T,40.220516000,-96.797405000,427.0,,254.8,1.4,11.869,175.21,,,
T,40.220323000,-96.798301000,427.0,,254.2,0.1,11.948,79.22,,,
T,40.220207000,-96.798826000,426.6,,253.9,-0.9,11.995,46.51,,,
T,40.220056000,-96.799526000,425.3,,254.2,-2.1,12.057,61.90,,,
T,40.219931000,-96.800005000,424.9,,251.1,-1.1,12.100,43.07,,,
T,40.219705000,-96.801111000,422.8,,255.0,-2.1,12.197,97.43,,,
T,40.219646000,-96.801425000,423.0,,256.2,0.7,12.225,27.52,,,
T,40.219608000,-96.801666000,422.8,,258.3,-0.7,12.246,20.94,,,
T,40.219570000,-96.801945000,422.4,,259.9,-1.6,12.270,24.12,,,
T,40.219538000,-96.802198000,421.9,,260.6,-2.3,12.292,21.83,,,
T,40.219516000,-96.802462000,421.4,,263.8,-2.5,12.314,22.60,,,
T,40.219499000,-96.802695000,421.0,,264.5,-1.8,12.334,19.92,,,
T,40.219488000,-96.802948000,421.0,,266.7,-0.1,12.356,21.57,,,
T,40.219480000,-96.803232000,421.6,,267.9,2.3,12.380,24.19,,,
T,40.219472000,-96.803786000,422.2,,268.9,1.4,12.427,47.16,,,
T,40.219445000,-96.812957000,433.9,,269.8,1.5,13.208,780.64,,,
T,40.219440000,-96.813910000,434.4,,269.6,0.6,13.289,81.12,,,
T,40.219429000,-96.819868000,434.4,,269.9,0.0,13.796,507.15,1,,
T,40.219429000,-96.819868000,434.4,,269.9,,13.796,0.00,,,
T,40.219424000,-96.822314000,434.6,,269.8,0.1,14.004,208.20,,,
T,40.219416000,-96.841362000,434.1,,270.0,-0.0,15.626,1621.36,,,
T,40.219386000,-96.860376000,435.1,,269.9,0.1,17.244,1618.47,,,
T,40.219368000,-96.865165000,436.5,,269.7,0.3,17.652,407.64,,,
T,40.219353000,-96.876498000,437.0,,269.9,0.1,18.616,964.67,,,
T,40.219323000,-96.879275000,436.7,,269.2,-0.1,18.853,236.40,,,
T,40.219310000,-96.891676000,434.9,,269.9,-0.2,19.908,1055.57,,,
T,40.219298000,-96.897880000,431.3,,269.9,-0.7,20.436,528.09,,,
T,40.219302000,-96.898404000,431.9,,270.6,1.3,20.481,44.61,,,
T,40.219294000,-96.908002000,437.9,,269.9,0.7,21.298,816.98,,,
T,40.219265000,-96.908827000,438.1,,267.4,0.2,21.368,70.30,,,
T,40.219241000,-96.909402000,438.2,,266.9,0.2,21.417,49.02,,,
T,40.219227000,-96.909577000,438.2,,264.0,0.2,21.432,14.98,1,,
T,40.219227000,-96.909577000,438.2,,264.0,,21.432,0.00,,,
T,40.219188000,-96.910067000,438.4,,264.0,0.5,21.474,41.93,,,
T,40.219130000,-96.910713000,438.8,,263.3,0.6,21.530,55.36,,,
T,40.219058000,-96.911267000,439.1,,260.3,0.6,21.577,47.83,,,
T,40.218987000,-96.911791000,439.1,,259.9,0.1,21.623,45.29,,,
T,40.218916000,-96.912283000,439.1,,259.3,0.1,21.665,42.61,,,
T,40.218772000,-96.913002000,439.4,,255.3,0.4,21.729,63.26,,,
T,40.218612000,-96.913700000,439.2,,253.3,-0.3,21.791,62.01,,,
T,40.218434000,-96.914370000,439.4,,250.8,0.4,21.851,60.36,,,
T,40.218051000,-96.915505000,439.6,,246.2,0.1,21.957,105.56,,,
T,40.217697000,-96.916350000,439.8,,241.2,0.3,22.039,81.97,,,
T,40.214536000,-96.923758000,434.9,,240.8,-0.7,22.760,721.70,1,,
T,40.214536000,-96.923758000,434.9,,240.8,,22.760,0.00,,,
T,40.213440000,-96.926325000,435.3,,240.8,0.1,23.010,250.12,,,
T,40.209578000,-96.935303000,434.0,,240.6,-0.1,23.887,876.38,,,
T,40.204530000,-96.947039000,436.6,,240.6,0.2,25.032,1145.64,,,
T,40.201459000,-96.954219000,438.4,,240.8,0.2,25.732,699.98,,,
T,40.193641000,-96.973094000,440.4,,241.5,0.1,27.559,1826.62,,,
T,40.193393000,-96.973710000,440.4,,242.2,0.0,27.618,59.24,,,
T,40.193122000,-96.974421000,440.2,,243.5,-0.3,27.686,67.61,,,
T,40.192864000,-96.975082000,440.1,,242.9,-0.2,27.749,63.16,,,
T,40.192617000,-96.975779000,440.5,,245.1,0.6,27.814,65.38,,,
T,40.192367000,-96.976446000,440.3,,243.9,-0.3,27.878,63.22,,,
T,40.192282000,-96.976671000,440.1,,243.7,-0.7,27.899,21.36,,,
T,40.191883000,-96.977872000,439.7,,246.5,-0.3,28.010,111.45,,,
T,40.191668000,-96.978556000,439.5,,247.6,-0.5,28.073,62.95,,,
T,40.191432000,-96.979377000,439.6,,249.4,0.2,28.148,74.66,,,
T,40.191177000,-96.980395000,439.4,,251.8,-0.2,28.239,91.19,,,
T,40.191131000,-96.980581000,439.4,,252.1,-0.1,28.256,16.64,,,
T,40.190903000,-96.981611000,439.6,,253.8,0.3,28.347,91.29,,,
T,40.190824000,-96.982048000,439.6,,256.7,-0.1,28.385,38.23,,,
T,40.190721000,-96.982623000,439.9,,256.8,0.5,28.436,50.28,,,
T,40.190490000,-96.983928000,439.8,,257.0,-0.0,28.550,114.05,,,
T,40.190351000,-96.984869000,439.8,,259.1,-0.0,28.631,81.60,,,
T,40.190160000,-96.986662000,439.9,,262.1,0.1,28.785,154.15,,,
T,40.190088000,-96.987459000,440.1,,263.3,0.2,28.854,68.34,,,
T,40.190075000,-96.988243000,440.1,,268.8,0.0,28.921,66.78,,,
T,40.190045000,-96.989212000,440.3,,267.7,0.2,29.003,82.58,,,
T,40.190029000,-96.990238000,440.4,,268.8,0.1,29.091,87.39,,,
T,40.190047000,-96.992163000,440.0,,270.7,-0.3,29.254,163.94,,,
T,40.190089000,-96.999277000,444.2,,270.4,0.7,29.860,605.82,,,
T,40.190076000,-97.001503000,445.3,,269.6,0.6,30.050,189.56,,,
T,40.190041000,-97.003299000,444.7,,268.5,-0.4,30.203,152.99,,,
T,40.190031000,-97.006370000,443.7,,269.8,-0.4,30.464,261.52,,,
T,40.190035000,-97.010977000,439.7,,270.1,-1.0,30.857,392.32,,,
T,40.190040000,-97.023562000,436.5,,270.0,-0.3,31.928,1071.70,,,
T,40.190029000,-97.029461000,436.3,,269.9,-0.0,32.431,502.34,,,
T,40.190039000,-97.033681000,437.4,,270.2,0.3,32.790,359.36,,,
T,40.189976000,-97.038786000,439.4,,269.1,0.5,33.225,434.78,,,
T,40.189978000,-97.039360000,439.8,,270.3,0.9,33.274,48.88,,,
T,40.189979000,-97.039722000,439.9,,270.2,0.2,33.305,30.83,,,
T,40.190010000,-97.041305000,440.3,,271.5,0.3,33.439,134.85,,,
T,40.190024000,-97.047055000,442.6,,270.2,0.5,33.929,489.65,,,
T,40.190028000,-97.047452000,442.6,,270.8,0.1,33.963,33.81,,,
T,40.190033000,-97.048379000,443.0,,270.4,0.5,34.042,78.94,,,
T,40.190037000,-97.056273000,445.4,,270.0,0.4,34.714,672.23,,,
T,40.190042000,-97.062851000,447.0,,270.1,0.3,35.274,560.16,,,
T,40.190048000,-97.064310000,446.3,,270.3,-0.6,35.398,124.25,,,
T,40.190053000,-97.064907000,446.1,,270.6,-0.4,35.449,50.84,,,
T,40.190032000,-97.065653000,445.9,,267.9,-0.4,35.513,63.57,,,
T,40.189993000,-97.066315000,445.8,,265.6,-0.2,35.569,56.54,,,
T,40.189916000,-97.067173000,445.6,,263.3,-0.3,35.643,73.56,,,
T,40.189885000,-97.067480000,445.5,,262.5,-0.2,35.669,26.37,,,
T,40.189812000,-97.068020000,444.7,,260.0,-1.8,35.716,46.69,,,
T,40.189582000,-97.069247000,444.4,,256.2,-0.2,35.824,107.56,,,
T,40.189462000,-97.069746000,443.4,,252.5,-2.1,35.868,44.53,,,
T,40.189352000,-97.070178000,444.1,,251.6,1.6,35.907,38.76,,,
T,40.189213000,-97.070675000,443.8,,249.9,-0.6,35.952,45.05,,,
T,40.189058000,-97.071157000,444.9,,247.2,2.4,35.996,44.51,,,
T,40.188984000,-97.071384000,444.9,,246.9,0.2,36.017,21.00,,,
T,40.188768000,-97.072012000,445.4,,245.8,0.9,36.076,58.61,,,
T,40.188017000,-97.073856000,447.1,,241.9,0.9,36.254,177.80,,,
T,40.186415000,-97.077669000,446.3,,241.2,-0.2,36.624,370.25,,,
T,40.185943000,-97.078829000,445.6,,242.0,-0.6,36.736,111.83,,,
T,40.185147000,-97.080680000,444.9,,240.6,-0.4,36.917,180.72,,,
T,40.184459000,-97.082119000,445.1,,238.0,0.1,37.061,144.41,,,
T,40.183784000,-97.083568000,445.8,,238.6,0.5,37.205,144.38,,,
T,40.183164000,-97.084898000,446.1,,238.6,0.2,37.338,132.55,,,
T,40.182492000,-97.086327000,446.4,,238.4,0.2,37.481,142.76,,,
T,40.180781000,-97.089608000,446.0,,235.7,-0.1,37.819,337.90,,,
T,40.180089000,-97.091058000,446.9,,238.0,0.6,37.964,145.45,,,
T,40.178537000,-97.094349000,449.1,,238.3,0.7,38.293,329.03,,,
T,40.177395000,-97.096790000,449.1,,238.5,0.0,38.537,243.52,,,
T,40.175596000,-97.100596000,447.7,,238.3,-0.4,38.917,380.78,,,
T,40.175325000,-97.101152000,447.5,,237.5,-0.4,38.974,56.11,,,
T,40.173312000,-97.105427000,449.4,,238.4,0.4,39.401,427.26,,,
T,40.170945000,-97.110401000,450.2,,238.1,0.2,39.899,498.58,,,
T,40.170767000,-97.110813000,450.0,,240.5,-0.4,39.940,40.28,,,
T,40.170295000,-97.111972000,449.4,,241.9,-0.5,40.051,111.77,,,
