type,latitude,longitude,altitude (m),vmg (km/h),course,slope (%),distance (km),distance_interval (m),eos,name,desc
T,40.314306000,-96.841481000,390.5,,359.9,-0.3,4.689,36.64,,,
T,40.315706000,-96.841481000,390.1,,0.0,-0.2,4.845,155.46,,,
T,40.316671000,-96.841479000,390.3,,0.1,0.1,4.952,107.15,,,
T,40.317696000,-96.841473000,390.0,,0.3,-0.3,5.065,113.82,,,
T,40.318086000,-96.841615000,390.0,,344.5,0.0,5.110,44.96,,,
T,40.318409000,-96.841831000,389.8,,333.0,-0.5,5.151,40.29,,,
T,40.318968000,-96.842295000,389.8,,327.7,0.1,5.224,73.54,,,
T,40.319461000,-96.842688000,389.7,,328.7,-0.2,5.288,64.13,,,
T,40.320091000,-96.842902000,389.7,,345.5,0.0,5.361,72.28,,,
T,40.321015000,-96.842920000,389.5,,359.1,-0.1,5.463,102.61,,,
T,40.321025000,-96.839662000,387.9,,89.8,-0.6,5.740,276.91,,,
T,40.321010000,-96.838244000,387.4,,90.8,-0.4,5.861,120.53,,,
T,40.321009000,-96.837727000,387.4,,90.1,-0.1,5.905,43.94,,,
T,40.321009000,-96.837381000,387.2,,90.0,-0.7,5.934,29.41,,,
T,40.321010000,-96.837160000,387.1,,89.7,-0.9,5.953,18.78,,,
T,40.321013000,-96.835244000,385.8,,89.9,-0.8,6.116,162.85,,,
T,40.321011000,-96.832238000,385.6,,90.0,-0.1,6.371,255.49,,,
T,40.321015000,-96.832008000,385.6,,88.7,0.2,6.391,19.55,,,
T,40.321010000,-96.831014000,385.5,,90.4,-0.2,6.475,84.48,,,
T,40.321004000,-96.827069000,385.5,,90.1,-0.0,6.811,335.30,,,
T,40.320991000,-96.819846000,384.0,,90.1,-0.2,7.424,613.90,,,
T,40.320982000,-96.818805000,384.4,,90.6,0.5,7.513,88.48,,,
T,40.320978000,-96.816175000,383.8,,90.1,-0.3,7.736,223.53,,,
T,40.320959000,-96.812821000,385.3,,90.4,0.5,8.022,285.07,,,
T,40.320950000,-96.809809000,386.1,,90.2,0.3,8.278,256.00,,,
T,40.320945000,-96.807989000,388.0,,90.2,1.2,8.432,154.69,,,
T,40.320941000,-96.806354000,388.9,,90.2,0.7,8.571,138.96,,,
T,40.320933000,-96.803541000,391.0,,90.2,0.9,8.810,239.09,,,
T,40.320932000,-96.803142000,392.0,,90.2,3.0,8.844,33.91,,,
T,40.320929000,-96.801612000,393.7,,90.1,1.3,8.974,130.04,,,
T,40.320928000,-96.799361000,386.8,,90.0,-3.6,9.166,191.32,,,
T,40.320928000,-96.799261000,386.8,,90.0,0.1,9.174,8.50,,,
T,40.320927000,-96.797355000,391.6,,90.0,3.0,9.336,162.00,,,
T,40.320927000,-96.793441000,404.6,,90.0,3.9,9.669,332.66,,,
T,40.320965000,-96.786057000,409.5,,89.6,0.8,10.296,627.60,,,
T,40.320964000,-96.784937000,409.1,,90.1,-0.4,10.391,95.19,,,
T,40.320984000,-96.780914000,407.0,,89.6,-0.6,10.733,341.93,,,
T,40.321007000,-96.774986000,405.6,,89.7,-0.3,11.237,503.84,,,
T,40.321015000,-96.771170000,401.9,,89.8,-1.2,11.562,324.33,,,
T,40.321020000,-96.770654000,401.1,,89.3,-1.8,11.605,43.86,,,
T,40.321033000,-96.769190000,403.9,,89.3,2.3,11.730,124.44,,,
T,40.321048000,-96.767510000,404.8,,89.3,0.6,11.873,142.80,,,
T,40.321052000,-96.765818000,404.8,,89.8,0.0,12.016,143.81,,,
T,40.321057000,-96.764143000,403.0,,89.8,-1.3,12.159,142.36,,,
T,40.321058000,-96.763807000,403.7,,89.8,2.4,12.187,28.56,,,
T,40.321053000,-96.762229000,405.5,,90.2,1.3,12.322,134.12,,,
T,40.321040000,-96.758252000,405.6,,90.2,0.1,12.660,338.02,,,
T,40.321022000,-96.752987000,407.3,,90.3,0.4,13.107,447.49,,,
T,40.321023000,-96.751342000,407.0,,90.0,-0.2,13.247,139.81,,,
T,40.320999000,-96.749597000,405.1,,91.0,-1.3,13.395,148.34,,,
T,40.321011000,-96.747089000,404.1,,89.6,-0.5,13.608,213.17,,,
T,40.317661000,-96.747116000,402.6,,180.4,-0.4,13.980,371.99,,,
T,40.317588000,-96.747114000,402.6,,178.8,-0.6,13.988,8.11,,,
T,40.317045000,-96.747104000,402.0,,179.2,-1.0,14.049,60.30,,,
T,40.313773000,-96.747106000,397.6,,180.0,-1.2,14.412,363.33,,,
T,40.313685000,-96.747107000,397.5,,180.5,-1.4,14.422,9.77,,,
T,40.313467000,-96.747100000,397.1,,178.6,-1.6,14.446,24.21,,,
T,40.311886000,-96.747088000,394.5,,179.7,-1.5,14.622,175.56,,,
T,40.309856000,-96.747025000,396.6,,178.6,0.9,14.847,225.48,,,
T,40.309476000,-96.747006000,397.3,,177.8,1.6,14.889,42.23,,,
T,40.309168000,-96.746996000,397.8,,178.6,1.4,14.924,34.21,,,
T,40.308927000,-96.746998000,398.0,,180.4,1.0,14.950,26.76,,,
T,40.306854000,-96.746952000,398.4,,179.0,0.1,15.181,230.22,,,
T,40.306434000,-96.746949000,398.3,,179.7,-0.2,15.227,46.64,,,
T,40.304285000,-96.746941000,397.8,,179.8,-0.2,15.466,238.63,,,
T,40.301999000,-96.746928000,397.4,,179.8,-0.2,15.720,253.84,,,
T,40.300390000,-96.746925000,396.4,,179.9,-0.5,15.898,178.66,,,
T,40.300208000,-96.746928000,396.3,,180.7,-0.7,15.918,20.21,,,
T,40.297768000,-96.746904000,393.1,,179.6,-1.2,16.189,270.95,,,
T,40.296714000,-96.746897000,393.3,,179.7,0.2,16.306,117.04,,,
T,40.295283000,-96.746888000,395.6,,179.7,1.4,16.465,158.90,1,,
T,40.295283000,-96.746888000,395.6,,179.7,,16.465,0.00,,,
T,40.295255000,-96.746888000,395.6,,180.0,1.6,16.468,3.11,,,
T,40.294687000,-96.746893000,396.5,,180.4,1.5,16.532,63.07,,,
