type,latitude,longitude,altitude (m),vmg (km/h),course,slope (%),distance (km),distance_interval (m),eos,name,desc
T,38.495233000,-92.091077000,245.4,,182.1,-1.4,18.550,59.32,1,,
T,38.495233000,-92.091077000,245.4,,182.1,,18.550,0.00,,,
T,38.494708000,-92.091123000,246.0,,183.9,1.0,18.608,58.42,,,
T,38.494289000,-92.091143000,245.4,,182.1,-1.2,18.655,46.54,,,
T,38.494165000,-92.091156000,245.2,,184.7,-1.5,18.669,13.81,,,
T,38.494047000,-92.091183000,245.1,,190.2,-1.0,18.682,13.31,,,
T,38.493929000,-92.091224000,245.4,,195.2,2.1,18.696,13.58,,,
T,38.493816000,-92.091279000,245.6,,200.9,1.8,18.709,13.43,,,
T,38.493703000,-92.091351000,245.9,,206.5,1.8,18.723,14.03,,,
T,38.493554000,-92.091475000,246.5,,213.1,3.0,18.743,19.76,,,
T,38.493415000,-92.091633000,246.8,,221.7,1.4,18.763,20.69,,,
T,38.493409000,-92.091642000,246.8,,229.6,0.1,18.765,1.03,,,
T,38.493318000,-92.091778000,246.8,,229.5,-0.1,18.780,15.58,,,
T,38.493242000,-92.091923000,246.5,,236.2,-2.0,18.795,15.21,,,
T,38.493181000,-92.092078000,245.9,,243.3,-3.6,18.810,15.12,,,
T,38.493134000,-92.092231000,245.1,,248.6,-5.8,18.825,14.33,,,
T,38.493100000,-92.092378000,244.2,,253.5,-6.7,18.838,13.37,,,
T,38.493073000,-92.092552000,243.2,,258.8,-6.4,18.854,15.47,,,
T,38.492898000,-92.093768000,243.5,,259.6,0.3,18.961,107.85,,,
T,38.492785000,-92.094521000,246.0,,259.1,3.7,19.028,66.88,,,
T,38.492754000,-92.094816000,246.4,,262.4,1.2,19.054,25.97,,,
T,38.492742000,-92.095053000,245.8,,266.3,-2.8,19.075,20.72,,,
T,38.492745000,-92.095211000,245.3,,271.4,-3.4,19.089,13.79,,,
T,38.492755000,-92.095369000,244.8,,274.6,-3.5,19.103,13.83,,,
T,38.492789000,-92.095632000,243.9,,279.4,-4.0,19.126,23.25,,,
T,38.492845000,-92.095890000,243.3,,285.5,-2.6,19.149,23.35,,,
T,38.492915000,-92.096106000,243.6,,292.5,1.4,19.170,20.38,,,
T,38.492993000,-92.096306000,243.3,,296.5,-1.5,19.189,19.48,,,
T,38.493172000,-92.096696000,242.8,,300.4,-1.2,19.228,39.40,,,
T,38.493545000,-92.097464000,238.4,,301.8,-5.7,19.307,78.76,,,
T,38.493800000,-92.098007000,238.1,,301.0,-0.4,19.362,55.18,,,
T,38.494048000,-92.098575000,239.0,,299.2,1.5,19.419,56.69,,,
T,38.494315000,-92.099230000,241.2,,297.5,3.3,19.484,64.37,,,
T,38.494428000,-92.099540000,242.1,,295.0,3.3,19.513,29.81,,,
T,38.494533000,-92.099856000,243.5,,293.0,4.6,19.543,29.93,,,
T,38.494612000,-92.100162000,244.3,,288.3,2.9,19.571,28.10,,,
T,38.494684000,-92.100483000,244.2,,286.0,-0.5,19.600,29.12,,,
T,38.494701000,-92.100576000,244.1,,283.1,-1.4,19.609,8.33,,,
T,38.494761000,-92.100958000,243.8,,281.3,-0.7,19.643,33.98,,,
T,38.495009000,-92.103193000,241.5,,278.1,-1.2,19.840,196.91,,,
T,38.495038000,-92.103499000,240.9,,276.9,-2.3,19.867,26.89,,,
T,38.495061000,-92.103810000,240.8,,275.4,-0.1,19.894,27.25,,,
T,38.495057000,-92.104068000,240.8,,268.9,-0.1,19.916,22.51,,,
T,38.495034000,-92.104326000,240.6,,263.5,-0.9,19.939,22.65,,,
T,38.494990000,-92.104555000,240.5,,256.2,-0.6,19.960,20.57,,,
T,38.494932000,-92.104759000,240.6,,250.0,0.8,19.978,18.93,,,
T,38.494873000,-92.104909000,241.0,,243.3,2.2,19.993,14.63,,,
T,38.494800000,-92.105066000,241.4,,239.3,2.8,20.009,15.91,,,
T,38.494685000,-92.105260000,242.0,,232.9,2.9,20.030,21.20,,,
T,38.494553000,-92.105446000,243.1,,227.8,4.8,20.052,21.86,,,
T,38.494400000,-92.105671000,243.6,,229.0,2.0,20.078,25.96,,,
T,38.494329000,-92.105791000,244.0,,232.9,3.3,20.091,13.10,,,
T,38.494262000,-92.105922000,244.0,,236.8,-0.3,20.105,13.64,,,
T,38.494172000,-92.106168000,243.9,,244.9,-0.3,20.128,23.67,,,
T,38.494106000,-92.106427000,244.4,,252.0,2.2,20.152,23.75,,,
T,38.494072000,-92.106663000,244.9,,259.6,2.3,20.173,20.93,,,
T,38.494069000,-92.106906000,244.8,,269.1,-0.4,20.194,21.20,,,
T,38.494085000,-92.107079000,244.4,,276.7,-2.5,20.210,15.20,,,
T,38.494117000,-92.107256000,243.9,,283.0,-3.3,20.225,15.84,,,
T,38.494167000,-92.107434000,243.8,,289.7,-0.6,20.242,16.49,,,
T,38.494233000,-92.107606000,244.3,,296.1,2.6,20.259,16.70,,,
T,38.494328000,-92.107822000,245.3,,299.3,5.0,20.280,21.59,,,
T,38.494434000,-92.108023000,246.3,,304.0,4.4,20.301,21.12,,,
T,38.494705000,-92.108550000,249.2,,303.3,5.3,20.356,54.94,,,
T,38.495037000,-92.109284000,247.8,,300.0,-1.8,20.430,73.88,,,
T,38.495446000,-92.110220000,242.6,,299.2,-5.6,20.524,93.43,,,
T,38.495698000,-92.110828000,243.3,,297.9,1.2,20.584,59.97,,,
T,38.495799000,-92.111175000,244.4,,290.4,3.2,20.616,32.28,,,
T,38.495857000,-92.111504000,245.0,,282.7,2.1,20.645,29.41,,,
T,38.495892000,-92.111931000,244.1,,276.0,-2.5,20.683,37.45,,,
T,38.495919000,-92.112364000,242.8,,274.6,-3.3,20.721,37.89,,,
T,38.495930000,-92.112587000,242.7,,273.6,-0.4,20.740,19.49,1,,
T,38.495930000,-92.112587000,242.7,,273.6,,20.740,0.00,,,
T,38.495940000,-92.112805000,243.1,,273.4,1.9,20.759,19.05,,,
T,38.495940000,-92.112991000,243.5,,270.0,2.3,20.775,16.23,,,
T,38.495925000,-92.113174000,243.7,,264.0,1.6,20.791,16.05,,,
T,38.495887000,-92.113390000,244.0,,257.3,1.2,20.811,19.31,,,
T,38.495836000,-92.113595000,244.2,,252.4,1.3,20.829,18.76,,,
T,38.495691000,-92.114039000,245.4,,247.4,2.9,20.871,41.94,,,
T,38.495536000,-92.114517000,246.7,,247.5,2.7,20.916,45.11,,,
T,38.495482000,-92.114713000,246.6,,250.6,-0.3,20.935,18.12,,,
T,38.495443000,-92.114910000,246.4,,255.8,-1.2,20.952,17.72,,,
T,38.495393000,-92.115273000,245.8,,260.0,-1.7,20.984,32.15,,,
T,38.495334000,-92.115853000,245.7,,262.6,-0.3,21.036,51.02,,,
T,38.495291000,-92.116207000,245.1,,261.2,-1.7,21.067,31.25,,,
T,38.495248000,-92.116535000,244.1,,260.5,-3.5,21.096,29.01,,,
T,38.495186000,-92.116839000,243.5,,255.4,-2.2,21.123,27.40,,,
T,38.495147000,-92.116990000,243.6,,251.7,0.4,21.137,13.87,,,
T,38.495100000,-92.117137000,243.4,,247.8,-1.3,21.151,13.84,,,
T,38.495041000,-92.117307000,243.3,,246.1,-0.4,21.167,16.21,,,
T,38.494974000,-92.117476000,243.3,,243.1,-0.1,21.184,16.51,,,
T,38.494888000,-92.117663000,243.7,,239.6,2.2,21.203,18.90,,,
T,38.494793000,-92.117843000,243.8,,236.0,0.3,21.221,18.92,,,
T,38.494680000,-92.118024000,243.9,,231.4,0.7,21.242,20.17,,,
T,38.494558000,-92.118198000,244.5,,228.1,2.7,21.262,20.34,,,
