type,latitude,longitude,altitude (m),vmg (km/h),course,slope (%),distance (km),distance_interval (m),eos,name,desc
T,40.746902000,-99.121925000,669.9,,359.9,-4.1,15.676,91.62,,,
T,40.747662000,-99.121903000,666.5,,1.3,-4.0,15.760,84.42,,,
T,40.748485000,-99.121906000,664.9,,359.8,-1.8,15.852,91.39,,,
T,40.749572000,-99.121909000,663.6,,359.9,-1.1,15.972,120.71,,,
T,40.749916000,-99.121908000,663.2,,0.1,-1.0,16.011,38.20,,,
T,40.750104000,-99.121907000,662.9,,0.2,-1.6,16.031,20.88,,,
T,40.754163000,-99.121888000,660.5,,0.2,-0.5,16.482,450.75,,,
T,40.755187000,-99.121883000,660.6,,0.2,0.2,16.596,113.72,,,
T,40.757383000,-99.121871000,659.9,,0.2,-0.3,16.840,243.87,,,
T,40.760611000,-99.121856000,660.4,,0.2,0.1,17.198,358.47,,,
T,40.762548000,-99.121843000,661.2,,0.3,0.4,17.413,215.11,,,
T,40.764475000,-99.121832000,660.7,,0.2,-0.2,17.627,213.99,,,
T,40.764594000,-99.121831000,660.9,,0.4,1.3,17.641,13.22,1,,
T,40.764594000,-99.121831000,660.9,,0.4,,17.641,0.00,,,
T,40.765053000,-99.121829000,661.3,,0.2,0.8,17.692,50.97,,,
T,40.763332000,-99.117982000,659.8,,120.6,-0.4,18.068,376.87,,,
T,40.762468000,-99.116068000,659.0,,120.8,-0.4,18.256,187.95,,,
T,40.761502000,-99.113899000,657.7,,120.5,-0.6,18.469,212.25,,,
T,40.760607000,-99.111903000,657.1,,120.6,-0.3,18.664,195.66,,,
T,40.760304000,-99.111227000,657.9,,120.6,1.2,18.731,66.26,,,
T,40.760018000,-99.110591000,657.8,,120.7,-0.1,18.793,62.39,1,,
T,40.760018000,-99.110591000,657.8,,120.7,,18.793,0.00,,,
T,40.759957000,-99.110456000,657.9,,120.8,0.4,18.806,13.26,,,
T,40.759222000,-99.108794000,657.3,,120.3,-0.3,18.969,162.35,,,
T,40.758932000,-99.107998000,657.0,,115.7,-0.4,19.043,74.53,,,
T,40.758571000,-99.106941000,656.7,,114.3,-0.3,19.141,97.84,,,
T,40.757768000,-99.104481000,656.2,,113.3,-0.2,19.367,226.06,,,
T,40.757712000,-99.104312000,656.2,,113.6,0.1,19.383,15.57,,,
T,40.757519000,-99.103846000,656.2,,118.7,-0.0,19.427,44.81,,,
T,40.757339000,-99.103444000,656.5,,120.6,0.8,19.467,39.39,,,
T,40.757083000,-99.102987000,656.7,,126.5,0.6,19.515,47.93,,,
T,40.756941000,-99.102763000,656.7,,129.9,-0.2,19.539,24.63,,,
T,40.756161000,-99.101572000,656.9,,130.8,0.2,19.672,132.73,,,
T,40.755553000,-99.100562000,657.4,,128.5,0.5,19.781,108.78,,,
T,40.755026000,-99.099466000,657.6,,122.4,0.1,19.890,109.50,,,
T,40.754584000,-99.098484000,657.6,,120.7,0.0,19.987,96.36,,,
T,40.754010000,-99.097236000,656.7,,121.3,-0.7,20.110,123.17,,,
T,40.753741000,-99.096642000,656.3,,120.9,-0.7,20.168,58.38,,,
T,40.752651000,-99.094237000,655.3,,120.9,-0.4,20.405,236.43,,,
T,40.752232000,-99.093321000,655.4,,121.1,0.0,20.495,90.27,,,
T,40.751495000,-99.091626000,656.0,,119.9,0.4,20.660,164.89,,,
T,40.751234000,-99.090993000,656.5,,118.6,0.8,20.721,60.81,,,
T,40.750920000,-99.090026000,656.9,,113.2,0.4,20.809,88.80,,,
T,40.750736000,-99.089345000,657.2,,109.6,0.6,20.870,61.03,,,
T,40.750577000,-99.088541000,657.6,,104.6,0.5,20.941,70.16,,,
T,40.750476000,-99.087874000,658.0,,101.3,0.6,20.998,57.44,,,
T,40.750450000,-99.087669000,658.3,,99.5,1.8,21.016,17.55,,,
T,40.750424000,-99.087464000,658.4,,99.5,1.0,21.033,17.55,,,
T,40.750408000,-99.087344000,658.5,,100.0,0.3,21.043,10.29,,,
T,40.750300000,-99.086412000,658.5,,98.7,0.0,21.123,79.62,,,
T,40.750251000,-99.085968000,658.7,,98.3,0.6,21.161,37.89,,,
T,40.750205000,-99.085513000,658.8,,97.6,0.1,21.200,38.76,,,
T,40.750181000,-99.085239000,658.8,,96.6,0.0,21.223,23.29,,,
T,40.750156000,-99.084845000,658.6,,94.8,-0.5,21.256,33.39,,,
T,40.750148000,-99.084716000,658.5,,94.7,-0.9,21.267,10.93,,,
T,40.750139000,-99.084351000,658.1,,91.9,-1.2,21.298,30.84,,,
T,40.750110000,-99.084205000,658.2,,104.7,0.1,21.311,12.74,,,
T,40.750113000,-99.084046000,658.1,,88.6,-0.7,21.324,13.43,,,
T,40.750104000,-99.083960000,658.2,,97.9,1.8,21.332,7.33,,,
T,40.750074000,-99.083876000,658.4,,115.2,2.3,21.339,7.84,,,
T,40.750034000,-99.083845000,658.4,,149.6,1.3,21.345,5.16,,,
T,40.750000000,-99.083804000,658.5,,137.6,1.1,21.350,5.12,,,
T,40.749958000,-99.083724000,658.5,,124.7,0.1,21.358,8.21,,,
T,40.749934000,-99.083632000,658.4,,109.0,-1.1,21.366,8.21,,,
T,40.749932000,-99.083535000,658.3,,91.6,-1.1,21.374,8.19,,,
T,40.749951000,-99.083441000,658.2,,75.1,-1.1,21.383,8.21,,,
T,40.749990000,-99.083357000,658.1,,58.5,-1.3,21.391,8.31,,,
T,40.750046000,-99.083292000,658.1,,41.3,-0.7,21.399,8.29,,,
T,40.750083000,-99.083160000,657.9,,69.7,-1.3,21.411,11.88,,,
T,40.750096000,-99.083014000,657.8,,83.3,-0.7,21.424,12.41,,,
T,40.750085000,-99.082746000,657.7,,93.1,-0.6,21.446,22.67,,,
T,40.750083000,-99.081425000,656.7,,90.1,-0.8,21.558,111.56,,,
T,40.750096000,-99.081162000,656.7,,86.3,-0.1,21.580,22.26,,,
T,40.750089000,-99.080375000,656.7,,90.7,-0.0,21.646,66.47,,,
T,40.750075000,-99.077397000,656.0,,90.4,-0.3,21.898,251.50,,,
T,40.750060000,-99.074192000,656.1,,90.4,0.1,22.169,270.67,,,
T,40.750046000,-99.072737000,655.9,,90.7,-0.2,22.292,122.89,,,
T,40.749994000,-99.070554000,655.9,,91.8,0.0,22.476,184.45,,,
T,40.749868000,-99.067437000,656.4,,93.1,0.2,22.740,263.61,,,
T,40.749826000,-99.064659000,657.2,,91.1,0.3,22.974,234.66,,,
T,40.749819000,-99.063005000,657.5,,90.3,0.3,23.114,139.69,,,
T,40.749805000,-99.059870000,658.9,,90.3,0.5,23.379,264.76,,,
T,40.749799000,-99.057403000,659.2,,90.2,0.2,23.587,208.35,,,
T,40.749787000,-99.055209000,658.1,,90.4,-0.6,23.772,185.29,,,
T,40.749781000,-99.054120000,657.3,,90.4,-0.9,23.864,91.97,,,
T,40.749765000,-99.049080000,657.0,,90.2,-0.1,24.290,425.64,,,
T,40.749743000,-99.045658000,656.1,,90.5,-0.3,24.579,289.01,,,
T,40.749737000,-99.043839000,654.9,,90.2,-0.8,24.733,153.62,,,
T,40.749724000,-99.040735000,653.7,,90.3,-0.5,24.995,262.14,,,
T,40.749718000,-99.040137000,653.5,,90.8,-0.4,25.045,50.51,,,
T,40.749711000,-99.039747000,653.3,,91.4,-0.4,25.078,32.95,,,
T,40.749702000,-99.039416000,653.2,,92.1,-0.4,25.106,27.97,,,
T,40.749683000,-99.038785000,653.2,,92.3,-0.1,25.159,53.33,,,
T,40.749662000,-99.038005000,653.1,,92.0,-0.1,25.225,65.91,,,
T,40.749645000,-99.037039000,653.1,,91.3,-0.1,25.307,81.60,,,
T,40.749638000,-99.036165000,653.1,,90.6,0.1,25.381,73.82,,,
T,40.749623000,-99.033213000,652.1,,90.4,-0.4,25.630,249.31,,,
T,40.749621000,-99.033069000,652.0,,91.1,-0.4,25.642,12.16,,,
T,40.749618000,-99.032891000,652.0,,91.3,-0.4,25.657,15.04,,,
T,40.749613000,-99.032732000,651.9,,92.4,-0.5,25.671,13.44,,,
