type	latitude	longitude	altitude (ft)	vmg (mph)	course	slope (%)	distance (mi)	distance_interval (ft)	color	opacity	width	scale	sym	name	desc	kml_folder
T	40.752237000	-98.836931000	2067.4		248.3	1.4	29.253	281.27								
T	40.751799000	-98.838303000	2065.2		247.1	-0.5	29.331	412.27								
T	40.751307000	-98.839910000	2063.7		248.0	-0.3	29.422	479.98								
T	40.751045000	-98.840841000	2063.6		249.6	-0.0	29.474	275.05								
T	40.750806000	-98.841752000	2068.2		250.9	1.7	29.525	267.01								
T	40.750288000	-98.843640000	2070.1		250.1	0.3	29.630	556.11								
T	40.750101000	-98.844275000	2069.4		248.8	-0.4	29.666	188.67								
T	40.749785000	-98.845478000	2067.5		250.9	-0.5	29.733	352.64								
T	40.748798000	-98.849077000	2070.6		250.1	0.3	29.934	1060.06								
T	40.747914000	-98.852744000	2068.1		252.3	-0.2	30.135	1065.88								
T	40.747561000	-98.854068000	2066.3		250.6	-0.5	30.209	388.75								
T	40.744311000	-98.865899000	2078.9		250.1	0.4	30.869	3485.55								
T	40.743330000	-98.869431000	2079.9		249.9	0.1	31.067	1041.94								
T	40.742946000	-98.870779000	2077.4		249.4	-0.6	31.142	398.88								
T	40.742292000	-98.873261000	2073.5		250.8	-0.5	31.280	727.88								
T	40.742094000	-98.874116000	2085.9		253.0	5.0	31.327	247.67								
T	40.737780000	-98.893397000	2076.8		253.6	-0.2	32.382	5569.45								
T	40.736977000	-98.896932000	2083.0		253.3	0.6	32.575	1022.40								
T	40.733516000	-98.912380000	2089.0		253.5	0.1	33.421	4463.03								
T	40.731256000	-98.922387000	2091.8		253.4	0.1	33.969	2893.06								
T	40.726473000	-98.943663000	2107.3		253.5	0.3	35.133	6148.99								
T	40.725049000	-98.950052000	2108.4		253.6	0.1	35.483	1845.30								
T	40.722624000	-98.960734000	2106.8		253.3	-0.0	36.068	3089.88								
T	40.720562000	-98.969921000	2121.8		253.5	0.6	36.571	2655.07								
T	40.713308000	-99.002035000	2123.0		253.4	0.0	38.329	9286.39								
T	40.711225000	-99.011186000	2130.1		253.3	0.3	38.831	2648.02								
T	40.711074000	-99.012040000	2119.9		256.9	-4.2	38.877	243.07								
T	40.710787000	-99.013428000	2128.3		254.7	2.1	38.953	398.76								
T	40.710337000	-99.015578000	2129.7		254.6	0.2	39.070	618.20								
T	40.709318000	-99.020091000	2128.8		253.4	-0.1	39.317	1305.11								
T	40.708755000	-99.022581000	2131.8		253.4	0.4	39.453	720.17								
T	40.708542000	-99.023455000	2136.6		252.2	1.9	39.501	254.44								
T	40.707751000	-99.027015000	2131.8		253.7	-0.5	39.696	1028.22								
T	40.703972000	-99.043711000	2146.8		253.4	0.3	40.611	4829.50								
T	40.703077000	-99.047530000	2146.3		252.8	-0.1	40.821	1107.95								
T	40.700356000	-99.059527000	2149.2		253.3	0.1	41.478	3471.04								
T	40.700231000	-99.060209000	2155.4		256.4	3.2	41.515	194.51								
T	40.700180000	-99.060624000	2154.5		260.8	-0.7	41.537	116.56								
T	40.700149000	-99.061129000	2158.8		265.4	3.0	41.564	140.48								
T	40.700148000	-99.061701000	2157.0		269.9	-1.1	41.594	158.61								
T	40.700195000	-99.063651000	2155.8		271.8	-0.2	41.696	540.97								
T	40.700201000	-99.064779000	2157.9		270.4	0.7	41.755	312.78								
T	40.700457000	-99.081634000	2165.2		271.2	0.2	42.641	4674.49								
T	40.700487000	-99.083031000	2162.1		271.6	-0.8	42.714	387.51								
T	40.700640000	-99.092697000	2180.1		271.2	0.7	43.222	2680.76								
T	40.700612000	-99.092957000	2179.4		261.9	-1.0	43.236	72.81								
T	40.700559000	-99.093134000	2177.6		248.4	-3.5	43.246	52.74								
T	40.700458000	-99.093326000	2176.4		235.2	-1.7	43.258	64.72								
T	40.700288000	-99.093544000	2178.4		224.2	2.2	43.274	86.54								
T	40.699901000	-99.093942000	2187.0		217.9	4.8	43.308	179.05								
T	40.699798000	-99.094078000	2188.6		225.0	3.1	43.318	53.20								
T	40.699605000	-99.094396000	2189.9		231.3	1.1	43.340	112.78								
T	40.699553000	-99.094517000	2191.1		240.5	3.2	43.347	38.53								
T	40.699519000	-99.094632000	2192.6		248.7	4.3	43.353	34.21								
T	40.699483000	-99.094791000	2195.4		253.4	6.1	43.362	46.00								
T	40.699467000	-99.094975000	2201.4		263.5	11.6	43.372	51.35								
T	40.699478000	-99.097550000	2184.9		270.3	-2.3	43.507	714.02								
T	40.699491000	-99.101288000	2165.6		270.3	-1.9	43.703	1036.50								
