type	latitude	longitude	altitude (ft)	vmg (mph)	course	slope (%)	distance (mi)	distance_interval (ft)	color	opacity	width	scale	sym	name	desc	kml_folder
T	39.089776000	-95.664322000	896.3		34.7	8.8	4.164	24.85								
T	39.089817000	-95.664279000	897.9		39.1	8.3	4.167	19.29								
T	39.090797000	-95.663123000	911.4		42.5	2.8	4.259	484.85								
T	39.090876000	-95.663027000	912.3		43.3	2.3	4.267	39.63								
T	39.090917000	-95.662963000	912.3		50.5	0.0	4.271	23.52								
T	39.090955000	-95.662893000	912.4		55.0	0.6	4.276	24.21								
T	39.090979000	-95.662822000	912.5		66.5	0.2	4.280	21.97								
T	39.090988000	-95.662796000	912.5		66.0	0.7	4.281	8.08								
T	39.091012000	-95.662702000	912.1		71.8	-1.7	4.287	28.08								
T	39.091071000	-95.662088000	907.6		82.9	-2.5	4.320	175.60								
T	39.091067000	-95.661975000	907.7		92.6	0.3	4.326	32.11								
T	39.091043000	-95.661399000	901.5		93.1	-3.8	4.357	163.73								
T	39.091024000	-95.660076000	888.7		91.1	-3.4	4.428	375.59								
T	39.091018000	-95.659717000	893.5		91.2	4.7	4.447	101.92								
T	39.090977000	-95.658229000	886.5		92.0	-1.6	4.527	422.62								
T	39.090973000	-95.657875000	889.6		90.8	3.1	4.546	100.49								
T	39.090968000	-95.657315000	894.1		90.7	2.8	4.577	158.96								
T	39.090969000	-95.655347000	894.0		90.0	-0.0	4.682	558.60								
T	39.090974000	-95.654280000	884.2		89.7	-3.2	4.740	302.87								
T	39.090983000	-95.652142000	888.1		89.7	0.6	4.855	606.87								
T	39.090993000	-95.650166000	878.5		89.6	-1.7	4.961	560.89								
T	39.091008000	-95.647040000	881.7		89.6	0.4	5.129	887.31								
T	39.091016000	-95.645342000	897.6		89.7	3.3	5.220	481.97								
T	39.091020000	-95.643830000	886.1		89.8	-2.7	5.301	429.17								
T	39.091036000	-95.640456000	884.4		89.6	-0.2	5.483	957.70								
T	39.091046000	-95.638810000	916.0		89.6	6.8	5.571	467.22								
T	39.091054000	-95.635990000	898.0		89.8	-2.3	5.723	800.44								
T	39.091058000	-95.635329000	903.5		89.6	3.0	5.758	187.63								
T	39.091073000	-95.630795000	882.3		89.8	-1.6	6.002	1286.95								
T	39.091081000	-95.628829000	873.2		89.7	-1.6	6.108	558.04								
T	39.091082000	-95.628752000	871.5		89.0	-7.7	6.112	21.86								
T	39.091088000	-95.627981000	870.8		89.4	-0.4	6.153	218.85								
T	39.091098000	-95.627077000	894.1		89.2	9.1	6.202	256.62								
T	39.091112000	-95.626741000	899.0		86.9	5.1	6.220	95.51								
T	39.091136000	-95.626411000	896.5		84.6	-2.6	6.238	94.08								
T	39.091160000	-95.626123000	898.9		83.9	2.8	6.254	82.21								
T	39.091192000	-95.625753000	899.9		83.6	1.0	6.274	105.67								
T	39.091224000	-95.625470000	895.0		81.7	-6.1	6.289	81.17								
T	39.091292000	-95.624987000	890.2		79.7	-3.4	6.315	139.31								
T	39.091341000	-95.624688000	892.5		78.1	2.6	6.332	86.72								
T	39.091396000	-95.624384000	891.6		76.9	-0.9	6.349	88.58								
T	39.091467000	-95.624048000	889.0		74.8	-2.6	6.367	98.81								
T	39.091594000	-95.623485000	888.7		73.8	-0.2	6.399	166.36								
T	39.091698000	-95.623076000	892.9		71.9	3.5	6.422	122.11								
T	39.092114000	-95.621502000	900.9		71.2	1.7	6.511	471.76								
T	39.092332000	-95.620675000	894.3		71.2	-2.7	6.558	247.80								
T	39.092491000	-95.620074000	906.5		71.2	6.8	6.592	180.15								
T	39.092588000	-95.619711000	912.6		71.0	5.6	6.613	108.92								
T	39.092671000	-95.619354000	914.8		73.3	2.0	6.633	105.74								
T	39.092747000	-95.619001000	930.0		74.5	14.6	6.653	103.95								
T	39.092818000	-95.618647000	941.2		75.5	10.8	6.672	103.75								
T	39.092885000	-95.618285000	945.5		76.6	4.1	6.692	105.61								
T	39.092981000	-95.617744000	950.6		77.1	3.2	6.722	157.49								
T	39.093059000	-95.617203000	961.4		79.5	6.9	6.752	156.16								
T	39.093119000	-95.616710000	960.3		81.1	-0.8	6.779	141.63								
T	39.093166000	-95.616247000	954.4		82.5	-4.4	6.804	132.53								
T	39.093214000	-95.615704000	961.7		83.5	4.7	6.833	155.11								
T	39.093227000	-95.615477000	962.5		85.8	1.2	6.845	64.60								
T	39.093239000	-95.615278000	962.5		85.6	-0.0	6.856	56.65								
T	39.093263000	-95.614820000	950.2		86.1	-9.4	6.881	130.29								
T	39.093334000	-95.613285000	942.7		86.6	-1.7	6.963	436.45								
T	39.093434000	-95.610874000	956.9		86.9	2.1	7.093	685.29								
T	39.093479000	-95.609959000	970.8		86.4	5.3	7.142	260.22								
T	39.093512000	-95.609156000	973.2		87.0	1.0	7.186	228.23								
T	39.093529000	-95.608694000	978.4		87.3	4.0	7.210	131.28								
T	39.093531000	-95.608510000	976.5		89.2	-3.6	7.220	52.23								
T	39.093532000	-95.608010000	965.7		89.9	-7.6	7.247	141.92								
T	39.093528000	-95.607539000	964.6		90.6	-0.9	7.273	133.69								
T	39.093516000	-95.607000000	973.1		91.6	5.6	7.302	153.05								
T	39.093512000	-95.606909000	975.4		93.2	8.9	7.306	25.87								
T	39.093490000	-95.606485000	984.5		93.8	7.6	7.329	120.61								
T	39.093432000	-95.605716000	980.1		95.6	-2.0	7.371	219.29								
T	39.093394000	-95.605333000	980.5		97.3	0.4	7.392	109.59								
T	39.093351000	-95.604951000	977.9		98.3	-2.3	7.412	109.55								
