type	latitude	longitude	altitude (ft)	vmg (mph)	course	slope (%)	distance (mi)	distance_interval (ft)	color	opacity	width	scale	sym	name	desc	kml_folder
T	42.895764000	-112.595361000	4454.4		252.2	-0.7	8.892	665.62								
T	42.895193000	-112.597789000	4449.8		252.2	-0.7	9.021	683.12								
T	42.894616000	-112.600236000	4450.1		252.2	0.0	9.152	688.64								
T	42.893991000	-112.602913000	4444.2		252.3	-0.8	9.294	752.68								
T	42.893448000	-112.605224000	4444.0		252.2	-0.0	9.417	650.16								
T	42.892985000	-112.607181000	4437.0		252.1	-1.3	9.522	550.93								
T	42.892860000	-112.607712000	4437.8		252.2	0.5	9.550	149.42								
T	42.892543000	-112.609099000	4441.0		252.7	0.8	9.624	389.24								
T	42.892321000	-112.610033000	4442.1		252.0	0.4	9.673	263.05								
T	42.891832000	-112.612121000	4442.3		252.3	0.0	9.785	587.26								
T	42.891279000	-112.614475000	4432.4		252.2	-1.5	9.910	662.27								
T	42.890694000	-112.616955000	4435.7		252.2	0.5	10.042	697.99								
T	42.890157000	-112.619263000	4435.4		252.4	-0.1	10.165	648.77								
T	42.889616000	-112.621582000	4440.6		252.3	0.8	10.289	652.02								
T	42.889326000	-112.622824000	4429.7		252.3	-3.1	10.355	349.24								
T	42.889267000	-112.623101000	4432.8		253.8	4.0	10.369	77.29								
T	42.889226000	-112.623349000	4434.8		257.3	3.0	10.382	68.12								
T	42.889194000	-112.623585000	4432.4		259.5	-3.7	10.395	64.32								
T	42.889154000	-112.623920000	4431.9		260.7	-0.5	10.412	90.96								
T	42.889118000	-112.624266000	4429.5		261.9	-2.6	10.429	93.65								
T	42.889077000	-112.624661000	4429.1		261.9	-0.3	10.450	106.91								
T	42.889023000	-112.625211000	4430.7		262.4	1.1	10.478	148.71								
T	42.888974000	-112.625579000	4429.9		259.7	-0.9	10.497	100.23								
T	42.888915000	-112.625940000	4425.0		257.4	-4.9	10.516	99.11								
T	42.888839000	-112.626309000	4420.2		254.3	-4.7	10.535	102.70								
T	42.888719000	-112.626851000	4422.6		253.2	1.5	10.564	151.70								
T	42.888596000	-112.627367000	4424.4		252.0	1.2	10.591	145.38								
T	42.888472000	-112.627893000	4425.9		252.2	1.0	10.619	148.04								
T	42.888058000	-112.629676000	4428.6		252.4	0.5	10.714	501.11								
T	42.887683000	-112.631279000	4425.9		252.3	-0.6	10.800	450.83								
T	42.887223000	-112.633249000	4430.1		252.3	0.8	10.905	553.96								
T	42.886712000	-112.635425000	4428.1		252.2	-0.3	11.021	612.21								
T	42.886318000	-112.637124000	4430.7		252.4	0.5	11.111	477.46								
T	42.885961000	-112.638683000	4423.0		252.6	-1.8	11.194	437.63								
T	42.885801000	-112.639373000	4423.0		252.4	0.0	11.231	193.91								
T	42.885605000	-112.640204000	4410.5		252.2	-5.4	11.275	233.90								
T	42.885196000	-112.641976000	4396.1		252.5	-2.9	11.369	497.78								
T	42.885113000	-112.642331000	4394.2		252.3	-1.8	11.388	99.84								
T	42.885078000	-112.642489000	4393.1		253.2	-2.5	11.396	44.23								
T	42.884830000	-112.643541000	4397.5		252.2	1.5	11.453	296.09								
T	42.884608000	-112.644671000	4393.0		255.0	-1.4	11.512	313.49								
T	42.884424000	-112.645409000	4396.3		251.2	1.6	11.551	208.86								
T	42.884245000	-112.646198000	4395.6		252.8	-0.3	11.593	221.31								
T	42.883853000	-112.647701000	4393.5		250.4	-0.5	11.674	427.43								
T	42.883788000	-112.647951000	4395.5		250.5	2.9	11.688	71.07								
T	42.883256000	-112.649828000	4406.2		248.9	2.0	11.790	539.16								
T	42.881991000	-112.654073000	4431.3		247.9	2.0	12.022	1227.66								
T	42.881654000	-112.655180000	4428.2		247.4	-1.0	12.083	321.13								
T	42.880799000	-112.658114000	4425.6		248.3	-0.3	12.243	845.91								
T	42.880236000	-112.660013000	4426.2		248.0	0.1	12.347	548.81								
T	42.879919000	-112.661054000	4419.4		247.4	-2.3	12.405	302.01								
T	42.877924000	-112.667886000	4427.2		248.3	0.4	12.778	1970.37								
T	42.877172000	-112.670393000	4432.8		247.7	0.8	12.915	725.75								
T	42.876126000	-112.673922000	4429.3		248.0	-0.3	13.108	1019.91								
T	42.875604000	-112.675655000	4435.3		247.7	1.2	13.203	502.00								
T	42.874944000	-112.677772000	4425.9		247.0	-1.5	13.320	616.37								
T	42.873875000	-112.681339000	4426.2		247.8	0.0	13.516	1032.53								
T	42.873678000	-112.681996000	4425.4		247.7	-0.5	13.552	190.20								
T	42.873334000	-112.683198000	4421.0		248.7	-1.3	13.617	345.75								
T	42.872938000	-112.684533000	4420.1		248.0	-0.2	13.690	385.88								
T	42.872522000	-112.685988000	4422.4		248.7	0.5	13.770	418.48								
T	42.871697000	-112.688769000	4420.9		248.0	-0.2	13.922	803.88								
T	42.871156000	-112.690638000	4421.6		248.4	0.1	14.024	538.44								
T	42.870532000	-112.692679000	4418.4		247.4	-0.5	14.136	592.54								
T	42.870147000	-112.693999000	4419.6		248.3	0.3	14.208	380.68								
T	42.871907000	-112.694960000	4428.2		338.2	1.2	14.339	691.27								
T	42.872570000	-112.695312000	4418.1		338.7	-3.9	14.388	259.41								
T	42.873339000	-112.695730000	4421.4		338.3	1.1	14.445	301.85								
T	42.873972000	-112.696092000	4424.6		337.3	1.3	14.493	250.29								
T	42.873911000	-112.696227000	4426.9		238.3	5.2	14.501	42.47								
T	42.873849000	-112.696347000	4428.2		234.8	3.5	14.508	39.31								
T	42.873679000	-112.696611000	4425.4		228.7	-3.0	14.526	94.06								
T	42.873359000	-112.697127000	4420.2		229.8	-2.8	14.560	180.93								
T	42.873323000	-112.697184000	4419.5		229.2	-3.6	14.564	20.14								
T	42.873036000	-112.697641000	4412.8		229.4	-4.1	14.595	161.09								
T	42.872823000	-112.697985000	4415.5		229.8	2.2	14.617	120.54								
T	42.872637000	-112.698281000	4417.7		229.4	2.1	14.637	104.37								
T	42.872473000	-112.698538000	4419.1		229.0	1.5	14.655	91.21								
T	42.872134000	-112.699084000	4412.4		229.7	-3.5	14.691	191.55								
T	42.871933000	-112.699410000	4412.3		229.9	-0.0	14.712	114.04								
T	42.871716000	-112.699751000	4413.7		229.0	1.1	14.735	120.88								
T	42.871592000	-112.699950000	4416.3		229.6	3.8	14.749	69.92								
T	42.871453000	-112.700170000	4418.5		229.2	2.9	14.763	77.75								
T	42.871210000	-112.700556000	4419.3		229.3	0.6	14.789	136.21								
T	42.870843000	-112.701147000	4416.0		229.7	-1.6	14.828	207.35								
T	42.870620000	-112.701499000	4413.8		229.2	-1.8	14.852	124.54								
T	42.870170000	-112.702139000	4416.7		226.2	1.2	14.897	237.35								
T	42.869032000	-112.703989000	4414.3		230.0	-0.4	15.019	646.54								
T	42.868236000	-112.705285000	4424.5		230.0	2.3	15.105	452.65								
T	42.867348000	-112.706725000	4416.1		229.9	-1.7	15.200	503.77								
T	42.866380000	-112.708302000	4406.1		230.1	-1.8	15.305	550.66								
T	42.865695000	-112.709536000	4405.1		232.9	-0.2	15.383	414.47								
T	42.865191000	-112.710593000	4408.1		237.0	0.9	15.447	337.72								
T	42.864557000	-112.712114000	4408.3		240.4	0.0	15.536	468.71								
T	42.863988000	-112.713690000	4408.8		243.8	0.1	15.625	470.69								
T	42.862858000	-112.717034000	4414.3		245.3	0.6	15.812	986.64								
T	42.862443000	-112.718233000	4406.4		244.7	-2.2	15.879	355.28								
T	42.862163000	-112.719085000	4412.0		245.9	2.2	15.927	250.20								
T	42.860988000	-112.722508000	4409.4		244.9	-0.2	16.118	1012.78								
T	42.860477000	-112.724041000	4413.7		245.5	0.9	16.204	451.26								
T	42.859463000	-112.726989000	4409.7		244.9	-0.5	16.369	872.58								
T	42.858628000	-112.729459000	4419.1		245.2	1.3	16.507	728.87								
T	42.855853000	-112.737547000	4419.3		244.9	0.0	16.960	2392.97								
T	42.855430000	-112.738781000	4412.2		244.9	-1.9	17.030	365.05								
T	42.854333000	-112.741939000	4416.0		244.6	0.4	17.207	936.46								
T	42.853458000	-112.744518000	4415.6		245.2	-0.0	17.351	761.56								
T	42.852781000	-112.746434000	4416.0		244.3	0.1	17.459	569.97								
T	42.852151000	-112.748271000	4407.6		244.9	-1.6	17.562	543.50								
T	42.850820000	-112.752109000	4408.1		244.7	0.0	17.778	1137.82								
T	42.848436000	-112.759066000	4411.5		245.0	0.2	18.167	2058.10								
T	42.848111000	-112.759988000	4412.4		244.3	0.3	18.219	274.17								
T	42.847745000	-112.761027000	4406.4		244.3	-2.0	18.278	308.93								
T	42.847286000	-112.762189000	4410.2		241.7	1.1	18.345	353.69								
T	42.847037000	-112.762740000	4403.7		238.4	-3.8	18.378	173.41								
T	42.846847000	-112.763132000	4403.5		236.5	-0.2	18.401	125.89								
T	42.846474000	-112.763832000	4405.5		234.0	0.9	18.445	231.79								
T	42.846204000	-112.764314000	4403.9		232.6	-1.0	18.476	162.46								
T	42.846056000	-112.764611000	4402.5		235.8	-1.5	18.494	96.20								
T	42.845412000	-112.765788000	4408.1		233.3	1.4	18.569	393.36								
T	42.845208000	-112.766095000	4410.3		227.8	1.9	18.590	110.94								
T	42.844858000	-112.766565000	4421.0		224.6	6.0	18.624	179.34								
T	42.844072000	-112.767568000	4414.4		223.1	-1.7	18.698	392.97								
T	42.843989000	-112.767717000	4415.8		232.8	2.7	18.708	50.12								
T	42.843931000	-112.767915000	4414.4		248.2	-2.4	18.719	57.16								
T	42.843920000	-112.767952000	4414.0		247.9	-4.1	18.721	10.70								
T	42.843908000	-112.768198000	4410.9		266.2	-4.6	18.733	66.12								
T	42.843928000	-112.768340000	4408.9		280.9	-5.2	18.740	38.78								
T	42.843954000	-112.768424000	4407.9		292.9	-4.3	18.745	24.44								
T	42.844028000	-112.768589000	4406.3		301.5	-3.0	18.755	51.82								
T	42.843821000	-112.768833000	4408.1		220.8	1.9	18.774	99.87								
T	42.843630000	-112.769039000	4408.3		218.3	0.2	18.791	88.87								
T	42.843096000	-112.769538000	4398.7		214.4	-4.1	18.835	236.20								
T	42.842887000	-112.769703000	4392.4		210.1	-7.1	18.852	88.10								
T	42.842597000	-112.769927000	4397.6		209.5	4.2	18.875	121.58								
T	42.842111000	-112.770206000	4415.2		202.8	9.1	18.912	192.29								
T	42.841377000	-112.770629000	4412.9		202.9	-0.8	18.967	290.58								
T	42.841223000	-112.770678000	4414.7		193.1	3.2	18.977	57.65								
T	42.840978000	-112.770731000	4416.0		189.0	1.5	18.995	90.42								
T	42.840770000	-112.770808000	4415.3		195.2	-1.0	19.009	78.57								
T	42.840548000	-112.770877000	4412.9		192.8	-2.8	19.025	83.00								
T	42.840257000	-112.770950000	4419.8		190.4	6.4	19.046	107.85								
T	42.839667000	-112.771052000	4424.5		187.2	2.2	19.087	216.77								
T	42.839254000	-112.771091000	4419.1		184.0	-3.6	19.115	150.89								
T	42.838127000	-112.771102000	4416.9		180.4	-0.5	19.193	410.77								
T	42.837636000	-112.771104000	4417.6		180.2	0.4	19.227	178.95								
T	42.837078000	-112.771103000	4414.4		179.9	-1.5	19.265	203.37								
T	42.835720000	-112.771131000	4419.2		180.9	1.0	19.359	495.00								
T	42.835343000	-112.771109000	4416.8		177.5	-1.7	19.385	137.53								
T	42.834978000	-112.771110000	4415.8		180.1	-0.8	19.410	133.03								
T	42.834916000	-112.770908000	4418.1		112.7	4.1	19.422	58.71								
T	42.834904000	-112.770844000	4419.1		104.3	5.5	19.425	17.72								
T	42.834762000	-112.770411000	4424.0		114.1	3.9	19.449	127.16								
T	42.834476000	-112.769518000	4416.5		113.6	-2.9	19.499	261.24								
T	42.834326000	-112.769165000	4410.8		120.1	-5.2	19.519	109.34								
T	42.833267000	-112.769548000	4411.0		194.9	0.0	19.595	399.41								
T	42.830942000	-112.770837000	4429.9		202.1	2.1	19.768	915.22								
T	42.830467000	-112.771028000	4432.4		196.4	1.4	19.802	180.54								
T	42.830266000	-112.771068000	4432.6		188.3	0.2	19.816	74.04								
T	42.829965000	-112.771097000	4435.3		184.0	2.5	19.837	109.98								
T	42.829577000	-112.771106000	4432.4		181.0	-2.0	19.864	141.43								
T	42.829263000	-112.771125000	4432.1		182.5	-0.3	19.886	114.56								
T	42.829185000	-112.771122000	4432.2		178.4	0.2	19.891	28.44								
T	42.828892000	-112.771113000	4429.2		178.7	-2.8	19.911	106.82								
T	42.828172000	-112.771102000	4418.8		179.4	-4.0	19.961	262.43								
T	42.828039000	-112.771105000	4415.9		180.9	-6.0	19.970	48.48								
T	42.827548000	-112.771103000	4415.5		179.8	-0.2	20.004	178.95								
T	42.827297000	-112.771102000	4416.0		179.8	0.5	20.021	91.48								
T	42.826925000	-112.771111000	4412.7		181.0	-2.4	20.047	135.60								
T	42.825666000	-112.771128000	4419.0		180.6	1.4	20.134	458.89								
T	42.825192000	-112.771147000	4419.3		181.7	0.2	20.167	172.83								
T	42.825065000	-112.771174000	4419.3		188.9	0.0	20.176	46.85								
T	42.824566000	-112.771408000	4415.6		199.0	-1.9	20.212	192.40								
T	42.824190000	-112.771630000	4412.7		203.4	-1.9	20.240	149.42								
T	42.823921000	-112.771806000	4412.7		205.6	0.0	20.261	108.82								
T	42.823871000	-112.771835000	4412.4		203.0	-1.7	20.265	19.81								
T	42.823207000	-112.772218000	4395.1		202.9	-6.6	20.315	262.92								
T	42.822729000	-112.772484000	4389.4		202.2	-3.0	20.350	188.27								
T	42.822369000	-112.772702000	4389.5		203.9	0.0	20.377	143.65								
T	42.821851000	-112.772988000	4376.7		202.0	-6.3	20.416	203.79								
T	42.821358000	-112.773299000	4377.0		204.8	0.2	20.454	198.11								
T	42.821261000	-112.773354000	4378.2		202.6	3.0	20.461	38.31								
T	42.820813000	-112.773608000	4380.4		202.6	1.3	20.494	176.93								
T	42.819713000	-112.774236000	4391.7		202.7	2.6	20.577	434.88								
T	42.819521000	-112.774356000	4394.1		204.6	3.1	20.591	77.03								
T	42.818861000	-112.774734000	4410.1		202.8	6.1	20.641	261.05								
