type	latitude	longitude	altitude (ft)	vmg (mph)	course	slope (%)	distance (mi)	distance_interval (ft)	color	opacity	width	scale	sym	name	desc	kml_folder
T	41.898003000	-103.716293000	3908.1		313.6	-1.3	9.091	618.64								
T	41.898195000	-103.716567000	3910.6		313.3	2.5	9.111	102.27								
T	41.898484000	-103.716981000	3920.8		313.2	6.6	9.140	154.26								
T	41.899378000	-103.718259000	3916.6		313.2	-0.9	9.230	476.65								
T	41.900168000	-103.719388000	3918.9		313.2	0.6	9.310	421.13								
T	41.901762000	-103.721668000	3914.0		313.2	-0.6	9.471	850.11								
T	41.902483000	-103.722710000	3921.0		312.9	1.8	9.544	386.65								
T	41.902594000	-103.722865000	3918.9		313.9	-3.6	9.555	58.45								
T	41.903341000	-103.723910000	3923.4		313.8	1.1	9.630	393.74								
T	41.903644000	-103.724344000	3925.2		313.2	1.1	9.660	161.71								
T	41.904638000	-103.725767000	3927.2		313.2	0.4	9.761	530.35								
T	41.904815000	-103.726021000	3924.6		313.1	-2.7	9.779	94.56								
T	41.906346000	-103.728190000	3923.2		313.5	-0.2	9.933	812.34								
T	41.907039000	-103.729194000	3933.6		312.8	2.8	10.003	372.12								
T	41.907077000	-103.729248000	3934.2		313.4	3.2	10.007	20.19								
T	41.907458000	-103.729799000	3929.2		312.9	-2.5	10.046	204.39								
T	41.908382000	-103.731089000	3928.5		313.9	-0.1	10.138	486.50								
T	41.909395000	-103.732518000	3932.3		313.6	0.7	10.239	536.26								
T	41.909550000	-103.732740000	3932.3		313.2	-0.0	10.255	82.72								
T	41.911106000	-103.734968000	3940.5		313.2	1.0	10.412	830.25								
T	41.911472000	-103.735486000	3945.1		313.5	2.4	10.449	194.08								
T	41.912115000	-103.736396000	3945.7		313.5	0.2	10.514	340.97								
T	41.912338000	-103.736715000	3951.5		313.2	4.9	10.536	118.92								
T	41.913914000	-103.738968000	3959.3		313.2	0.9	10.695	840.18								
T	41.914260000	-103.739444000	3961.1		314.3	1.0	10.729	180.79								
T	41.914496000	-103.739784000	3967.1		313.0	4.8	10.753	126.33								
T	41.915270000	-103.740899000	3969.8		313.0	0.6	10.832	414.31								
T	41.915945000	-103.741836000	3973.6		314.1	1.1	10.899	354.32								
T	41.916841000	-103.743143000	3976.4		312.7	0.6	10.990	482.86								
T	41.918180000	-103.745038000	3982.9		313.5	0.9	11.125	710.00								
T	41.918799000	-103.745932000	3983.7		312.9	0.2	11.188	331.79								
T	41.919572000	-103.747038000	3987.7		313.2	1.0	11.266	412.26								
T	41.920134000	-103.747880000	3988.3		311.9	0.2	11.324	307.34								
T	41.920754000	-103.748872000	3990.3		310.0	0.6	11.391	352.05								
T	41.921224000	-103.749662000	3997.1		308.6	2.5	11.443	274.88								
T	41.921624000	-103.750373000	3994.9		307.1	-0.9	11.489	242.26								
T	41.922389000	-103.751818000	3991.0		305.4	-0.8	11.580	482.04								
