type	latitude	longitude	altitude (ft)	vmg (mph)	course	slope (%)	distance (mi)	distance_interval (ft)	color	opacity	width	scale	sym	name	desc	kml_folder
T	42.988263132	-108.765452727	5514.7		172.2	0.2	21.646	98.34								
T	42.988163945	-108.765434083	5515.7		172.2	2.6	21.653	36.49								
T	42.987896336	-108.765387215	5517.5		172.7	1.9	21.672	98.34								
T	42.987628727	-108.765340348	5517.0		172.7	-0.5	21.690	98.34								
T	42.987361118	-108.765293481	5516.9		172.7	-0.1	21.709	98.34								
T	42.987271746	-108.765277830	5517.8		172.7	2.7	21.715	32.84								
T	42.987271000	-108.765270000	5517.8		97.4	0.4	21.716	2.11								
T	42.987258000	-108.765271000	5518.0		183.2	3.2	21.717	4.75								
T	42.985755000	-108.765265000	5521.4		179.8	0.6	21.820	547.81								
T	42.985143000	-108.765324000	5522.2		184.0	0.4	21.863	223.62								
T	42.984452000	-108.765432000	5515.2		186.5	-2.8	21.911	253.51								
T	42.983824000	-108.765598000	5510.2		190.9	-2.1	21.955	233.16								
T	42.982580000	-108.765961000	5517.5		192.1	1.6	22.043	463.70								
T	42.982518000	-108.765979000	5517.0		192.0	-2.2	22.047	23.11								
T	42.981730000	-108.766285000	5517.9		195.9	0.3	22.104	298.65								
T	42.981422000	-108.766399000	5515.7		195.2	-1.9	22.126	116.33								
T	42.981151000	-108.766537000	5519.9		200.4	4.0	22.146	105.45								
T	42.980730000	-108.766799000	5521.6		204.5	1.0	22.178	168.70								
T	42.980476000	-108.766986000	5525.0		208.3	3.2	22.198	105.24								
T	42.980224000	-108.767182000	5526.7		209.6	1.7	22.218	105.77								
T	42.979136000	-108.768054000	5515.4		210.4	-2.5	22.305	460.12								
T	42.978912000	-108.768232000	5520.5		210.2	5.4	22.323	94.52								
T	42.978605000	-108.768469000	5526.5		209.5	4.6	22.347	128.62								
T	42.978408000	-108.768653000	5526.2		214.3	-0.4	22.363	87.06								
T	42.978388885	-108.768614357	5525.6		124.1	-4.5	22.366	12.47								
T	42.977155157	-108.770300657	5521.1		225.0	-0.7	22.486	637.07								
T	42.976977270	-108.770577908	5519.6		228.8	-1.5	22.505	98.53								
T	42.976799382	-108.770855158	5521.9		228.8	2.3	22.524	98.53								
T	42.976621493	-108.771132407	5524.1		228.8	2.3	22.542	98.53								
T	42.976443603	-108.771409654	5522.9		228.7	-1.2	22.561	98.53								
T	42.976265713	-108.771686899	5520.3		228.7	-2.7	22.580	98.53								
T	42.976087822	-108.771964142	5518.4		228.7	-2.0	22.598	98.53								
T	42.976084611	-108.771969146	5518.4		228.7	0.0	22.599	1.78								
T	42.975893838	-108.772229897	5518.5		225.0	0.1	22.617	98.51								
T	42.975703063	-108.772490646	5521.5		225.0	3.1	22.636	98.51								
T	42.975512288	-108.772751393	5524.6		225.0	3.1	22.655	98.51								
T	42.975391390	-108.772916632	5528.2		225.0	5.8	22.667	62.43								
T	42.975179046	-108.773144109	5530.6		218.1	2.4	22.685	98.47								
T	42.974966701	-108.773371583	5530.0		218.1	-0.6	22.704	98.47								
T	42.974933365	-108.773407295	5528.6		218.1	-9.2	22.707	15.46								
T	42.974699379	-108.773590873	5520.6		209.9	-8.1	22.725	98.42								
T	42.974465393	-108.773774449	5512.6		209.9	-8.2	22.744	98.42								
T	42.974231407	-108.773958025	5509.3		209.9	-3.3	22.763	98.42								
T	42.973997421	-108.774141599	5508.5		209.9	-0.8	22.781	98.42								
T	42.973877660	-108.774235556	5508.3		209.9	-0.5	22.791	50.38								
T	42.973627416	-108.774373375	5502.4		201.9	-6.0	22.810	98.38								
T	42.973377172	-108.774511192	5500.0		201.9	-2.4	22.828	98.38								
T	42.973126928	-108.774649008	5498.7		201.9	-1.3	22.847	98.38								
T	42.972938962	-108.774752525	5498.9		201.9	0.3	22.861	73.90								
T	42.972675192	-108.774830020	5497.9		192.1	-1.0	22.879	98.35								
T	42.972411421	-108.774907515	5495.9		192.1	-2.1	22.898	98.35								
T	42.972147651	-108.774985008	5491.2		192.1	-4.7	22.917	98.35								
T	42.971883880	-108.775062501	5488.9		192.1	-2.4	22.935	98.35								
T	42.971778276	-108.775093526	5488.0		192.1	-2.2	22.943	39.38								
T	42.971779000	-108.775145000	5488.6		271.1	4.5	22.945	13.78								
T	42.971293000	-108.775152000	5480.5		180.6	-4.6	22.979	177.15								
T	42.971196000	-108.775151000	5478.8		179.6	-5.0	22.986	35.36								
T	42.967839000	-108.775131000	5439.6		179.8	-3.2	23.217	1223.56								
T	42.963615000	-108.775143000	5474.1		180.1	2.2	23.509	1539.55								
T	42.961848000	-108.775141000	5468.0		180.0	-0.9	23.631	644.03								
T	42.961847629	-108.775114785	5468.0		91.1	-0.1	23.632	7.02								
T	42.960187323	-108.775275892	5438.6		184.1	-4.9	23.747	606.68								
T	42.959926862	-108.775372033	5436.4		195.1	-2.3	23.766	98.36								
T	42.959666402	-108.775468172	5435.7		195.1	-0.7	23.784	98.36								
T	42.959405941	-108.775564311	5433.1		195.1	-2.7	23.803	98.36								
T	42.959305598	-108.775601349	5433.3		195.1	0.7	23.810	37.89								
T	42.959060719	-108.775756087	5435.8		204.8	2.5	23.829	98.40								
T	42.958815840	-108.775910825	5437.2		204.8	1.5	23.847	98.40								
T	42.958570960	-108.776065561	5440.1		204.8	2.9	23.866	98.40								
T	42.958326080	-108.776220296	5441.8		204.8	1.7	23.885	98.40								
T	42.958275746	-108.776252101	5442.3		204.8	2.5	23.889	20.23								
T	42.957464756	-108.777017238	5463.6		214.6	5.9	23.957	359.62								
T	42.957273983	-108.777277910	5464.1		225.0	0.5	23.975	98.51								
T	42.957083209	-108.777538581	5460.7		225.0	-3.4	23.994	98.51								
T	42.956892434	-108.777799250	5462.5		225.0	1.8	24.013	98.51								
T	42.956701659	-108.778059917	5467.9		225.0	5.5	24.031	98.51								
T	42.956518588	-108.778310055	5470.8		225.0	3.0	24.049	94.53								
T	42.956338360	-108.778584376	5470.6		228.1	-0.2	24.068	98.53								
T	42.956158131	-108.778858696	5472.2		228.1	1.6	24.087	98.53								
T	42.955977902	-108.779133013	5475.6		228.1	3.5	24.105	98.53								
T	42.955797672	-108.779407330	5479.8		228.1	4.3	24.124	98.53								
T	42.955792329	-108.779415462	5479.9		228.1	4.5	24.124	2.92								
T	42.955808000	-108.779426000	5479.6		333.8	-5.3	24.126	6.37								
T	42.955802000	-108.779444000	5479.7		245.5	3.0	24.127	5.29								
T	42.955386000	-108.780499000	5489.6		241.7	3.1	24.187	320.56								
T	42.953854000	-108.784948000	5508.6		244.8	1.4	24.436	1315.47								
T	42.953352000	-108.786373000	5502.2		244.3	-1.5	24.517	423.11								
T	42.952048000	-108.790002000	5518.3		243.9	1.5	24.721	1081.60								
