Time (s),Velocity [m/s],Drag Force [N],S.O.C
1459.2712512704743,24.528044903186046,150.40624669317774,0.9138500567263792
1459.3415569039778,24.52594434653149,150.38048652228997,0.9138468679628535
1459.5586643064055,24.518848837623743,150.2934870805608,0.9138370208912555
1459.7757717088332,24.51083876957346,150.19530429700637,0.9138271738101864
1459.8773133837954,24.50678032783066,150.14557050913697,0.9138225683024982
1459.9437421177633,24.504011566628854,150.11164571437016,0.9138195553705276
1459.987368397912,24.502129673214814,150.08858963075846,0.9138175766628447
1460.0,24.501574018274816,150.08178234324987,0.9138170037455312
1460.0003157900521,24.501563032854268,150.0816477632327,0.9138169891379988
1460.0006315801043,24.501552044239734,150.08151314414707,0.9138169745304664
1460.0009473701564,24.501541052363923,150.08137848516864,0.913816959922934
1460.002674341176,24.501480886210853,150.08064140433893,0.9138168800382602
1460.0044013121958,24.50142062388129,150.07990314708886,0.9138168001535859
1460.0061282832155,24.50136026416905,150.07916369865052,0.9138167202689109
1460.0078552542352,24.50129980665471,150.07842305389454,0.9138166403842354
1460.011448188401,24.50117371237701,150.07687832101857,0.913816474185509
1460.0150411225666,24.501047194301766,150.0753284043506,0.9138163079867803
1460.0186340567323,24.50092025259561,150.0737733060124,0.913816141788049
1460.022226990898,24.500792887455653,150.07221302849936,0.9138159755893149
1460.0258199250636,24.50066509897693,150.07064757305656,0.9138158093905784
1460.029451191854,24.50053551704637,150.06906015551266,0.9138156414186831
1460.0330824586442,24.50040550279456,150.0674674503415,0.9138154734467849
1460.0367137254345,24.50027505628707,150.0658694584306,0.9138153054748841
1460.0403449922248,24.500144177596134,150.06426618074943,0.9138151375029808
1460.0439762590152,24.50001286679401,150.062657618268,0.9138149695310748
1460.0497536775354,24.499803058179562,150.06008747239616,0.9138147022843873
1460.0555310960556,24.499592156203846,150.05750395508124,0.9138144350376932
1460.0613085145758,24.499380161148967,150.0549070701249,0.9138141677909924
1460.067085933096,24.49916707329726,150.0522968213332,0.9138139005442849
1460.0728633516162,24.49895289293135,150.04967321251732,0.9138136332975707
1460.0837891381623,24.49854486671772,150.04467514664526,0.913813127902185
1460.0947149247083,24.498132936233056,150.03962934033672,0.9138126225067756
1460.1056407112544,24.497717103388034,150.03453581940764,0.9138121171113422
