Time,SOC [-],Control Signal [A],Target Speed [m/s],Motor Control Signal [A],Air Density [kg/m^3],Irradiance [W/m^2],Surface Grade,Net Force [N],Normal Force [N],Parallel Gravitational Force [N],Motor Propulsion Force [N],Resistive Forces [N],Drag Force [N],Rolling Resistance [N],Solar Power [W],Acceleration [m/s^2],Position [m],Velocity [m/s]
26.025 sec,0.997908575877261,20.870137188376,NaN,20.870137188376,NaN,19.8010084886537,0,65.0192543551515,2776.19350329783,-0,81.0393359681893,-16.0200816130378,9.07959785479323,6.94048375824458,NaN,0.229753035754298,107.048966416402,7.78014475220662
43.954 sec,0.996870052092782,14.435154894025,NaN,14.435154894025,NaN,19.8114055124038,0,29.7802137531249,2776.19350329783,-0,54.0487694312615,-24.2685556781366,17.328071919892,6.94048375824458,NaN,0.105231820682211,276.489817380428,10.7480453788559
64.983 sec,0.996113028352731,8.66555753438752,NaN,8.66555753438752,NaN,19.8236003639847,0,2.51759546599997,2776.19350329783,-0,30.4494264202799,-27.9318309542799,20.9913471960353,6.94048375824458,NaN,0.00889621400385871,517.434562514425,11.829721663684
91.567 sec,0.995587679012929,5.25840630416536,NaN,5.25840630416536,NaN,19.8390162882348,0,-9.18410962655162,2776.19350329783,-0,17.2090439030795,-26.3931535296311,19.4526697713865,6.94048375824458,NaN,-0.0324531108258292,828.386956099356,11.3879087255991
121.61 sec,0.995173081598517,4.96600100228079,NaN,4.96600100228079,NaN,19.8564386095214,0,-7.30562359228386,2776.19350329783,-0,15.963559647714,-23.2691832399979,16.3286994817533,6.94048375824458,NaN,-0.0258152637253744,1155.6054438915,10.4335035604068
151.35 sec,0.994716697474836,5.78015648716063,NaN,5.78015648716063,NaN,19.8736861523601,0,-2.2863682443903,2776.19350329783,-0,19.4716774797496,-21.7580457241399,14.8175619658953,6.94048375824458,NaN,-0.00807914594239384,1457.2468340522,9.93900127977163
183.08 sec,0.994146963422833,6.3689610558611,NaN,6.3689610558611,NaN,19.8920833871537,0,0.36127560917274,2776.19350329783,-0,21.8875245649585,-21.5262489557858,14.5857651975412,6.94048375824458,NaN,0.0012766090410393,1770.55587056783,9.86095505771497
225.06 sec,0.993339928657508,6.51159165603387,NaN,6.51159165603387,NaN,19.9164306048186,0,0.625093164065252,2776.19350329783,-0,22.4405450565213,-21.815451892456,14.8749681342115,6.94048375824458,NaN,0.00220883880471435,2186.54628171232,9.9582354977213
278.99 sec,0.992308712892311,6.40051787093149,NaN,6.40051787093149,NaN,19.9477063845079,0,0.0321636746475455,2776.19350329783,-0,22.0107977950275,-21.97863412038,15.0381503621354,6.94048375824458,NaN,0.000113654054703899,2725.62155105742,10.0127087118107
330.96 sec,0.991328222253078,6.37074767912514,NaN,6.37074767912514,NaN,19.9778412593542,0,-0.0604569961619816,2776.19350329783,-0,21.8945184047068,-21.9549754008688,15.0144916426242,6.94048375824458,NaN,-0.000213631770135806,3245.76858629791,10.0048293813952
406.13 sec,0.989910030160926,6.37805883580965,NaN,6.37805883580965,NaN,20.0214331078988,0,-0.0175979873483136,2776.19350329783,-0,21.9231199690542,-21.9407179564026,15.000234198158,6.94048375824458,NaN,-6.21845183636814e-05,3997.5215952275,10.0000780657479
486.53 sec,0.988392213392258,6.38134745080968,NaN,6.38134745080968,NaN,20.0680573843594,0,-0.00282876371291252,2776.19350329783,-0,21.9359755801241,-21.9388043438371,14.9983205855925,6.94048375824458,NaN,-9.99576290006712e-06,4801.50384177049,9.99944017952755
582.69 sec,0.986576744644356,6.38199448082702,NaN,6.38199448082702,NaN,20.1238217014454,0,0.00178731903015006,2776.19350329783,-0,21.9385042042898,-21.9367168852596,14.9962331270151,6.94048375824458,NaN,6.31569797456264e-06,5763.12680678645,9.99874429683216
700.55 sec,0.984353030928731,6.38712641534614,NaN,6.38712641534614,NaN,20.1921664694092,0,0.0444349242077529,2776.19350329783,-0,21.9585519345904,-21.9141170103827,14.9736332521381,6.94048375824458,NaN,0.000157015930611553,6941.81598962985,9.99120721839561
781.23 sec,0.982828773967457,6.38973070254016,NaN,6.38973070254016,NaN,20.2389552365028,0,0.0389619093615465,2776.19350329783,-0,21.9687200009222,-21.9297580915607,14.9892743333161,6.94048375824458,NaN,0.000137676401296501,7748.49522162272,9.99642413843273
861.91 sec,0.981304802777767,6.38666831724759,NaN,6.38666831724759,NaN,20.2857440035964,0,0.0184375858326717,2776.19350329783,-0,21.9567629741003,-21.9383253882676,14.9978416300231,6.94048375824458,NaN,6.51513364625527e-05,8555.29013386575,9.99928051745826
950.77 sec,0.979626948913308,6.38575251002174,NaN,6.38575251002174,NaN,20.3372721190676,0,0.0124264930100999,2776.19350329783,-0,21.9531862290941,-21.940759736084,15.0002759778394,6.94048375824458,NaN,4.39104465464208e-05,9443.84105934888,10.00009199219
1047.5 sec,0.977799639403414,6.38629359035982,NaN,6.38629359035982,NaN,20.3933907333877,0,0.0116131480995136,2776.19350329783,-0,21.9552995094974,-21.9436863613979,15.0032026031533,6.94048375824458,NaN,4.10363984790317e-05,10411.532878392,10.001067477409
1146.4 sec,0.975931904265273,6.38613301188738,NaN,6.38613301188738,NaN,20.4507431517007,0,0.00437448640756699,2776.19350329783,-0,21.9546723596049,-21.9502978731974,15.0098141149528,6.94048375824458,NaN,1.54577523530889e-05,11400.4770021442,10.0032708367323
1240.2 sec,0.974161018304348,6.38200216813638,NaN,6.38200216813638,NaN,20.505118411365,0,-0.017743019226419,2776.19350329783,-0,21.9385342453611,-21.9562772645875,15.015793506343,6.94048375824458,NaN,-6.26970052355522e-05,12338.127332884,10.0052631170942
1332 sec,0.972427826294303,6.37605148732998,NaN,6.37605148732998,NaN,20.5583412844739,0,-0.0436100139802988,2776.19350329783,-0,21.9152700694108,-21.9588800833911,15.0183963251465,6.94048375824458,NaN,-0.00015410101516286,13255.9519862578,10.0061302293966
1422.5 sec,0.970717938996882,6.37048235856936,NaN,6.37048235856936,NaN,20.6108593053444,0,-0.0634704962151069,2776.19350329783,-0,21.8934799041858,-21.9569504004009,15.0164666421563,6.94048375824458,NaN,-0.000224280320204827,14161.6559476461,10.0054873751545
1515.3 sec,0.968966038076033,6.36332651567353,NaN,6.36332651567353,NaN,20.664671629963,0,-0.0886879102331584,2776.19350329783,-0,21.8654562238462,-21.9541441340793,15.0136603758348,6.94048375824458,NaN,-0.000313388961667758,15089.7023345792,10.0045524223841
1594.1 sec,0.967480837650471,6.37497005430966,NaN,6.37497005430966,NaN,20.7103287394059,0,-0.027890634863553,2776.19350329783,-0,21.9110401179693,-21.9389307528328,14.9984469945882,6.94048375824458,NaN,-9.85547756978893e-05,15877.0337984799,9.99948231812968
1666.2 sec,0.966119253112605,6.38258971853553,NaN,6.38258971853553,NaN,20.7521572588081,0,0.00337544988717653,2776.19350329783,-0,21.9408302185371,-21.9374547686499,14.9969710104053,6.94048375824458,NaN,1.19275415614462e-05,16598.2700081821,9.99899028582564
1754.3 sec,0.964455562929649,6.38352024101143,NaN,6.38352024101143,NaN,20.8032555281835,0,0.00665692106418447,2776.19350329783,-0,21.9444660386917,-21.9378091176275,14.9973253593829,6.94048375824458,NaN,2.35229985093167e-05,17479.407444282,9.9991084133813
1881.2 sec,0.962061423900044,6.39801915812018,NaN,6.39801915812018,NaN,20.8768394639896,0,0.0835981405924322,2776.19350329783,-0,22.0010565941687,-21.9174584535762,14.9769746953317,6.94048375824458,NaN,0.000295403673496667,18748.3295441071,9.99232195082192
