unix_timestamp,speed_mps,temperature,relative_humidity,surface_pressure
1713131824859.0,8.992778222656227,23,0.381,972.7
1713131824909.0,8.992778222656227,23,0.381,972.7
1713131824960.0,8.992778222656227,23,0.381,972.7
1713131825010.0,8.992778222656227,23,0.381,972.7
1713131825061.0,8.992778222656227,23,0.381,972.7
1713131825111.0,8.992778222656227,23,0.381,972.7
1713131825162.0,8.992778222656227,23,0.381,972.7
1713131825213.0,8.992778222656227,23,0.381,972.7
1713131825263.0,8.992778222656227,23,0.381,972.7
1713131825314.0,8.992778222656227,23,0.381,972.7
1713131825364.0,8.992778222656227,23,0.381,972.7
1713131825415.0,8.992778222656227,23,0.381,972.7
1713131825465.0,8.992778222656227,23,0.381,972.7
1713131825516.0,8.992778222656227,23,0.381,972.7
1713131825566.0,8.992778222656227,23,0.381,972.7
1713131825617.0,8.992778222656227,23,0.381,972.7
1713131825667.0,8.992778222656227,23,0.381,972.7
1713131825718.0,8.992778222656227,23,0.381,972.7
1713131825768.0,8.992778222656227,23,0.381,972.7
1713131825819.0,8.992778222656227,23,0.381,972.7
1713131825869.0,8.992778222656227,23,0.381,972.7
1713131825920.0,8.992778222656227,23,0.381,972.7
1713131825970.0,8.992778222656227,23,0.381,972.7
1713131826021.0,8.992778222656227,23,0.381,972.7
1713131826071.0,8.992778222656227,23,0.381,972.7
1713131826122.0,8.992778222656227,23,0.381,972.7
1713131826176.0,8.992778222656227,23,0.381,972.7
1713131826227.0,8.992778222656227,23,0.381,972.7
1713131826277.0,8.992778222656227,23,0.381,972.7
1713131826328.0,8.992778222656227,23,0.381,972.7
1713131826378.0,8.992778222656227,23,0.381,972.7
1713131826429.0,8.992778222656227,23,0.381,972.7
1713131826479.0,8.992778222656227,23,0.381,972.7
1713131826530.0,8.992778222656227,23,0.381,972.7
1713131826580.0,8.992778222656227,23,0.381,972.7
1713131826631.0,8.992778222656227,23,0.381,972.7
1713131826681.0,8.992778222656227,23,0.381,972.7
1713131826732.0,8.992778222656227,23,0.381,972.7
1713131826782.0,8.992778222656227,23,0.381,972.7
1713131826833.0,8.992778222656227,23,0.381,972.7
1713131826883.0,8.992778222656227,23,0.381,972.7
1713131826934.0,8.992778222656227,23,0.381,972.7
1713131826984.0,8.992778222656227,23,0.381,972.7
1713131827035.0,8.992778222656227,23,0.381,972.7
1713131827085.0,8.992778222656227,23,0.381,972.7
1713131827136.0,8.992778222656227,23,0.381,972.7
1713131827187.0,8.992778222656227,23,0.381,972.7
1713131827238.0,8.992778222656227,23,0.381,972.7
1713131827288.0,8.992778222656227,23,0.381,972.7
1713131827339.0,8.992778222656227,23,0.381,972.7
1713131827389.0,8.992778222656227,23,0.381,972.7
1713131827440.0,8.992778222656227,23,0.381,972.7
1713131827490.0,8.992778222656227,23,0.381,972.7
1713131827541.0,8.992778222656227,23,0.381,972.7
1713131827591.0,8.992778222656227,23,0.381,972.7
1713131827642.0,8.992778222656227,23,0.381,972.7
1713131859790.0,12.917461455078113,24,0.374,972.8
1713131859841.0,12.917461455078113,24,0.374,972.8
1713131859891.0,12.917461455078113,24,0.374,972.8
1713131859942.0,12.917461455078113,24,0.374,972.8
1713131859992.0,12.917461455078113,24,0.374,972.8
1713131860043.0,12.917461455078113,24,0.374,972.8
