Reynolds_Number,Drag_Coefficient
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516515.109,0.84258428
1516707.831,0.842458052
1516707.831,0.842458052
1516707.831,0.842458052
1516707.831,0.842458052
1516707.831,0.842458052
1516707.831,0.842458052
1516707.831,0.842458052
1516707.831,0.842458052
1516707.831,0.842458052
1516707.831,0.842458052
1516707.831,0.842458052
1516873.178,0.842361297
1516873.178,0.842361297
1516873.178,0.842361297
1516873.178,0.842361297
1516873.178,0.842361297
1516873.178,0.842361297
1516873.178,0.842361297
1545324.942,0.81988318
1545324.942,0.81988318
1545324.942,0.81988318
1545324.942,0.81988318
1545324.942,0.81988318
1545324.942,0.81988318
1545324.942,0.81988318
1545324.942,0.81988318
1545324.942,0.81988318
1545324.942,0.81988318
1545324.942,0.81988318
1571915.435,0.808139334
1571915.435,0.808139334
1571915.435,0.808139334
1571915.435,0.808139334
1571915.435,0.808139334
1571915.435,0.808139334
1571915.435,0.808139334
1571915.435,0.808139334
1571915.435,0.808139334
1571915.435,0.808139334
1571915.435,0.808139334
1571915.435,0.808139334
1571915.435,0.808139334
1571915.435,0.808139334
1571915.435,0.808139334
1571915.435,0.808139334
1571915.435,0.808139334
1571915.435,0.808139334
1571915.435,0.808139334
1571915.435,0.808139334
1571915.435,0.808139334
1571915.435,0.808139334
